SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,25.29,PE,Enabled,Default Pipe,1,19.4
2,PI000002,23.76,PE,Enabled,Default Pipe,1,11.8
3,PI000003,25.83,PE,Enabled,Default Pipe,1,33.4
4,PI000004,25.84,PE,Enabled,Default Pipe,1,27.4
5,PI000005,29.97,PE,Enabled,Replacement Pipe,2,3.5
6,PI000006,24.42,PE,Enabled,Default Pipe,1,43.6
7,PI000007,25.31,PE,Enabled,Default Pipe,1,16.8
8,PI000008,23.88,PE,Enabled,Default Pipe,1,1.2
9,PI000009,23.95,PE,Enabled,Default Pipe,1,12.5
10,PI000010,23.79,PE,Enabled,Default Pipe,1,58.4
11,PI000011,23.65,PE,Enabled,Default Pipe,1,2.6
12,PI000012,24.50,PE,Enabled,Default Pipe,1,11.0
13,PI000013,25.78,PE,Enabled,Default Pipe,1,5.1
14,PI000014,23.71,PE,Enabled,Default Pipe,1,35.9
15,PI000015,23.95,PE,Enabled,Default Pipe,1,2.3
16,PI000016,26.82,PE,Enabled,Default Pipe,1,12.9
17,PI000018,23.76,PE,Enabled,Default Pipe,1,5.4
18,PI000020,23.84,PE,Enabled,Default Pipe,1,8.2
19,PI000021,24.98,PE,Enabled,Default Pipe,1,38.6
20,PI000022,23.68,PE,Enabled,Default Pipe,1,10.5
21,PI000023,24.25,PE,Enabled,Default Pipe,1,57.7
22,PI000024,31.16,PE,Enabled,Default Pipe,1,55.9
23,PI000025,27.65,PE,Enabled,Default Pipe,1,19.1
24,PI000026,24.37,PE,Enabled,Default Pipe,1,4.1
25,PI000028,23.83,PE,Enabled,Default Pipe,1,2.4
26,PI000029,23.82,PE,Enabled,Default Pipe,1,1.5
27,PI000031,31.37,PE,Enabled,Default Pipe,1,3.0
28,PI000033,28.26,PE,Enabled,Default Pipe,1,12.6
29,PI000035,29.57,PE,Enabled,Default Pipe,1,3.1
30,PI000036,29.72,PE,Enabled,Default Pipe,1,1.4
31,PI000037,29.19,PE,Enabled,Default Pipe,1,1.2
32,PI000038,29.24,ST,Enabled,Default Pipe,1,8.5
33,PI000039,25.84,PE,Enabled,Default Pipe,1,62.7
34,PI000040,29.87,PE,Enabled,Replacement Pipe,1,27.9
35,PI000041,30.70,PE,Enabled,Default Pipe,1,32.4
36,PI000042,30.25,PE,Enabled,Default Pipe,1,23.7
37,PI000043,26.97,PE,Enabled,Default Pipe,1,4.1
38,PI000044,26.19,PE,Enabled,Default Pipe,1,0.7
39,PI000045,30.04,PE,Enabled,Default Pipe,1,64.1
40,PI000046,27.74,PE,Enabled,Default Pipe,1,7.3
41,PI000047,30.80,PE,Enabled,Default Pipe,1,58.0
42,PI000048,30.37,PE,Enabled,Default Pipe,1,52.0
43,PI000049,29.70,PE,Enabled,Default Pipe,1,1.1
44,PI000050,29.74,PE,Enabled,Default Pipe,1,40.9
45,PI000051,29.20,PE,Enabled,Default Pipe,1,1.5
46,PI000052,29.20,ST,Enabled,Default Pipe,1,1.3
47,PI000054,27.39,PE,Enabled,Replacement Pipe,1,99.6
