SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,36.80,PE,Enabled,Default Pipe,1,9.3
2,PI000002,65.99,PE,Enabled,Default Pipe,1,187.2
3,PI000003,70.60,PE,Enabled,Default Pipe,1,27.4
4,PI000004,47.22,PE,Enabled,Default Pipe,1,8.2
5,PI000005,73.19,PE,Enabled,Default Pipe,1,95.4
6,PI000006,33.31,PE,Enabled,Default Pipe,1,3.7
7,PI000007,33.41,PE,Enabled,Default Pipe,1,18.3
8,PI000008,33.52,PE,Enabled,Default Pipe,1,30.9
9,PI000009,33.48,PE,Enabled,Default Pipe,1,22.0
10,PI000010,70.90,PE,Enabled,Default Pipe,3,86.0
11,PI000011,33.36,PE,Enabled,Default Pipe,1,5.8
12,PI000012,33.31,PE,Enabled,Default Pipe,1,52.0
13,PI000013,39.02,PE,Enabled,Default Pipe,1,36.9
14,PI000014,35.96,PE,Enabled,Default Pipe,1,35.5
15,PI000015,39.44,PE,Enabled,Default Pipe,1,11.2
16,PI000016,34.17,PE,Enabled,Default Pipe,1,178.3
17,PI000017,36.37,PE,Enabled,Default Pipe,1,9.9
18,PI000018,36.95,PE,Enabled,Default Pipe,1,31.1
19,PI000019,70.51,PE,Enabled,Default Pipe,3,9.5
20,PI000020,39.17,PE,Enabled,Default Pipe,1,61.8
21,PI000021,35.83,PE,Enabled,Default Pipe,1,33.7
22,PI000022,43.10,PE,Enabled,Default Pipe,1,17.8
23,PI000023,45.94,PE,Enabled,Default Pipe,1,53.4
24,PI000024,43.53,PE,Enabled,Default Pipe,1,5.1
25,PI000025,41.14,PE,Enabled,Default Pipe,1,79.7
26,PI000026,36.47,PE,Enabled,Default Pipe,1,1.6
27,PI000027,44.12,PE,Enabled,Default Pipe,1,30.0
28,PI000028,47.37,PE,Enabled,Default Pipe,1,4.0
29,PI000029,51.73,PE,Enabled,Default Pipe,1,22.7
30,PI000030,47.36,PE,Enabled,Default Pipe,1,0.9
31,PI000031,54.89,PE,Enabled,Default Pipe,1,78.1
32,PI000032,43.53,PE,Enabled,Default Pipe,1,11.1
33,PI000033,36.56,PE,Enabled,Default Pipe,1,0.9
34,PI000034,36.51,PE,Enabled,Default Pipe,1,40.0
35,PI000035,36.56,PE,Enabled,Default Pipe,1,2.9
36,PI000036,70.49,PE,Enabled,Default Pipe,1,28.4
37,PI000037,72.33,PE,Enabled,Default Pipe,1,28.2
38,PI000038,69.73,PE,Enabled,Default Pipe,1,12.6
39,PI000039,74.01,PE,Enabled,Default Pipe,1,2.7
40,PI000040,70.96,PE,Enabled,Default Pipe,1,68.3
41,PI000041,70.55,PE,Enabled,Default Pipe,1,1.4
42,PI000042,74.39,PE,Enabled,Default Pipe,1,49.6
43,PI000043,66.30,PE,Enabled,Default Pipe,1,110.6
44,PI000044,63.29,PE,Enabled,Default Pipe,1,1.8
45,PI000045,67.91,PE,Enabled,Default Pipe,1,3.2
46,PI000046,72.65,PE,Enabled,Default Pipe,1,9.0
47,PI000047,69.46,PE,Enabled,Default Pipe,1,1.7
48,PI000048,69.47,PE,Enabled,Default Pipe,1,45.7
49,PI000049,71.26,PE,Enabled,Default Pipe,1,46.4
50,PI000050,69.46,PE,Enabled,Default Pipe,1,3.4
51,PI000051,73.51,PE,Enabled,Default Pipe,1,3.5
52,PI000052,69.56,PE,Enabled,Default Pipe,1,52.9
53,PI000053,69.54,PE,Enabled,Default Pipe,1,58.8
54,PI000054,69.56,PE,Enabled,Default Pipe,1,9.6
55,PI000055,69.34,PE,Enabled,Default Pipe,1,43.4
56,PI000056,69.59,PE,Enabled,Default Pipe,1,77.1
57,PI000057,69.49,PE,Enabled,Default Pipe,1,45.9
58,0603396500,33.32,PE,Enabled,Default Pipe,1,45.3
59,0465576680,33.27,PE,Enabled,Default Pipe,1,51.1
60,0607696467,73.13,PE,Enabled,Default Pipe,3,215.9
61,0465576669,32.97,PE,Enabled,Default Pipe,1,166.7
62,0465576646,36.60,PE,Enabled,Default Pipe,1,65.2
63,0607696471,71.13,PE,Enabled,Default Pipe,3,123.2
64,0465576657,33.08,PE,Enabled,Default Pipe,1,100.3
65,0603396519,33.19,PE,Enabled,Default Pipe,1,14.9
66,0603396522,33.54,PE,Enabled,Default Pipe,1,3.0
67,0628394299,37.15,PE,Enabled,Default Pipe,1,59.4
68,0465576652,33.33,PE,Enabled,Default Pipe,1,37.3
69,0603396526,33.28,PE,Enabled,Default Pipe,1,8.1
70,0465576689,33.12,PE,Enabled,Default Pipe,1,55.9
71,0607696469,70.57,PE,Enabled,Default Pipe,3,224.0
72,0607698184,70.87,PE,Enabled,Default Pipe,2,123.2
73,0603396524,33.39,PE,Enabled,Default Pipe,1,13.7
74,0465576647,34.43,PE,Enabled,Default Pipe,1,85.2
75,0465576678,33.35,PE,Enabled,Default Pipe,1,84.1
76,0606085399,43.46,PE,Enabled,Default Pipe,1,23.1
77,0465576582,38.66,PE,Enabled,Default Pipe,1,47.5
78,0465576710,39.09,PE,Enabled,Default Pipe,1,26.5
79,0465576564,44.82,PE,Enabled,Default Pipe,1,17.1
80,0465576565,39.30,PE,Enabled,Default Pipe,1,25.2
81,0465576530,36.43,PE,Enabled,Default Pipe,1,8.3
82,0465576580,35.46,PE,Enabled,Default Pipe,1,15.9
83,0606085401,43.53,PE,Enabled,Default Pipe,1,23.9
84,0465576699,39.41,PE,Enabled,Default Pipe,1,40.0
85,0628394295,36.89,PE,Enabled,Default Pipe,1,58.0
86,0465576554,32.75,PE,Enabled,Default Pipe,1,145.5
87,0465576707,39.14,PE,Enabled,Default Pipe,1,38.4
88,0465576303,37.77,PE,Enabled,Default Pipe,1,49.7
89,0465576307,36.72,PE,Enabled,Default Pipe,1,21.3
90,0606085400,43.51,PE,Enabled,Default Pipe,1,34.0
91,0606086196,43.53,PE,Enabled,Default Pipe,1,9.7
92,0606085397,42.77,PE,Enabled,Default Pipe,1,12.0
93,0632360566,39.10,PE,Enabled,Default Pipe,1,47.2
94,0465576483,47.56,PE,Enabled,Default Pipe,1,171.6
95,0650170112,36.21,PE,Enabled,Default Pipe,1,17.3
96,0465576714,39.10,PE,Enabled,Default Pipe,1,12.1
97,0465576527,36.52,PE,Enabled,Default Pipe,1,14.3
98,0604711582,39.48,PE,Enabled,Default Pipe,1,2.3
99,0465576533,37.51,PE,Enabled,Default Pipe,1,55.5
100,0465576443,65.99,PE,Enabled,Default Pipe,1,21.3
101,0609471047,65.87,PE,Enabled,Default Pipe,1,4.2
102,0650013949,65.85,PE,Enabled,Default Pipe,1,1.0
103,0626793676,36.54,PE,Enabled,Default Pipe,1,2.1
104,0465576445,47.92,PE,Enabled,Default Pipe,1,19.3
105,0465576428,70.69,PE,Enabled,Default Pipe,1,18.7
106,0465576742,73.45,PE,Enabled,Default Pipe,1,5.1
107,0467219165,70.60,PE,Enabled,Default Pipe,1,44.4
108,0465576364,71.22,PE,Enabled,Default Pipe,1,130.7
109,0465576435,66.33,PE,Enabled,Default Pipe,1,99.2
110,0465576574,41.97,PE,Enabled,Default Pipe,1,131.7
111,0465576694,70.36,PE,Enabled,Default Pipe,1,48.2
112,0465576757,73.99,PE,Enabled,Default Pipe,1,13.3
113,0465577081,71.13,PE,Enabled,Default Pipe,1,26.0
114,0465576756,73.76,PE,Enabled,Default Pipe,1,50.4
115,0465576577,36.58,PE,Enabled,Default Pipe,1,27.1
116,0465576425,70.44,PE,Enabled,Default Pipe,1,0.2
117,0465576579,36.51,PE,Enabled,Default Pipe,1,26.8
118,0465576886,71.98,PE,Enabled,Default Pipe,1,95.7
119,0465576252,70.49,PE,Enabled,Default Pipe,1,45.5
120,0465576416,71.28,PE,Enabled,Default Pipe,1,25.6
121,0465576366,68.67,PE,Enabled,Default Pipe,1,101.1
122,0465576623,62.35,PE,Enabled,Default Pipe,1,27.3
123,0467219202,73.15,PE,Enabled,Default Pipe,1,33.5
124,0465576431,52.50,PE,Enabled,Default Pipe,1,30.5
125,0465576456,62.83,PE,Enabled,Default Pipe,1,112.1
126,0465576770,68.72,PE,Enabled,Default Pipe,1,95.1
127,0625890280,46.98,PE,Enabled,Default Pipe,1,21.0
128,0465576444,71.34,PE,Enabled,Default Pipe,1,2.0
129,0465576446,60.36,PE,Enabled,Default Pipe,1,101.5
130,0467219201,71.28,PE,Enabled,Default Pipe,1,85.3
131,0465576629,57.37,PE,Enabled,Default Pipe,1,78.8
132,0465576733,72.27,PE,Enabled,Default Pipe,1,121.0
133,0465576881,72.82,PE,Enabled,Default Pipe,1,145.3
134,0624126934,73.84,PE,Enabled,Default Pipe,1,63.2
135,0624126933,73.55,PE,Enabled,Default Pipe,1,39.9
136,0465576413,74.84,PE,Enabled,Default Pipe,1,14.0
137,0465576753,74.06,PE,Enabled,Default Pipe,1,8.3
138,0465577084,71.24,PE,Enabled,Default Pipe,1,40.2
139,0465576437,63.18,PE,Enabled,Default Pipe,1,79.4
140,0465576432,52.46,PE,Enabled,Default Pipe,1,27.4
141,0465576610,62.21,PE,Enabled,Default Pipe,1,54.2
142,0465576414,73.97,PE,Enabled,Default Pipe,1,94.7
143,0650042851,43.53,PE,Enabled,Default Pipe,1,19.6
144,0465576363,73.48,PE,Enabled,Default Pipe,1,30.1
145,0465576419,69.83,PE,Enabled,Default Pipe,1,119.7
146,0465576442,70.67,PE,Enabled,Default Pipe,1,235.9
147,0465576430,51.21,PE,Enabled,Default Pipe,1,54.6
148,0465577068,71.96,PE,Enabled,Default Pipe,1,104.6
149,0465576433,49.79,PE,Enabled,Default Pipe,1,43.8
150,0465577103,70.03,PE,Enabled,Default Pipe,1,62.7
151,0465576893,70.71,PE,Enabled,Default Pipe,1,79.0
152,0465577089,71.24,PE,Enabled,Default Pipe,1,34.6
153,0621084045,69.92,PE,Enabled,Default Pipe,1,74.9
154,PI000058,69.46,PE,Enabled,Default Pipe,1,2.3
155,PI002165,36.49,PE,Enabled,Default Pipe,1,6.3

Model State: Solved

Generated on 11/03/2015 16:07:02

