SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,53.12,PE,Enabled,Default Pipe,1,41.1
2,PI000001,58.87,PE,Enabled,Default Pipe,1,126.7
3,PI000002,57.43,PE,Enabled,Default Pipe,1,65.2
4,PI000003,74.93,PE,Enabled,Default Pipe,1,8.4
5,PI000004,74.95,PE,Enabled,Default Pipe,1,102.6
6,PI000005,74.70,PE,Enabled,Default Pipe,1,21.7
7,PI000006,74.39,PE,Enabled,Default Pipe,1,203.8
8,PI000007,74.28,PE,Enabled,Default Pipe,1,76.8
9,PI000008,53.08,PE,Enabled,Default Pipe,1,34.9
10,PI000009,53.63,PE,Enabled,Default Pipe,1,56.9
11,PI000010,70.11,PE,Enabled,Default Pipe,1,109.9
12,PI000011,72.81,PE,Enabled,Default Pipe,1,67.7
13,PI000012,62.88,PE,Enabled,Default Pipe,1,66.6
14,PI000013,68.57,PE,Enabled,Default Pipe,1,91.0
15,PI000014,50.51,PE,Enabled,Default Pipe,1,75.3
16,PI000015,67.57,PE,Enabled,Default Pipe,1,89.6
17,PI000016,73.11,PE,Enabled,Default Pipe,1,36.2
18,PI000017,74.20,PE,Enabled,Default Pipe,1,85.0
19,PI000018,46.86,PE,Enabled,Default Pipe,1,23.7
20,PI000019,44.20,PE,Enabled,Default Pipe,1,246.0
21,PI000020,63.90,PE,Enabled,Default Pipe,1,27.5
22,PI000021,64.06,PE,Enabled,Default Pipe,1,28.3
23,PI000022,62.86,PE,Enabled,Default Pipe,1,107.4
24,PI000023,61.90,PE,Enabled,Default Pipe,1,42.2
25,PI000024,61.54,PE,Enabled,Default Pipe,1,38.6
26,PI000025,60.92,PE,Enabled,Default Pipe,1,83.4
27,PI000026,60.51,PE,Enabled,Default Pipe,1,78.8
28,PI000027,53.75,PE,Enabled,Default Pipe,1,109.0
29,PI000028,50.54,PE,Enabled,Default Pipe,1,4.4
30,PI000029,50.43,PE,Enabled,Default Pipe,1,50.3
31,PI000030,71.94,PE,Enabled,Default Pipe,1,62.6
32,PI000031,71.13,PE,Enabled,Default Pipe,1,43.0
33,PI000032,70.15,PE,Enabled,Default Pipe,1,56.0
34,PI000033,69.89,PE,Enabled,Default Pipe,1,66.8
35,PI000034,74.13,PE,Enabled,Default Pipe,1,6.7
36,PI000035,73.87,PE,Enabled,Default Pipe,1,81.0
37,PI000036,71.56,PE,Enabled,Default Pipe,1,159.7
38,PI000037,63.42,PE,Enabled,Default Pipe,1,23.2
39,PI000038,62.91,PE,Enabled,Default Pipe,1,35.7
40,PI000039,64.43,PE,Enabled,Default Pipe,1,49.8
41,PI000040,69.24,PE,Enabled,Default Pipe,1,85.0
42,PI000041,68.46,PE,Enabled,Default Pipe,1,67.0
43,PI000042,67.15,PE,Enabled,Default Pipe,1,171.7
44,PI000043,67.15,PE,Enabled,Default Pipe,1,80.9
45,PI000044,69.43,PE,Enabled,Default Pipe,1,52.4
46,PI000045,71.77,PE,Enabled,Default Pipe,1,89.5
47,PI000046,68.26,PE,Enabled,Default Pipe,1,45.7
48,PI000047,69.01,PE,Enabled,Default Pipe,1,11.6
49,PI000048,49.62,PE,Enabled,Default Pipe,1,60.8
50,PI000049,61.04,PE,Enabled,Default Pipe,1,108.3
51,PI000050,58.86,PE,Enabled,Default Pipe,1,98.4
52,PI000051,48.28,PE,Enabled,Default Pipe,1,132.5
53,PI000052,36.53,PE,Enabled,Default Pipe,1,56.2
54,PI000053,56.21,PE,Enabled,Default Pipe,1,77.2
55,PI000054,57.70,PE,Enabled,Default Pipe,1,36.1
56,PI000055,54.61,PE,Enabled,Default Pipe,1,21.6
57,PI000056,54.43,PE,Enabled,Default Pipe,1,124.3
58,PI000057,58.77,PE,Enabled,Default Pipe,1,35.8
59,PI000058,58.11,PE,Enabled,Default Pipe,1,48.9
60,PI000059,45.56,PE,Enabled,Default Pipe,1,142.0
61,PI000060,42.47,PE,Enabled,Default Pipe,1,11.8
62,PI000061,41.78,PE,Enabled,Default Pipe,1,95.3
63,PI000062,63.05,PE,Enabled,Default Pipe,1,123.4
64,PI000063,36.62,PE,Enabled,Default Pipe,1,15.8
65,PI000064,37.82,PE,Enabled,Default Pipe,1,37.8
66,PI000065,46.14,PE,Enabled,Default Pipe,1,58.7
67,PI000066,51.61,PE,Enabled,Default Pipe,1,147.5
68,PI000067,36.60,PE,Enabled,Default Pipe,1,69.1
69,PI000068,36.91,PE,Enabled,Default Pipe,1,59.6
70,PI000069,37.20,PE,Enabled,Default Pipe,1,149.6
71,PI000070,35.76,PE,Enabled,Default Pipe,1,24.9
72,PI000071,66.89,PE,Enabled,Default Pipe,1,286.9
73,PI000072,66.88,PE,Enabled,Default Pipe,1,17.8
74,PI000073,67.36,PE,Enabled,Default Pipe,1,101.3
75,PI000074,69.92,PE,Enabled,Default Pipe,1,60.8
76,PI000075,68.78,PE,Enabled,Default Pipe,1,134.7
77,PI000076,36.12,PE,Enabled,Default Pipe,1,59.4
78,PI000077,33.72,PE,Enabled,Default Pipe,1,106.7
79,PI000078,35.63,PE,Enabled,Default Pipe,1,42.4
80,PI000079,35.42,PE,Enabled,Default Pipe,1,44.7
81,PI000080,32.40,PE,Enabled,Default Pipe,1,93.4
82,PI000081,36.43,PE,Enabled,Default Pipe,1,47.9
83,PI000253,42.39,PE,Enabled,Default Pipe,1,117.9
84,PI000254,37.34,PE,Enabled,Default Pipe,1,220.9
85,PI000257,38.22,PE,Enabled,Default Pipe,1,189.0
86,PI000258,37.96,PE,Enabled,Default Pipe,1,1.1
87,PI041574,37.45,PE,Enabled,Default Pipe,1,2.7
88,PI0000010000001,37.17,PE,Enabled,Default Pipe,1,3.6
89,PI0000020000002,37.77,PE,Enabled,Default Pipe,1,221.3
90,PI0000030000003,37.57,PE,Enabled,Default Pipe,1,4.3
91,PI0000040000004,37.32,PE,Enabled,Default Pipe,1,20.8
92,PI0000050000005,37.51,PE,Enabled,Reinforcement Pipe,1,0.9
93,PI0000060000006,37.96,PE,Enabled,Default Pipe,1,1.6
94,PI0000070000007,37.96,PE,Enabled,Default Pipe,1,20.2
95,PI0000090000009,37.79,PE,Enabled,Default Pipe,1,6.6
96,PI0000100000010,37.63,PE,Enabled,Default Pipe,1,2.6
97,PI0000110000011,57.93,PE,Enabled,Default Pipe,1,27.2
98,PI0000120000012,65.39,PE,Enabled,Default Pipe,1,95.8
99,PI0000130000013,66.50,PE,Enabled,Default Pipe,1,30.6
100,PI0000140000014,73.57,PE,Enabled,Default Pipe,1,27.2
101,PI0000150000015,73.65,PE,Enabled,Default Pipe,1,17.6
102,PI0000160000016,68.51,PE,Enabled,Default Pipe,1,3.4
103,PI0000170000017,68.50,PE,Enabled,Default Pipe,1,20.9

Model State: Solved

Generated on 11/03/2015 16:09:35

SynerGEE Gas 4.7.1: ASP
