SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,0467198893,61.34,PE,Enabled,Default Pipe,1,77.0
2,0622199530,46.33,PE,Enabled,Default Pipe,1,52.0
3,0622199529,47.20,PE,Enabled,Default Pipe,1,47.6
4,0467198679,54.97,PE,Enabled,Default Pipe,1,89.4
5,0467197733,56.74,PE,Enabled,Default Pipe,1,25.3
6,0622483235,45.26,PE,Enabled,Default Pipe,1,69.2
7,0467199103,61.27,PE,Enabled,Default Pipe,1,65.9
8,0467198683,50.74,PE,Enabled,Default Pipe,1,103.1
9,0622483234,45.87,PE,Enabled,Default Pipe,1,7.4
10,0467198520,52.79,PE,Enabled,Default Pipe,1,75.2
11,0650609758,68.58,PE,Enabled,Default Pipe,1,4.1
12,0467198878,62.45,PE,Enabled,Default Pipe,1,142.8
13,0467197499,64.64,ST,Enabled,Default Pipe,1,73.6
14,0467198771,46.73,PE,Enabled,Default Pipe,1,210.6
15,0467197728,59.24,PE,Enabled,Default Pipe,1,17.9
16,0467197709,62.54,PE,Enabled,Default Pipe,1,84.8
17,0467197500,62.11,PE,Enabled,Default Pipe,1,1.3
18,0467198713,70.54,PE,Enabled,Default Pipe,1,62.8
19,0467198888,61.42,PE,Enabled,Default Pipe,1,104.9
20,0467198728,73.37,PE,Enabled,Default Pipe,1,143.3
21,0467198905,58.76,PE,Enabled,Default Pipe,1,82.2
22,0467198844,62.11,PE,Enabled,Default Pipe,1,0.4
23,0467198645,60.67,PE,Enabled,Default Pipe,1,97.1
24,0467198307,68.11,PE,Enabled,Default Pipe,1,12.9
25,0467199080,68.95,PE,Enabled,Default Pipe,1,44.3
26,0467197729,58.31,PE,Enabled,Default Pipe,1,97.6
27,0467198451,57.69,PE,Enabled,Default Pipe,1,141.4
28,0467198750,63.82,PE,Enabled,Default Pipe,1,12.1
29,0467197722,61.61,PE,Enabled,Default Pipe,1,92.6
30,0467198575,45.36,PE,Enabled,Default Pipe,1,134.2
31,0467239843,51.62,PE,Enabled,Default Pipe,1,56.2
32,0467197673,67.78,PE,Enabled,Default Pipe,1,119.0
33,0467198491,68.85,PE,Enabled,Default Pipe,1,95.4
34,0467197730,57.55,PE,Enabled,Default Pipe,1,61.3
35,0622001299,71.43,PE,Enabled,Default Pipe,1,38.3
36,0467198490,68.03,PE,Enabled,Default Pipe,1,33.8
37,0467198872,66.63,PE,Enabled,Default Pipe,1,75.9
38,0467198726,74.71,PE,Enabled,Default Pipe,1,5.4
39,0467198309,68.24,PE,Enabled,Default Pipe,1,66.1
40,0467198870,62.09,PE,Enabled,Default Pipe,1,44.5
41,0622001298,71.98,PE,Enabled,Default Pipe,1,47.3
42,0467198864,59.75,PE,Enabled,Default Pipe,1,156.2
43,0467198824,55.93,PE,Enabled,Default Pipe,1,61.8
44,0467197753,36.17,PE,Enabled,Default Pipe,1,158.2
45,0467198322,37.78,PE,Enabled,Default Pipe,1,75.3
46,0623732302,44.22,PE,Enabled,Default Pipe,1,8.7
47,0467198429,36.49,PE,Enabled,Default Pipe,1,82.6
48,0467197748,39.30,PE,Enabled,Default Pipe,1,111.3
49,0650223346,38.18,PE,Enabled,Default Pipe,1,176.5
50,0621201748,37.22,PE,Enabled,Default Pipe,1,57.0
51,0467198432,36.08,PE,Enabled,Default Pipe,1,208.2
52,0467198579,36.08,PE,Enabled,Default Pipe,1,82.2
53,0467198299,37.45,PE,Enabled,Default Pipe,1,112.6
54,0650223520,36.15,PE,Enabled,Default Pipe,1,3.6
55,0626101150,37.25,PE,Enabled,Default Pipe,1,12.4
56,0467197848,35.40,PE,Enabled,Default Pipe,1,20.6
57,0467198022,36.15,PE,Enabled,Default Pipe,1,7.6
58,0650503097,36.37,PE,Enabled,Default Pipe,1,194.7
59,0467197839,37.38,PE,Enabled,Default Pipe,1,72.0
60,0467198098,39.59,PE,Enabled,Default Pipe,1,10.1
61,0467197762,36.19,PE,Enabled,Default Pipe,1,60.8
62,0467197764,36.13,PE,Enabled,Default Pipe,1,99.1
63,0467198140,32.38,PE,Enabled,Default Pipe,1,95.5
64,0650223582,36.18,PE,Enabled,Default Pipe,1,27.0
65,0467197766,36.17,PE,Enabled,Default Pipe,1,18.7
66,0467197594,32.34,PE,Enabled,Default Pipe,1,134.8
67,0467199054,48.65,PE,Enabled,Default Pipe,1,19.3
68,0467198825,45.35,PE,Enabled,Default Pipe,1,51.1
69,0467199083,33.99,PE,Enabled,Default Pipe,1,59.8
70,0467198420,34.72,PE,Enabled,Default Pipe,1,68.6
71,0467199098,31.00,PE,Enabled,Default Pipe,1,73.2
72,0467198408,36.13,PE,Enabled,Default Pipe,1,4.3
73,0467198410,37.50,PE,Enabled,Default Pipe,1,17.2
74,0467197476,35.73,PE,Enabled,Default Pipe,1,69.6
75,0467198287,35.93,PE,Enabled,Default Pipe,1,65.6
76,0467197570,44.86,PE,Enabled,Default Pipe,1,4.1
77,0607669711,29.73,PE,Enabled,Default Pipe,1,56.8
78,0467198283,32.80,PE,Enabled,Default Pipe,1,73.4
79,0467198590,34.79,PE,Enabled,Default Pipe,1,58.9
80,0467198184,31.93,PE,Enabled,Default Pipe,1,144.0
81,0467198231,31.50,PE,Enabled,Default Pipe,1,119.4
82,0467197931,33.25,PE,Enabled,Default Pipe,1,20.4
83,0467198175,34.23,PE,Enabled,Default Pipe,1,76.0
84,0621127984,31.30,PE,Enabled,Default Pipe,1,46.7
85,0467198537,30.83,PE,Enabled,Default Pipe,1,4.1
86,0467199055,45.87,PE,Enabled,Default Pipe,1,61.4
87,0467198421,34.59,PE,Enabled,Default Pipe,1,34.2
88,0607006310,34.44,PE,Enabled,Default Pipe,1,10.1
