"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"64301100000668","Nodes","668",21.000000,21.900863,"DDS demands","Known Flow",332531.215640,665299.845244,,0.000000,,,,,,,-8.350000,,,,,,-7.466719,-8.350000,,"",,,,,,,"D1 PROFILE",,,,,
"64301100000667","Nodes","667",21.000000,22.707424,"DDS demands","Known Flow",332626.856666,665277.458238,,0.000000,,,,,,,-19.319998,,,,,,-17.276288,-19.319998,,"",,,,,,,"D1 PROFILE",,,,,
"64301100001018","Nodes","P09120393, IRONMILLS ROAD, 16.80",24.000000,24.393692,"CSEP DDS Matched","Known Flow",332744.770392,667436.780366,,0.000000,,,,,,-3.229999,,-16.799999,,,,,-17.911183,-20.029999,,"",,,,,,"CT PROFILE",,"DC PROFILE",,,,
"64301100000238","Nodes","238",21.000000,29.508472,"DDS demands","Known Flow",332782.606709,666933.458688,,0.000000,,,,,,,-4.709999,,,,,,-4.211766,-4.709999,,"",,,,,,,"D1 PROFILE",,,,,
"64301100010636","Nodes","P10125341, WILSON AVENUE, 72.46",24.000000,32.676750,"CSEP DDS Matched","Known Flow",334217.214168,667367.310650,,0.000000,,,,,,,,-76.709999,,,,,-68.595455,-76.709999,,"",,,,,,,,"DC PROFILE",,,,
"64301100010826","Nodes","10826",21.000000,24.738770,"Default Known Flow Node","Known Flow",332911.981744,667665.458887,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100000221","Nodes","221",21.000000,30.453414,"Default Known Flow Node","Known Flow",332311.231581,666715.708629,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"64301100000311","Nodes","311",21.000000,32.747123,"DDS demands","Known Flow",332220.606556,666432.458552,,0.000000,,,,,,,-19.180000,,,,,,-17.151099,-19.180000,,"",,,,,,,"D1 PROFILE",,,,,
"64301100000308","Nodes","308",21.000000,31.810994,"DDS demands","Known Flow",332265.481568,666485.708566,,0.000000,,,,,,,-16.430000,,,,,,-14.692001,-16.430000,,"",,,,,,,"D1 PROFILE",,,,,
"64301100000220","Nodes","220",21.000000,33.580656,"DDS demands","Known Flow",332415.231609,666704.208626,,0.000000,,,,,,,-5.630000,,,,,,-5.034446,-5.630000,,"",,,,,,,"D1 PROFILE",,,,,
