"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"64302400001008","Nodes","DUNDAS HOME FARM RRI",21.000000,49.999982,"Default Known Pressure Node","Known Pressure",312922.603305,677047.905440,,0.000000,,,,,,,,,18.340410,20.510000,,"",,,,,,,,
"64302400001009","Nodes","WELLHEAD CLOSE RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",313548.987595,677489.137883,,999998.967025,,,,,,,,,13.967683,15.620000,,"",,,,,,,,
"64302400000507","Nodes","507",21.000000,49.966818,"DDS demands","Known Flow",313551.494218,677489.507660,,0.000000,,,,,-1.290000,,,,-1.153541,-1.290000,,"",,,,,"D1 PROFILE",,,
"64302400000512","Nodes","512",21.000000,49.422962,"DDS demands","Known Flow",313562.897404,677535.446372,,0.000000,,,,,-4.839999,,,,-4.328014,-4.839999,,"",,,,,"D1 PROFILE",,,
"64302400001006","Nodes","1006",21.000000,23.015208,"Default Known Flow Node","Known Flow",313748.447563,678176.114914,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64302400000134","Nodes","29938/01 (N9568), STATION ROAD, 40.62",23.200000,23.686917,"CSEP DDS Matched","Known Flow",313830.776343,677963.647116,,0.000000,,,,,-8.020000,-40.619997,,,-43.494758,-48.639997,,"",,,,,"D1 PROFILE","DC PROFILE",,
"64302400001007","Nodes","1007",21.000000,23.762822,"Default Known Flow Node","Known Flow",313799.243882,677961.084585,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64302400003272","Nodes","3272",21.000000,23.669283,"Default Known Flow Node","Known Flow",313819.919118,677963.692602,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64302400000193","Nodes","193",21.000000,22.936448,"DDS demands","Known Flow",313708.955349,678181.806738,,0.000000,,,,,-11.799999,,,,-10.551771,-11.799999,,"",,,,,"D1 PROFILE",,,
"64302400000192","Nodes","192",21.000000,23.418236,"DDS demands","Known Flow",313799.187143,678100.199921,,0.000000,,,,,-6.269999,,,,-5.606746,-6.269999,,"",,,,,"D1 PROFILE",,,
