"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64303200000205","Nodes","205",21.000000,41.885783,"DDS demands","Known Flow",326028.970844,639621.157738,,0.000000,,,,,,-14.020000,,,,,,,,-12.536936,-14.020000,,"",,,,,,"D1 PROFILE",,,,,,,
"64303200021309","Nodes","-395",21.000000,25.019865,"Default Known Flow Node","Known Flow",324503.783147,641128.904804,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200001004","Nodes","1004, 33 Elliots Park, 10108",21.000000,24.926291,"Val Log Cath","Known Flow",324535.164960,641108.801962,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200021308","Nodes","-392",21.000000,24.863396,"Default Known Flow Node","Known Flow",324554.171498,641093.691449,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200021178","Nodes","-1462678",21.000000,37.196582,"Default Known Flow Node","Known Flow",324722.178516,639448.454209,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200000021","Nodes","21",21.000000,37.202738,"DDS demands","Known Flow",324711.275953,639465.121013,,0.000000,,,,,,-13.470000,,,,,,,,-12.045115,-13.470000,,"",,,,,,"D1 PROFILE",,,,,,,
"64303200021219","Nodes","-15",21.000000,37.205475,"DDS demands","Known Flow",324684.286505,639462.876213,,0.000000,,,,,,-1.159999,,,,,,,,-1.037292,-1.159999,,"",,,,,,"D1 PROFILE",,,,,,,
"64303200000546","Nodes","546",21.000000,40.714778,"DDS demands","Known Flow",326351.368479,639732.931027,,0.000000,,,,,,-7.909999,,,,-25.839999,,,,-30.179854,-33.749999,,"",,,,,,"D1 PROFILE",,,,"I2 PROFILE",,,
"64303200001008","Nodes","1008",21.000000,40.761471,"Default Known Flow Node","Known Flow",326322.337951,639780.868300,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64303200000547","Nodes","547",21.000000,40.848887,"Default Known Flow Node","Known Flow",326224.215924,639808.321307,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
