"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"64303400000074","Nodes","74",21.000000,28.114791,"DDS demands","Known Flow",354348.110109,633500.243240,,0.000000,,,,,,-4.999999,,,,,-4.471089,-4.999999,,"",,,,,,"D1 PROFILE",,,,
"64303400000258","Nodes","258",21.000000,28.089897,"DDS demands","Known Flow",354333.987573,633478.199585,,0.000000,,,,,,-7.269999,,,,,-6.500963,-7.269999,,"",,,,,,"D1 PROFILE",,,,
"64303400000335","Nodes","335",21.000000,34.901920,"Default Known Flow Node","Known Flow",354797.487699,634117.949759,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002323","Nodes","2323",21.000000,32.427018,"DDS demands","Known Flow",356241.253092,634255.815796,,0.000000,,,,,,-12.780000,,,,,-11.428104,-12.780000,,"",,,,,,"D1 PROFILE",,,,
"64303400000215","Nodes","215",21.000000,29.934197,"DDS demands","Known Flow",356370.226127,634224.214788,,0.000000,,,,,,-10.790000,,,,,-9.648611,-10.790000,,"",,,,,,"D1 PROFILE",,,,
"64303400000039","Nodes","39",21.000000,27.692676,"DDS demands","Known Flow",353792.887496,634159.907449,,0.000000,,-15.999999,,,,-12.260000,,,,,-25.270598,-28.259999,,"",,"C2 PROFILE",,,,"D1 PROFILE",,,,
"64303400000040","Nodes","40",21.000000,27.802682,"DDS demands","Known Flow",354020.922488,634041.805738,,0.000000,,,,,,-12.720000,,,,,-11.374452,-12.720000,,"",,,,,,"D1 PROFILE",,,,
"64303400000200","Nodes","200",21.000000,42.406115,"DDS demands","Known Flow",355103.737783,634024.949734,,0.000000,,,,,,-8.749999,,,,,-7.824406,-8.749999,,"",,,,,,"D1 PROFILE",,,,
"64303400000082","Nodes","82",21.000000,42.442070,"DDS demands","Known Flow",355248.987822,634109.824757,,0.000000,,,,,,-17.020000,,,,,-15.219588,-17.020000,,"",,,,,,"D1 PROFILE",,,,
"64303400002343","Nodes","2343",21.000000,26.452747,"Default Known Flow Node","Known Flow",354216.612541,633321.824542,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000002","Nodes","MELROSE DG, Clocked, Site ID 6299",21.000000,38.000000,"Default Known Pressure Node","Known Pressure",354393.362589,634178.699775,,999998.967025,,,,,,,,,,,559.632058,625.834062,,"",,,,,,,,,,
"64303400002365","Nodes","2365",21.000000,26.403933,"Default Known Flow Node","Known Flow",354203.237538,633322.074542,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000297","Nodes","297",21.000000,26.448079,"DDS demands","Known Flow",354210.612540,633322.074542,,0.000000,,,,,,-2.660000,,,,,-2.378619,-2.660000,,"",,,,,,"D1 PROFILE",,,,
"64303400000077","Nodes","77",21.000000,26.380690,"DDS demands","Known Flow",354199.362537,633322.324542,,0.000000,,-4.019999,,,,-10.939999,,,,,-13.377499,-14.959999,,"",,"C2 PROFILE",,,,"D1 PROFILE",,,,
"64303400002231","Nodes","2231",21.000000,26.403933,"Default Known Flow Node","Known Flow",354202.612538,633311.449539,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002262","Nodes","2262",21.000000,28.088648,"Default Known Flow Node","Known Flow",354332.612573,633475.824584,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400000230","Nodes","230",21.000000,26.246813,"Default Known Flow Node","Known Flow",354166.237528,633296.949535,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002299","Nodes","2299",21.000000,26.874661,"Default Known Flow Node","Known Flow",354224.612543,633149.324495,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002274","Nodes","2274",21.000000,27.053591,"Default Known Flow Node","Known Flow",354143.112521,633091.949480,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002229","Nodes","2229",21.000000,26.847926,"DDS demands","Known Flow",354238.612547,633141.824493,,0.000000,,-6.000000,,,,-3.059999,,,,,-8.101614,-9.059999,,"",,"C2 PROFILE",,,,"D1 PROFILE",,,,
"64303400002225","Nodes","2225",21.000000,28.064691,"Default Known Flow Node","Known Flow",354300.737564,633466.324582,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002296","Nodes","2296",21.000000,28.064691,"Default Known Flow Node","Known Flow",354287.612561,633466.449582,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002220","Nodes","2220",21.000000,28.065377,"Default Known Flow Node","Known Flow",354301.737564,633465.199581,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64303400002223","Nodes","2223",21.000000,28.072154,"Default Known Flow Node","Known Flow",354308.987566,633452.199578,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
