"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",-1.000000
"Base Thermal","Flow Categories",,,1.000000,"Thermal",-1.000000
"D1","Flow Categories",-4612.050022,0.000000,1.000000,"Volumetric",-1.000000
"C4","Flow Categories",-71.669999,0.000000,1.000000,"Volumetric",-1.000000
"I2","Flow Categories",-268.530007,0.000000,1.000000,"Volumetric",-1.000000
"C1","Flow Categories",-448.499992,0.000000,1.000000,"Volumetric",-1.000000
"C2","Flow Categories",-463.089998,0.000000,1.000000,"Volumetric",-1.000000
"DC","Flow Categories",-500.709993,0.000000,1.000000,"Volumetric",-1.000000
"DH","Flow Categories",,,1.000000,"Volumetric",-1.000000
"DM","Flow Categories",,,1.000000,"Volumetric",-1.000000
"Base Diversified Volumetric","Flow Categories",,,1.000000,"Diversified Volumetric",-1.000000
"Base Diversified Thermal","Flow Categories",,,1.000000,"Diversified Thermal",-1.000000
"CL","Flow Categories",,,1.000000,"Volumetric",-1.000000
"PL-DC","Flow Categories",-68.860000,0.000000,1.000000,"Volumetric",-1.000000
"PL-AF","Flow Categories",-7.389999,0.000000,1.000000,"Volumetric",-1.000000
"CM","Flow Categories",,,1.000000,"Volumetric",-1.000000
"PL-PL","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",0.000000
