"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"64306400000194","Nodes","194",21.000000,48.764527,"DDS demands","Known Flow",306925.099673,666442.708555,,0.000000,-3.710000,,,,-5.879999,,,,-8.575549,-9.590000,,"","C1 PROFILE",,,,"D1 PROFILE",,,
"64306400000402","Nodes","402",21.000000,48.685902,"DDS demands","Known Flow",306916.349670,666460.833560,,0.000000,,,,,-5.579999,,,,-4.989735,-5.579999,,"",,,,,"D1 PROFILE",,,
"64306400000004","Nodes","Barratt's Estate DG, Tel, constant, Site ID 5898",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",307283.224770,666659.333614,,290.290015,,,,,,,,,186.113578,208.130004,,"",,,,,,,,
"64306400001188","Nodes","-4904555",21.000000,49.950712,"Default Known Flow Node","Known Flow",307152.095271,666684.461367,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000309","Nodes","Maryfield Park DG, Tel, constant, Site ID 5902",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",307150.474734,666685.458621,,226.560004,,,,,,,,,22.766788,25.460000,,"",,,,,,,,
"64306400000312","Nodes","The Orchards DG, Tel, constant, Site ID 5897",21.000000,74.999996,"Default Known Pressure Node","Known Pressure",307058.849709,666951.208693,,290.290015,,,,,,,,,74.220088,83.000003,,"",,,,,,,,
"64306400000319","Nodes","319",21.000000,49.839400,"DDS demands","Known Flow",308471.100093,667275.583781,,0.000000,,,,,-16.959999,,,,-15.165934,-16.959999,,"",,,,,"D1 PROFILE",,,
"64306400000308","Nodes","Calderhall Crescent RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",308468.725093,667274.333781,,999998.967025,,,,,,,,,30.823690,34.469999,,"",,,,,,,,
"64306400000406","Nodes","406",21.000000,49.831731,"DDS demands","Known Flow",308316.475051,667582.208865,,0.000000,,,,,-6.480000,,,,-5.794532,-6.480000,,"",,,,,"D1 PROFILE",,,
"64306400000009","Nodes","Broompark View DG, Tel, constant, Site ID 5853",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",308309.975050,667581.458865,,1982.439936,,,,,,,,,406.430991,454.510012,,"",,,,,,,,
"64306400000010","Nodes","10",21.000000,25.822323,"Default Known Flow Node","Known Flow",308658.600144,667477.958836,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000001","Nodes","Rawholdings DG, Tel, constant, Site ID 5856",21.000000,25.999999,"Default Known Pressure Node","Known Pressure",308644.350141,667452.208829,,2894.399982,,,,,,,,,266.530592,298.059994,,"",,,,,,,,
"64306400000157","Nodes","157",21.000000,49.640791,"Default Known Flow Node","Known Flow",309064.350255,667162.333750,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000003","Nodes","East Langton DG, Tel, constant, Site ID 5854",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",309057.850253,667172.833753,,4134.809959,,,,,,,,,469.696905,525.260000,,"",,,,,,,,
"64306400001168","Nodes","-437",21.000000,26.094193,"Default Known Flow Node","Known Flow",307341.725928,667491.958099,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000314","Nodes","Logger 10058, 29 Avenue Park",21.000000,25.988416,"Val Log Cath","Known Flow",307317.541456,667449.584616,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000220","Nodes","220",21.000000,25.912113,"DDS demands","Known Flow",307326.099782,667433.333824,,0.000000,,,,,-7.230000,,,,-6.465195,-7.230000,,"",,,,,"D1 PROFILE",,,
"64306400000355","Nodes","355",21.000000,22.148924,"DDS demands","Known Flow",306863.974656,667215.083765,,0.000000,,,,,-14.179999,,,,-12.680009,-14.179999,,"",,,,,"D1 PROFILE",,,
"64306400000313","Nodes","Logger 9686, 180 Braeside Park",21.000000,21.740206,"Default Known Flow Node","Known Flow",306915.033219,667245.070870,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000356","Nodes","356",21.000000,21.536214,"DDS demands","Known Flow",306930.724674,667226.833768,,0.000000,,,,,-8.669999,,,,-7.752868,-8.669999,,"",,,,,"D1 PROFILE",,,
"64306400000099","Nodes","99",21.000000,24.088926,"DDS demands","Known Flow",308538.725112,667036.958716,,0.000000,,,,,-6.049999,,,,-5.410018,-6.049999,,"",,,,,"D1 PROFILE",,,
"64306400000317","Nodes","Logger 9404, Rear of 47 Beechbank Crescent",21.000000,24.121322,"Default Known Flow Node","Known Flow",308562.146727,667022.118141,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64306400000100","Nodes","100",21.000000,24.080343,"DDS demands","Known Flow",308580.100123,667013.583710,,0.000000,,,,,-5.700000,,,,-5.097042,-5.700000,,"",,,,,"D1 PROFILE",,,
