"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",-1.000000
"Base Thermal","Flow Categories",,,1.000000,"Thermal",-1.000000
"D1","Flow Categories",-8081.909976,0.000000,1.000000,"Volumetric",-1.000000
"C2","Flow Categories",-632.360004,0.000000,1.000000,"Volumetric",-1.000000
"C4","Flow Categories",-100.389999,0.000000,1.000000,"Volumetric",-1.000000
"I2","Flow Categories",-32.090000,0.000000,1.000000,"Volumetric",-1.000000
"C1","Flow Categories",-534.990010,0.000000,1.000000,"Volumetric",-1.000000
"DC","Flow Categories",-723.959995,0.000000,1.000000,"Volumetric",-1.000000
"C3","Flow Categories",-4.759999,0.000000,1.000000,"Volumetric",-1.000000
"PL-PL","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",0.000000
"PL-AF","Flow Categories",-450.979999,0.000000,1.000000,"Volumetric",-1.000000
"DM","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",0.000000
"DH","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",-1.000000
"CM","Flow Categories",,,1.000000,"Volumetric",0.000000
"Base Diversified Volumetric","Flow Categories",,,1.000000,"Diversified Volumetric",-1.000000
"Base Diversified Thermal","Flow Categories",,,1.000000,"Diversified Thermal",-1.000000
"TT","Flow Categories",,,1.000000,"Volumetric",0.000000
"PL-DC","Flow Categories",-68.309997,0.000000,1.000000,"Volumetric",-1.000000
