"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)"
"64403800575824","Nodes","575824",21.000000,32.887088,"Default Known Flow Node","Known Flow",272719.715365,701563.843111,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000022","Nodes","22",21.000000,32.887088,"DDS demands","Known Flow",272717.215365,701562.468111,,0.000000,0.000000,,,,-19.700000,,-17.616093,-19.700000,,"","C1 PROFILE",,,,"D1 PROFILE",
"64403800000025","Nodes","25",21.000000,28.601768,"DDS demands","Known Flow",272423.139284,701394.445065,,0.000000,,,,,-3.010000,,-2.691595,-3.010000,,"",,,,,"D1 PROFILE",
"64403800000026","Nodes","26",21.000000,28.190451,"DDS demands","Known Flow",272391.745276,701342.752051,,0.000000,,,,,-6.989999,,-6.250582,-6.989999,,"",,,,,"D1 PROFILE",
"64403800575794","Nodes","575794",21.000000,34.461804,"Default Known Flow Node","Known Flow",272962.481891,701441.137651,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000040","Nodes","40",21.000000,34.461804,"DDS demands","Known Flow",272966.590432,701447.843080,,0.000000,,,,,-17.049999,,-15.246414,-17.049999,,"",,,,,"D1 PROFILE",
"64403800000083","Nodes","83",21.000000,32.404278,"DDS demands","Known Flow",272671.090352,701403.843068,,0.000000,,,,,-3.619999,,-3.237068,-3.619999,,"",,,,,"D1 PROFILE",
"64403800227499","Nodes","227499",21.000000,32.402042,"Default Known Flow Node","Known Flow",272680.450191,701369.713900,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64403800000027","Nodes","27",21.000000,32.575936,"DDS demands","Known Flow",272705.965361,701413.593071,,0.000000,,,,,-9.079999,,-8.119498,-9.079999,,"",,,,,"D1 PROFILE",
"64403800000029","Nodes","29",21.000000,32.652900,"DDS demands","Known Flow",272794.715386,701404.593068,,0.000000,,,,,-4.309999,,-3.854079,-4.309999,,"",,,,,"D1 PROFILE",
"64403800575803","Nodes","575803",21.000000,30.802982,"DDS demands","Known Flow",272796.449156,701359.858630,,0.000000,,-30.820000,,,,,-27.559796,-30.820000,,"",,"",,,,
"64403800000028","Nodes","28",21.000000,32.866710,"DDS demands","Known Flow",272796.660657,701415.351042,,0.000000,,,,,-11.499999,,-10.283505,-11.499999,,"",,,,,"D1 PROFILE",
