"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"64404000000617","Nodes","617",21.000000,37.263729,"DDS demands","Known Flow",277677.008714,700472.399814,,0.000000,,,,,,-23.480000,,,,,,-20.996237,-23.480000,,"",,,,,,"D1 PROFILE",,,,,
"64404000000618","Nodes","P08119587, Dunblane High School Site, 72.09",24.000000,33.517082,"CSEP DDS Matched","Known Flow",277298.089718,700835.965266,,0.000000,,,,,,,-31.022999,,,,,-27.741321,-31.022999,,"",,,,,,,"DC PROFILE",,,,
"64404000000025","Nodes","25",21.000000,33.004739,"DDS demands","Known Flow",277336.844622,701636.025131,,0.000000,,,,,,-5.330000,,,,,,-4.766181,-5.330000,,"",,,,,,"D1 PROFILE",,,,,
"64404000009657","Nodes","9657",21.000000,32.131154,"Default Known Flow Node","Known Flow",277347.712907,701699.965344,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000000024","Nodes","24",21.000000,31.654005,"DDS demands","Known Flow",277359.002628,701728.250156,,0.000000,,,,,,-27.430000,,,,,,-24.528397,-27.430000,,"",,,,,,"D1 PROFILE",,,,,
"64404000000602","Nodes","602",21.000000,31.174911,"DDS demands","Known Flow",277383.082613,701788.267008,,0.000000,,,,,,-6.070000,,,,,,-5.427902,-6.070000,,"",,,,,,"D1 PROFILE",,,,,
"64404000010762","Nodes","10762",21.000000,31.117455,"DDS demands","Known Flow",277395.314238,701815.892721,,0.000000,,,,,,-6.809999,,,,,,-6.089623,-6.809999,,"",,,,,,"D1 PROFILE",,,,,
"64404000010958","Nodes","-517",21.000000,31.057816,"Default Known Flow Node","Known Flow",278457.951363,701377.830735,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000001004","Nodes","1004",21.000000,31.052782,"DDS demands","Known Flow",278470.903973,701389.499023,,0.000000,,,,,,-3.940000,,,,,,-3.523218,-3.940000,,"",,,,,,"D1 PROFILE",,,,,
"64404000010964","Nodes","-534",21.000000,30.828326,"Default Known Flow Node","Known Flow",278495.057362,701430.858056,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000000300","Nodes","300",21.000000,34.288708,"DDS demands","Known Flow",277283.604607,700899.671931,,0.000000,,,,,,-26.659998,,,,,,-23.839848,-26.659998,,"",,,,,,"D1 PROFILE",,,,,
"64404000001000","Nodes","1000",21.000000,33.121618,"Default Known Flow Node","Known Flow",277318.262423,700781.656464,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000000092","Nodes","92",21.000000,33.055717,"DDS demands","Known Flow",277319.859018,700776.219800,,0.000000,,,,,,-27.609999,,,,,,-24.689356,-27.609999,,"",,,,,,"D1 PROFILE",,,,,
"64404000001192","Nodes","1192",21.000000,33.078192,"Default Known Flow Node","Known Flow",277323.015933,700765.469995,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000011019","Nodes","-7",21.000000,28.840792,"Default Known Flow Node","Known Flow",277354.814626,700658.156865,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000000026","Nodes","26",21.000000,32.862128,"DDS demands","Known Flow",277331.653464,701629.436985,,0.000000,,,,,,-3.609999,,,,,,-3.228126,-3.609999,,"",,,,,,"D1 PROFILE",,,,,
"64404000001009","Nodes","1009",21.000000,31.246755,"Default Known Flow Node","Known Flow",277364.830101,701617.106724,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010756","Nodes","-119",21.000000,21.818890,"Default Known Flow Node","Known Flow",277528.864674,701546.535107,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000001003","Nodes","1003",21.000000,30.324870,"DDS demands","Known Flow",279744.865262,701344.176322,,0.000000,,,,,,-6.099999,,,,,,-5.454729,-6.099999,,"",,,,,,"D1 PROFILE",,,,,
"64404000010953","Nodes","-505",21.000000,29.727733,"Default Known Flow Node","Known Flow",279329.193164,701337.982050,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000001002","Nodes","1002",21.000000,30.592248,"Default Known Flow Node","Known Flow",279779.143286,701348.931053,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000010930","Nodes","10930",21.000000,26.589999,"DDS demands","Known Flow",278200.304856,701218.110017,,0.000000,-4.300000,,,,,-14.819999,,,,,,-17.097446,-19.119999,,"","C1 PROFILE",,,,,"D1 PROFILE",,,,,
"64404000001005","Nodes","1005",21.000000,25.091509,"DDS demands","Known Flow",278212.000256,701075.212312,,0.000000,-6.220000,,,,,,,,,,,-5.562035,-6.220000,,"","C1 PROFILE",,,,,,,,,,
"64404000000340","Nodes","340",21.000000,24.964137,"Default Known Flow Node","Known Flow",278215.210861,701056.954974,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000000384","Nodes","384,",21.000000,38.723424,"DDS demands","Known Flow",278837.333030,702224.563291,,0.000000,,,,,,-14.770000,,,,,,-13.207598,-14.770000,,"",,,,,,"D1 PROFILE",,,,,
"64404000001014","Nodes","1014",21.000000,38.604077,"Default Known Flow Node","Known Flow",278820.410994,702234.525501,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000000441","Nodes","441",21.000000,38.470027,"DDS demands","Known Flow",278866.268038,702308.864314,,0.000000,,,,,,-4.719999,,,,,,-4.220708,-4.719999,,"",,,,,,"D1 PROFILE",,,,,
"64404000001025","Nodes","1025",21.000000,33.749848,"Default Known Flow Node","Known Flow",278484.341934,702456.843354,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000001028","Nodes","P14133385, BARBUSH CSEP, 39.05 SCMH",24.000000,33.922011,"CSEP Unmatched","Known Flow",278481.934413,702584.232277,,0.000000,,,,,,,,,,,-39.050001,-34.919208,-39.050001,,"",,,,,,,,,,,"DC PROFILE"
"64404000001018","Nodes","1018",21.000000,34.664253,"DDS demands","Known Flow",278777.300013,702520.761372,,0.000000,,,,,,-22.649998,,,,,,-20.254033,-22.649998,,"",,,,,,"D1 PROFILE",,,,,
"64404000001020","Nodes","1020",21.000000,32.660937,"DDS demands","Known Flow",278543.716950,702593.968392,,0.000000,,,,,,-8.569999,,,,,,-7.663447,-8.569999,,"",,,,,,"D1 PROFILE",,,,,
"64404000001027","Nodes","P08119599, Dunblane High School Site, 18.28",24.000000,33.790066,"CSEP DDS Matched","Known Flow",277220.353140,700890.133788,,0.000000,,,,,,,-7.413000,,,,,-6.628837,-7.413000,,"",,,,,,,"DC PROFILE",,,,
"64404000001026","Nodes","1026",21.000000,33.430286,"Default Known Flow Node","Known Flow",278522.841944,702452.468353,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"64404000000460","Nodes","P00044497, Barbush, 214",26.000000,33.747273,"CSEP DDS Matched","Known Flow",278483.847807,702454.496251,,0.000000,,,,,,-6.289999,-213.999998,,,,,-196.987259,-220.289993,,"",,,,,,"D1 PROFILE","DC PROFILE",,,,
"64404000001023","Nodes","1023",21.000000,34.741740,"Default Known Flow Node","Known Flow",278805.494618,702540.016762,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
