SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,38.98,PE,Enabled,Default Pipe,1,21.2
2,PI000002,39.20,PE,Enabled,Default Pipe,1,37.4
3,PI000003,39.23,PE,Enabled,Default Pipe,1,32.4
4,PI000004,38.10,PE,Enabled,Default Pipe,1,2.5
5,PI000005,38.10,PE,Enabled,Default Pipe,1,2.5
6,PI000006,38.04,PE,Enabled,Default Pipe,1,39.2
7,PI000007,39.90,PE,Enabled,Default Pipe,1,3.1
8,PI000008,39.86,PE,Enabled,Default Pipe,1,30.0
9,PI000009,38.05,PE,Enabled,Default Pipe,1,31.5
10,PI000010,39.93,PE,Enabled,Default Pipe,1,11.5
11,PI000011,39.84,PE,Enabled,Default Pipe,1,2.8
12,PI000012,38.03,PE,Enabled,Default Pipe,1,22.2
13,PI000013,38.72,PE,Enabled,Default Pipe,1,5.6
14,PI000014,39.19,PE,Enabled,Default Pipe,1,8.9
15,PI000015,43.39,PE,Enabled,Default Pipe,1,6.5
16,PI000016,46.47,PE,Enabled,Default Pipe,1,21.8
17,PI000017,47.03,PE,Enabled,Default Pipe,1,83.3
18,PI000018,46.34,PE,Enabled,Default Pipe,1,9.8
19,PI000019,45.90,PE,Enabled,Default Pipe,1,27.1
20,PI000020,46.60,PE,Enabled,Default Pipe,1,30.3
21,PI000021,44.91,PE,Enabled,Default Pipe,1,10.4
22,PI000022,47.99,PE,Enabled,Default Pipe,1,76.5
23,PI000023,46.11,PE,Enabled,Default Pipe,1,36.5
24,PI000024,46.20,PE,Enabled,Default Pipe,1,9.0
25,PI000025,46.41,PE,Enabled,Default Pipe,1,19.8
26,PI000026,44.56,PE,Enabled,Default Pipe,1,27.1
27,PI000027,46.26,PE,Enabled,Default Pipe,1,24.0
28,PI000028,23.02,PE,Enabled,Default Pipe,1,1.4
29,PI000029,25.11,PE,Enabled,Default Pipe,1,2.0
30,PI000030,45.11,PE,Enabled,Default Pipe,1,1.1
31,PI000031,25.07,PE,Enabled,Default Pipe,1,0.4
32,PI000032,25.03,PE,Enabled,Default Pipe,1,5.1
33,PI000033,24.61,PE,Enabled,Default Pipe,1,20.1
34,PI000034,25.11,PE,Enabled,Default Pipe,1,15.3
35,PI000035,45.25,PE,Enabled,Default Pipe,1,16.7
36,PI000036,47.51,PE,Enabled,Default Pipe,1,33.4
37,PI000037,45.15,PE,Enabled,Default Pipe,1,24.0
38,PI000038,33.37,DI,Enabled,Default Pipe,1,2.7
