SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,25.94,CI,Enabled,Default Pipe,1,429.3
2,PI000002,26.07,CI,Enabled,Default Pipe,1,1035.4
3,PI000004,25.64,PE,Enabled,Default Pipe,1,0.8
4,PI000005,25.97,PE,Enabled,Default Pipe,1,17.0
5,PI000006,25.87,PE,Enabled,Default Pipe,1,2.7
6,PI000007,25.87,PE,Enabled,Default Pipe,1,13.0
7,PI000008,25.33,PE,Enabled,Default Pipe,1,36.3
8,PI000009,25.73,PE,Enabled,Default Pipe,1,2.1
9,PI000010,26.02,PE,Enabled,Default Pipe,1,2.8
10,PI000012,26.22,PE,Enabled,Default Pipe,1,7.5
11,PI000013,29.45,PE,Enabled,Default Pipe,1,5.4
12,PI000014,29.35,PE,Enabled,Default Pipe,1,7.2
13,PI000015,26.21,PE,Enabled,Default Pipe,1,59.0
14,PI000016,25.94,PE,Enabled,Default Pipe,1,0.5
15,PI000017,26.01,PE,Enabled,Default Pipe,1,1.6
16,PI000018,25.97,PE,Enabled,Default Pipe,1,12.2
17,PI000019,25.86,PE,Enabled,Default Pipe,1,16.5
18,PI000020,25.94,PE,Enabled,Default Pipe,1,28.8
19,PI000021,26.16,PE,Enabled,Default Pipe,1,24.1
20,PI000022,25.87,PE,Enabled,Default Pipe,1,1.7
21,PI000023,25.87,PE,Enabled,Default Pipe,1,24.0
22,PI000024,25.89,PE,Enabled,Default Pipe,1,1.6
23,PI000025,28.63,PE,Enabled,Default Pipe,1,1.4
24,PI000026,27.52,PE,Enabled,Default Pipe,1,5.5
25,PI000027,30.56,PE,Enabled,Default Pipe,1,6.7
26,PI000028,26.01,PE,Enabled,Default Pipe,1,1.9
27,PI000030,29.66,PE,Enabled,Replacement Pipe,1,107.6
28,PI000031,25.94,PE,Enabled,Default Pipe,1,1.2
29,PI000032,27.38,PE,Enabled,Default Pipe,1,1.7
30,PI000033,27.57,PE,Enabled,Default Pipe,1,3.3
31,PI000034,28.86,PE,Enabled,Default Pipe,1,77.7
32,PI000035,26.20,CI,Enabled,Default Pipe,1,1.7
33,PI000036,29.25,PE,Enabled,Default Pipe,1,15.4
34,PI000037,29.86,PE,Enabled,Default Pipe,1,1.9
35,PI000038,30.54,PE,Enabled,Default Pipe,1,3.8
36,PI000039,28.45,PE,Enabled,Default Pipe,1,51.5
37,PI000040,23.45,PE,Enabled,Default Pipe,1,4.3
38,PI000041,24.50,PE,Enabled,Replacement Pipe,1,144.3
39,PI000042,23.47,PE,Enabled,Default Pipe,1,2.1
40,PI000044,23.83,PE,Enabled,Default Pipe,1,34.7
41,PI000045,26.52,PE,Enabled,Default Pipe,1,1.7
42,PI000046,26.52,PE,Enabled,Default Pipe,1,2.5
43,PI000047,23.48,PE,Enabled,Default Pipe,1,9.4
44,PI000048,23.52,PE,Enabled,Default Pipe,1,12.0
45,PI000050,26.41,PE,Enabled,Default Pipe,1,29.3
46,PI000052,27.64,PE,Enabled,Default Pipe,1,122.1
47,PI000053,22.91,PE,Enabled,Default Pipe,1,5.9
48,PI000054,26.23,PE,Enabled,Default Pipe,1,20.8
49,PI000055,28.79,PE,Enabled,Default Pipe,1,14.3
50,PI000056,28.73,PE,Enabled,Default Pipe,1,21.6
51,PI000057,30.52,PE,Enabled,Default Pipe,1,5.8
52,PI000058,30.57,PE,Enabled,Default Pipe,1,17.2
53,PI000059,29.22,PE,Enabled,Replacement Pipe,1,3.3
54,PI000060,29.03,PE,Enabled,Default Pipe,1,4.3
55,PI000061,29.97,PE,Enabled,Replacement Pipe,1,2.8
56,PI000062,26.85,PE,Enabled,Default Pipe,1,2.9
57,PI000063,26.83,PE,Enabled,Default Pipe,1,7.6
58,PI000064,29.42,PE,Enabled,Default Pipe,1,2.7
59,PI000065,26.86,DI,Enabled,Default Pipe,1,1.8
60,PI000066,30.44,DI,Enabled,Default Pipe,1,2.5
61,PI000068,24.62,CI,Enabled,Default Pipe,1,18.1
62,PI000069,29.90,PE,Enabled,Default Pipe,1,48.8
63,PI000070,30.69,PE,Enabled,Default Pipe,1,9.6
64,PI000071,30.77,PE,Enabled,Default Pipe,1,16.0
65,PI000072,30.06,PE,Enabled,Replacement Pipe,1,2.0
66,PI000073,24.30,CI,Enabled,Default Pipe,1,66.4
67,PI000074,24.51,CI,Enabled,Default Pipe,1,7.5
68,PI000075,25.41,ST,Enabled,Default Pipe,1,26.1
69,PI000076,30.62,PE,Enabled,Default Pipe,1,2.5
70,PI000077,30.61,PE,Enabled,Default Pipe,1,4.1
71,PI000078,30.58,PE,Enabled,Default Pipe,1,1.7
72,PI000079,30.67,PE,Enabled,Default Pipe,1,25.7
73,PI000080,30.42,PE,Enabled,Default Pipe,1,17.7
74,PI000081,30.30,PE,Enabled,Default Pipe,1,0.7
75,PI000082,29.93,PE,Enabled,Default Pipe,1,31.9
76,PI000083,26.82,PE,Enabled,Default Pipe,1,7.0
77,PI000084,30.79,PE,Enabled,Default Pipe,1,67.6
78,PI000085,29.51,CI,Enabled,Default Pipe,1,6.3
79,PI000086,28.97,PE,Enabled,Replacement Pipe,1,73.9
80,PI000087,28.33,PE,Enabled,Default Pipe,1,1.4
81,PI000089,26.76,DI,Enabled,Default Pipe,1,11.5
82,PI000090,25.68,ST,Enabled,Default Pipe,1,9.0
83,PI000091,25.71,PE,Enabled,Default Pipe,1,1.2
84,PI000092,24.29,PE,Enabled,Default Pipe,1,1.3
85,PI000093,28.29,PE,Enabled,Default Pipe,1,2.5
86,PI000095,29.82,PE,Enabled,Default Pipe,1,3.5
87,PI000098,22.34,PE,Enabled,Replacement Pipe,1,37.6
88,PI000099,27.84,PE,Enabled,Default Pipe,1,46.0
89,PI000100,27.62,PE,Enabled,Default Pipe,1,29.5
90,PI000101,28.29,PE,Enabled,Default Pipe,1,4.3
91,PI000102,22.49,PE,Enabled,Replacement Pipe,1,21.5
92,PI000103,23.15,PE,Enabled,Replacement Pipe,1,21.2
93,PI000104,28.25,PE,Enabled,Default Pipe,1,1.8
94,PI000106,28.29,PE,Enabled,Default Pipe,1,2.0
95,PI000107,28.04,SI,Enabled,Default Pipe,1,52.0
96,PI000108,23.89,CI,Enabled,Default Pipe,1,148.7
97,PI000109,28.25,SI,Enabled,Default Pipe,1,10.0
98,PI000110,24.06,CI,Enabled,Default Pipe,1,15.6
99,PI000111,27.43,PE,Enabled,Default Pipe,1,12.8
100,PI000112,22.40,PE,Enabled,Replacement Pipe,1,19.5
101,PI000113,23.09,PE,Enabled,Replacement Pipe,1,33.1
102,PI000114,27.42,PE,Enabled,Default Pipe,1,2.4
103,PI000115,27.43,PE,Enabled,Default Pipe,1,2.7
104,PI000116,22.15,PE,Enabled,Default Pipe,1,11.9
105,PI000117,22.74,PE,Enabled,Replacement Pipe,1,55.8
106,PI000118,22.49,PE,Enabled,Replacement Pipe,1,3.1
107,PI000119,27.81,CI,Enabled,Default Pipe,1,0.3
108,PI000120,28.77,PE,Enabled,Default Pipe,1,20.2
109,PI000121,28.86,PE,Enabled,Default Pipe,1,46.2
110,PI000122,24.54,PE,Enabled,Default Pipe,1,2.7
111,PI000123,24.67,PE,Enabled,Default Pipe,1,72.6
112,PI000124,21.85,PE,Enabled,Replacement Pipe,1,3.5
113,PI000125,21.00,PE,Enabled,Replacement Pipe,1,2.3
114,PI000126,27.79,PE,Enabled,Default Pipe,1,2.9
115,PI000127,21.98,PE,Enabled,Replacement Pipe,1,10.1
116,PI000128,24.54,PE,Enabled,Default Pipe,1,2.2
117,PI000129,24.59,PE,Enabled,Default Pipe,1,46.2
118,PI000130,21.34,PE,Enabled,Replacement Pipe,1,1.5
119,PI000131,21.22,PE,Enabled,Replacement Pipe,1,31.1
120,PI000132,21.09,PE,Enabled,Replacement Pipe,1,13.7
121,PI000133,21.08,PE,Enabled,Replacement Pipe,1,13.4
122,PI000134,23.22,PE,Enabled,Replacement Pipe,1,1.5
123,PI000135,21.35,PE,Enabled,Replacement Pipe,1,102.6
124,PI000137,21.13,PE,Enabled,Replacement Pipe,1,3.9
125,PI000138,26.35,CI,Enabled,Default Pipe,1,134.8
126,PI000140,24.57,PE,Enabled,Default Pipe,1,16.8
127,PI000141,23.51,PE,Enabled,Replacement Pipe,1,6.3
128,PI000142,26.53,PE,Enabled,Default Pipe,1,18.9
