SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,0465815486,67.93,PE,Enabled,Default Pipe,2,111.8
2,0465815187,64.61,PE,Enabled,Default Pipe,2,83.2
3,0465815182,67.25,PE,Enabled,Default Pipe,2,84.5
4,0467240422,69.73,PE,Enabled,Default Pipe,2,0.6
5,0628056868,69.78,PE,Enabled,Default Pipe,2,73.1
6,0607723461,48.90,PE,Enabled,Default Pipe,1,26.1
7,0465815458,68.94,PE,Enabled,Default Pipe,2,9.1
8,0465815128,61.06,PE,Enabled,Default Pipe,2,65.0
9,0465815124,62.48,PE,Enabled,Default Pipe,2,45.5
10,0465815181,69.56,PE,Enabled,Default Pipe,2,3.4
11,0465815498,62.91,PE,Enabled,Default Pipe,2,87.9
12,0465815068,49.93,PE,Enabled,Default Pipe,1,5.3
13,0467240423,69.46,PE,Enabled,Default Pipe,2,13.3
14,0465815123,62.47,PE,Enabled,Default Pipe,2,1.3
15,0465815558,69.69,PE,Enabled,Default Pipe,2,68.4
16,0467240421,69.73,PE,Enabled,Default Pipe,2,79.5
17,0467240420,69.92,PE,Enabled,Default Pipe,2,22.2
18,0465815485,68.49,PE,Enabled,Default Pipe,2,55.8
19,0465815457,68.66,PE,Enabled,Default Pipe,2,1.1
20,0465815184,65.29,PE,Enabled,Default Pipe,2,58.5
21,0465815493,67.55,PE,Enabled,Default Pipe,2,23.9
22,0465815516,46.33,PE,Enabled,Default Pipe,2,229.9
23,0465815534,51.80,PE,Enabled,Default Pipe,2,45.2
24,0465815539,52.89,PE,Enabled,Default Pipe,2,45.2
25,0465815530,51.75,PE,Enabled,Default Pipe,2,60.0
26,0465815142,54.48,PE,Enabled,Default Pipe,2,95.3
27,0465815134,59.69,PE,Enabled,Default Pipe,2,41.7
28,0465815526,52.24,PE,Enabled,Default Pipe,2,54.2
29,0465815562,52.56,PE,Enabled,Default Pipe,2,140.7
30,0465815533,51.41,PE,Enabled,Default Pipe,2,39.8
31,PI000043,69.79,PE,Enabled,Default Pipe,2,24.0
32,PI000048,69.51,PE,Enabled,Default Pipe,2,7.5
33,PI000050,67.54,PE,Enabled,Default Pipe,2,4.3
34,0650973602,53.26,PE,Enabled,Default Pipe,2,23.7
35,0650973659,51.94,PE,Enabled,Default Pipe,2,25.8
36,PI000052,57.44,PE,Enabled,Default Pipe,2,104.5
37,PI000053,51.46,PE,Enabled,Default Pipe,2,3.0
38,PI000079,69.21,PE,Enabled,Default Pipe,2,82.6
39,PI000084,49.05,PE,Enabled,Default Pipe,1,0.6
40,PI000088,54.25,PE,Enabled,Default Pipe,2,116.3
41,PI000089,55.23,PE,Enabled,Default Pipe,2,2.6
42,PI000090,51.55,PE,Enabled,Default Pipe,2,127.2
43,PI000091,51.95,PE,Enabled,Default Pipe,2,1.8
44,PI000174,49.45,PE,Enabled,Default Pipe,1,73.8
45,PI000175,49.03,PE,Enabled,Default Pipe,1,20.8
46,PI000178,69.74,PE,Enabled,Default Pipe,2,15.8
47,PI000180,69.08,PE,Enabled,Default Pipe,2,23.5
48,PI000182,69.62,PE,Enabled,Default Pipe,2,74.2
49,PI000183,68.30,PE,Enabled,Default Pipe,2,1.4
50,PI000185,68.96,PE,Enabled,Default Pipe,2,19.2
51,PI000186,68.79,PE,Enabled,Default Pipe,2,37.3
52,PI000187,62.21,PE,Enabled,Default Pipe,2,54.3
53,PI000188,62.97,PE,Enabled,Default Pipe,2,52.3
54,PI000190,65.79,PE,Enabled,Default Pipe,2,1.4
55,PI000197,62.03,PE,Enabled,Default Pipe,2,19.4
56,PI000198,64.78,PE,Enabled,Default Pipe,2,2.5
57,PI000199,68.91,PE,Enabled,Default Pipe,2,1.0
58,PI000200,69.50,PE,Enabled,Default Pipe,2,0.8
59,PI000213,51.89,PE,Enabled,Default Pipe,2,32.6
60,0467242628,35.95,PE,Enabled,Default Pipe,3,75.6
61,0465814660,32.68,PE,Enabled,Default Pipe,3,1.6
62,0465814649,33.33,PE,Enabled,Default Pipe,3,59.4
