SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,27.36,PE,Enabled,Default Pipe,1,61.0
2,PI000002,24.72,PE,Enabled,Default Pipe,1,122.2
3,PI000003,24.60,PE,Enabled,Default Pipe,1,4.8
4,PI000004,24.78,PE,Enabled,Default Pipe,1,1.1
5,PI000005,26.24,CI,Enabled,Default Pipe,1,2.1
6,PI000006,24.77,PE,Enabled,Default Pipe,1,71.1
7,PI000007,26.24,CI,Enabled,Default Pipe,1,2.1
8,PI000008,29.31,SI,Enabled,Default Pipe,1,78.6
9,PI000009,32.43,PE,Enabled,Default Pipe,1,22.5
10,PI000010,30.16,PE,Enabled,Default Pipe,1,19.6
11,PI000011,31.58,DI,Enabled,Default Pipe,1,47.2
12,PI000012,30.25,PE,Enabled,Default Pipe,1,0.8
13,PI000013,30.15,PE,Enabled,Default Pipe,1,14.8
14,PI000014,30.26,PE,Enabled,Default Pipe,1,20.3
15,PI000015,30.64,SI,Enabled,Default Pipe,1,2.4
16,PI000016,28.58,PE,Enabled,Default Pipe,1,27.9
17,PI000017,29.95,PE,Enabled,Default Pipe,1,47.2
18,PI000018,30.21,PE,Enabled,Default Pipe,1,20.0
19,PI000019,31.99,DI,Enabled,Default Pipe,1,19.2
20,PI000020,30.34,SI,Enabled,Default Pipe,1,32.2
21,PI000021,27.58,PE,Enabled,Default Pipe,1,33.0
22,PI000022,28.51,PE,Enabled,Default Pipe,1,13.2
23,PI000023,30.53,DI,Enabled,Default Pipe,1,19.9
24,PI000024,30.51,DI,Enabled,Default Pipe,1,0.8
25,PI000025,28.26,PE,Enabled,Default Pipe,1,3.0
26,PI000026,29.24,PE,Enabled,Default Pipe,1,24.6
27,PI000027,29.78,DI,Enabled,Default Pipe,1,42.6
28,PI000028,29.98,PE,Enabled,Default Pipe,1,31.2
29,PI000029,28.39,PE,Enabled,Replacement Pipe,1,92.4
30,PI000030,30.72,DI,Enabled,Default Pipe,1,14.9
31,PI000031,28.08,PE,Enabled,Replacement Pipe,1,5.4
32,PI000032,29.22,PE,Enabled,Replacement Pipe,1,25.4
33,PI000033,29.20,PE,Enabled,Default Pipe,1,28.5
34,PI000034,30.51,DI,Enabled,Default Pipe,1,0.8
35,PI000035,31.21,DI,Enabled,Default Pipe,1,5.5
36,PI000036,29.56,PE,Enabled,Default Pipe,1,73.6
37,PI000037,29.73,PE,Enabled,Default Pipe,1,40.9
38,PI000038,30.10,PE,Enabled,Default Pipe,1,50.0
39,PI000039,29.88,PE,Enabled,Default Pipe,1,1.4
40,PI000040,28.67,PE,Enabled,Default Pipe,1,59.2
41,PI000041,26.04,PE,Enabled,Replacement Pipe,1,54.6
42,PI000042,29.48,PE,Enabled,Default Pipe,1,37.4
43,PI000043,29.15,PE,Enabled,Default Pipe,1,10.0
44,PI000044,31.16,DI,Enabled,Default Pipe,1,7.6
45,PI000045,29.68,PE,Enabled,Default Pipe,1,15.3
46,PI000046,28.45,PE,Enabled,Default Pipe,1,7.6
47,PI000047,26.86,PE,Enabled,Default Pipe,1,30.8
48,PI000048,29.27,PE,Enabled,Default Pipe,1,60.2
49,PI000049,29.49,PE,Enabled,Default Pipe,1,60.1
50,PI000050,28.47,PE,Enabled,Replacement Pipe,1,21.0
51,PI000051,29.55,PE,Enabled,Default Pipe,1,5.0
52,PI000052,29.20,PE,Enabled,Default Pipe,1,20.5
53,PI000053,32.13,CI,Enabled,Default Pipe,1,36.1
54,PI000054,31.75,DI,Enabled,Default Pipe,1,3.0
55,PI000055,28.89,PE,Enabled,Replacement Pipe,1,2.3
56,PI000056,32.54,DI,Enabled,Default Pipe,1,4.2
57,PI000057,32.60,DI,Enabled,Default Pipe,1,2.7
58,PI000058,25.00,PE,Enabled,Default Pipe,1,30.7
59,PI000059,25.79,PE,Enabled,Default Pipe,1,3.4
60,PI000060,25.79,PE,Enabled,Default Pipe,1,16.2
61,PI000061,32.00,CI,Enabled,Default Pipe,1,17.2
62,PI000062,29.00,PE,Enabled,Default Pipe,1,8.6
63,PI000063,23.67,SI,Enabled,Default Pipe,1,7.0
64,PI000064,29.18,PE,Enabled,Default Pipe,1,4.2
65,PI000065,23.20,PE,Enabled,Default Pipe,1,22.6
66,PI000066,28.16,CI,Enabled,Default Pipe,1,3.5
67,PI000067,22.61,PE,Enabled,Default Pipe,1,111.1
68,PI000068,27.54,PE,Enabled,Default Pipe,1,11.9
69,PI000069,27.59,CI,Enabled,Default Pipe,1,1.5
70,PI000070,27.47,PE,Enabled,Default Pipe,1,25.2
71,PI000071,26.38,PE,Enabled,Default Pipe,1,10.1
72,PI000072,30.90,PE,Enabled,Default Pipe,1,3.6
73,PI000073,30.38,PE,Enabled,Default Pipe,1,2.7
74,PI000074,30.49,PE,Enabled,Default Pipe,1,5.4
75,PI000075,28.84,PE,Enabled,Default Pipe,1,2.0
76,PI000076,26.29,PE,Enabled,Default Pipe,1,36.8
77,PI000077,72.01,PE,Enabled,Default Pipe,3,159.6
78,PI000078,25.72,PE,Enabled,Default Pipe,1,20.4
79,PI000079,30.15,PE,Enabled,Default Pipe,1,8.8
80,PI000080,25.71,PE,Enabled,Default Pipe,1,16.7
81,PI000081,25.71,PE,Enabled,Default Pipe,1,3.2
82,PI000082,26.04,PE,Enabled,Default Pipe,1,1.8
83,PI000083,26.57,PE,Enabled,Default Pipe,1,4.4
84,PI000084,26.80,PE,Enabled,Default Pipe,1,31.8
85,PI000085,25.22,PE,Enabled,Default Pipe,1,1.6
86,PI000086,26.00,PE,Enabled,Default Pipe,1,3.6
87,PI000087,25.29,PE,Enabled,Default Pipe,1,22.9
88,PI000088,25.66,PE,Enabled,Default Pipe,1,20.5
89,PI000089,29.56,PE,Enabled,Replacement Pipe,1,6.8
90,PI000090,29.45,PE,Enabled,Default Pipe,1,6.5
91,PI000091,28.73,PE,Enabled,Replacement Pipe,1,9.1
92,PI000092,73.43,PE,Enabled,Default Pipe,3,29.6
93,PI000093,29.48,PE,Enabled,Default Pipe,1,1.5
94,PI000094,29.04,PE,Enabled,Replacement Pipe,1,26.8
95,PI000095,28.25,PE,Enabled,Replacement Pipe,1,12.7
96,PI000096,28.77,PE,Enabled,Replacement Pipe,1,4.8
97,PI000097,29.06,PE,Enabled,Default Pipe,1,8.0
98,PI000098,28.81,PE,Enabled,Default Pipe,1,2.0
99,PI000099,29.07,PE,Enabled,Default Pipe,1,12.7
100,PI000100,25.74,PE,Enabled,Default Pipe,1,186.8
101,PI000101,24.43,PE,Enabled,Default Pipe,1,4.1
102,PI000103,26.25,PE,Enabled,Default Pipe,1,22.7
103,PI000104,24.37,PE,Enabled,Default Pipe,1,5.2
104,PI000105,24.58,PE,Enabled,Default Pipe,1,2.1
105,PI000106,24.02,PE,Enabled,Default Pipe,1,2.0
106,PI000107,29.54,PE,Enabled,Default Pipe,1,57.9
107,PI000108,27.05,PE,Enabled,Default Pipe,1,0.5
108,PI000109,26.70,PE,Enabled,Default Pipe,1,40.4
109,PI000110,42.92,PE,Enabled,Default Pipe,2,24.7
110,PI000111,24.74,PE,Enabled,Default Pipe,1,47.9
111,PI000112,25.70,PE,Enabled,Default Pipe,1,31.1
112,PI000113,26.15,PE,Enabled,Default Pipe,1,21.3
113,PI000114,25.34,PE,Enabled,Default Pipe,1,5.2
114,PI000115,24.71,PE,Enabled,Default Pipe,1,27.8
115,PI000116,24.56,PE,Enabled,Default Pipe,1,26.1
116,PI000118,25.17,PE,Enabled,Default Pipe,1,9.4
117,PI000119,25.74,PE,Enabled,Default Pipe,1,2.1
118,PI000120,25.83,PE,Enabled,Default Pipe,1,1.7
119,PI000121,27.35,PE,Enabled,Default Pipe,1,28.0
120,PI000123,24.74,PE,Enabled,Default Pipe,1,5.0
121,PI000124,24.63,PE,Enabled,Default Pipe,1,22.1
