SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI0000080000008,30.55,SI,Enabled,Default Pipe,1,100.1
2,PI0000090000009,27.90,PE,Enabled,Default Pipe,1,1.1
3,PI0000100000010,30.15,PE,Enabled,Default Pipe,1,3.8
4,PI0000110000011,31.00,SI,Enabled,Default Pipe,1,16.9
5,0650407958,30.92,PE,Enabled,Default Pipe,1,44.4
6,0465875312,29.85,PE,Enabled,Default Pipe,1,67.6
7,0465866482,31.06,SI,Enabled,Default Pipe,1,74.0
8,0465875435,31.20,PE,Enabled,Default Pipe,1,3.4
9,0465875977,30.72,PE,Enabled,Default Pipe,1,126.3
10,0465875309,30.75,PE,Enabled,Default Pipe,1,55.0
11,0607200904,29.73,PE,Enabled,Default Pipe,1,11.0
12,0465875562,28.72,PE,Enabled,Default Pipe,1,48.2
13,0465875438,31.04,PE,Enabled,Default Pipe,1,82.6
14,0465875307,30.24,PE,Enabled,Default Pipe,1,75.3
15,0607200901,31.01,PE,Enabled,Default Pipe,1,9.7
16,PI0000010000001,31.06,PE,Enabled,Default Pipe,1,3.9
17,0465875443,31.15,PE,Enabled,Default Pipe,1,6.9
18,0606320499,31.16,PE,Enabled,Default Pipe,1,116.9
19,0465875422,30.25,PE,Enabled,Default Pipe,1,112.3
20,PI0000020000002,31.17,PE,Enabled,Default Pipe,1,36.2
21,0465875442,31.20,PE,Enabled,Default Pipe,1,2.8
22,PI0000030000003,31.20,SI,Enabled,Default Pipe,1,3.4
23,0465866494,31.33,PE,Enabled,Default Pipe,1,9.8
24,PI0000040000004,31.10,PE,Enabled,Default Pipe,1,3.7
25,0650495420,31.09,PE,Enabled,Default Pipe,1,4.5
26,0465875560,29.29,PE,Enabled,Default Pipe,1,93.2
27,0465870584,30.18,SI,Enabled,Default Pipe,1,6.1
28,0620728820,27.91,PE,Enabled,Default Pipe,1,99.6
29,0620728821,27.90,PE,Enabled,Default Pipe,1,322.4
30,0607869409,27.85,CI,Enabled,Default Pipe,1,1.8
31,0467220935,27.96,SI,Enabled,Default Pipe,1,16.5
32,0465870576,28.92,SI,Enabled,Default Pipe,1,49.1
33,0620728825,27.84,PE,Enabled,Default Pipe,1,210.4
34,0607425759,29.18,PE,Enabled,Default Pipe,1,3.1
35,0605388309,27.87,PE,Enabled,Default Pipe,1,9.9
36,0467220939,28.50,ST,Enabled,Default Pipe,1,25.3
37,0622928664,27.85,PE,Enabled,Default Pipe,1,6.8
38,0465874233,28.64,SI,Enabled,Default Pipe,1,1.6
39,PI0000050000005,28.74,SI,Enabled,Default Pipe,1,36.5
40,0601223199,28.35,PE,Enabled,Default Pipe,1,2.4
41,PI0000060000006,29.10,SI,Enabled,Default Pipe,1,4.0
42,0465870587,29.46,PE,Enabled,Default Pipe,1,20.3
43,PI0000070000007,28.61,PE,Enabled,Default Pipe,1,8.7
44,0602917065,28.47,PE,Enabled,Default Pipe,1,70.9
45,0622928662,27.85,PE,Enabled,Default Pipe,1,3.5
46,0465870588,29.94,PE,Enabled,Default Pipe,1,29.4
47,0465870581,31.00,SI,Enabled,Default Pipe,1,80.4
48,0613748550,27.85,PE,Enabled,Default Pipe,1,14.7
49,0607425884,30.13,PE,Enabled,Default Pipe,1,4.9
50,0467220937,27.85,PE,Enabled,Default Pipe,1,7.7
51,0650407937,30.92,PE,Enabled,Default Pipe,1,10.4
52,0620728823,27.81,PE,Enabled,Default Pipe,1,0.9
53,0606329760,32.24,CI,Enabled,Default Pipe,1,1.1
54,0465867173,31.50,PE,Enabled,Default Pipe,1,13.6
55,0465867169,31.60,PE,Enabled,Default Pipe,1,14.3
56,PI0000120000012,31.54,PE,Enabled,Default Pipe,1,21.6
57,0465878513,31.43,PE,Enabled,Default Pipe,1,93.8
58,0465871041,29.06,PE,Enabled,Default Pipe,1,10.2
59,0465875967,30.68,PE,Enabled,Default Pipe,1,44.7
60,0626188555,32.94,PE,Enabled,Default Pipe,1,75.5
61,0626185904,29.51,PE,Enabled,Default Pipe,1,6.4
62,PI0000130000013,33.05,SI,Enabled,Default Pipe,1,0.3
63,0465859742,32.29,PE,Enabled,Default Pipe,1,213.3
64,0465872921,31.68,PE,Enabled,Default Pipe,1,1.7
65,0465875969,31.36,PE,Enabled,Default Pipe,1,34.4
66,0465872909,32.07,PE,Enabled,Default Pipe,1,100.4
67,0626185903,29.50,PE,Enabled,Default Pipe,1,18.2
68,0465871018,29.62,PE,Enabled,Default Pipe,1,39.1
69,0607901405,37.05,CI,Enabled,Default Pipe,1,8.8
70,0465871039,29.30,PE,Enabled,Default Pipe,1,55.1
71,PI0000140000014,35.44,SI,Enabled,Default Pipe,1,3.3
72,0465870496,35.81,SI,Enabled,Default Pipe,1,34.5
73,0465867166,31.55,PE,Enabled,Default Pipe,1,49.8
74,0626117790,30.80,PE,Enabled,Default Pipe,1,10.6
75,0465866492,31.95,PE,Enabled,Default Pipe,1,43.1
76,0465871042,28.97,PE,Enabled,Default Pipe,1,24.3
77,0626177774,30.91,PE,Enabled,Default Pipe,1,25.1
78,0626836803,31.23,PE,Enabled,Default Pipe,1,18.0
79,0626188556,32.64,PE,Enabled,Default Pipe,1,65.0
80,0465872911,29.27,PE,Enabled,Default Pipe,1,47.9
81,PI0000150000015,34.29,SI,Enabled,Default Pipe,1,98.4
82,0607393787,33.12,PE,Enabled,Default Pipe,1,5.6
83,0607869406,30.82,PE,Enabled,Default Pipe,1,23.0
84,0607215214,31.64,PE,Enabled,Default Pipe,1,11.0
85,0650191762,29.28,PE,Enabled,Default Pipe,1,8.6
86,0465864272,31.60,PE,Enabled,Default Pipe,1,10.4
87,0626185902,29.79,PE,Enabled,Default Pipe,1,20.4
