SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000002,28.10,PE,Enabled,Default Pipe,2,2.8
2,PI000003,26.19,PE,Enabled,Default Pipe,2,9.2
3,PI000004,27.15,ST,Enabled,Default Pipe,2,19.7
4,PI000005,26.37,PE,Enabled,Default Pipe,2,1.4
5,PI000006,26.63,PE,Enabled,Default Pipe,2,2.4
6,PI000007,26.23,PE,Enabled,Default Pipe,2,33.0
7,PI000008,28.73,PE,Enabled,Default Pipe,2,1.9
8,PI000009,29.19,PE,Enabled,Default Pipe,2,2.6
9,PI000010,29.22,PE,Enabled,Default Pipe,2,22.5
10,PI000011,26.57,PE,Enabled,Replacement Pipe,2,19.4
11,PI000012,26.62,PE,Enabled,Replacement Pipe,2,59.5
12,PI000013,24.30,PE,Enabled,Default Pipe,2,4.7
13,PI000014,26.35,PE,Enabled,Replacement Pipe,2,43.0
14,PI000015,27.60,PE,Enabled,Default Pipe,2,2.0
15,PI000016,28.37,PE,Enabled,Default Pipe,2,1.9
16,PI000017,25.56,DI,Enabled,Default Pipe,2,22.9
17,PI000018,26.25,PE,Enabled,Default Pipe,2,1.7
18,PI000019,26.52,PE,Enabled,Replacement Pipe,2,7.3
19,PI000020,26.53,PE,Enabled,Replacement Pipe,2,1.9
20,PI000021,27.06,ST,Enabled,Default Pipe,2,1.8
21,PI000022,26.43,PE,Enabled,Replacement Pipe,2,23.6
22,PI000023,26.61,PE,Enabled,Replacement Pipe,2,37.1
23,PI000024,27.69,SI,Enabled,Default Pipe,2,1.2
24,PI000025,27.67,SI,Enabled,Default Pipe,2,29.6
25,PI000026,27.75,SI,Enabled,Default Pipe,2,75.6
26,PI000027,29.71,PE,Enabled,Default Pipe,2,4.0
27,PI000028,26.84,PE,Enabled,Replacement Pipe,2,69.7
28,PI000029,28.05,PE,Enabled,Default Pipe,2,1.0
29,PI000030,27.98,SI,Enabled,Default Pipe,2,54.5
30,PI000031,29.67,ST,Enabled,Default Pipe,2,1.7
31,PI000032,26.01,PE,Enabled,Default Pipe,2,109.6
32,PI000033,29.14,PE,Enabled,Default Pipe,2,16.0
33,PI000034,30.73,SI,Enabled,Default Pipe,2,66.7
34,PI000035,27.11,DI,Enabled,Default Pipe,2,42.6
35,PI000036,25.59,PE,Enabled,Default Pipe,2,10.2
36,PI000037,28.12,PE,Enabled,Default Pipe,2,80.4
37,PI000038,26.96,PE,Enabled,Default Pipe,2,9.2
38,PI000039,26.89,PE,Enabled,Default Pipe,2,2.5
39,PI000040,29.24,PE,Enabled,Default Pipe,2,4.8
40,PI000041,29.06,PE,Enabled,Default Pipe,2,4.1
41,PI000042,29.30,PE,Enabled,Default Pipe,2,1.7
42,PI000043,27.37,PE,Enabled,Default Pipe,2,60.4
43,PI000044,29.32,PE,Enabled,Default Pipe,2,12.7
44,PI000045,28.48,PE,Enabled,Replacement Pipe,2,1.4
45,PI000046,26.92,PE,Enabled,Default Pipe,2,18.2
46,PI000047,30.76,PE,Enabled,Default Pipe,2,40.8
47,PI000048,29.36,SI,Enabled,Default Pipe,2,1.8
48,PI000049,25.73,PE,Enabled,Default Pipe,2,24.1
49,PI000050,27.96,PE,Enabled,Replacement Pipe,2,1.5
50,PI000051,26.79,PE,Enabled,Default Pipe,2,2.0
51,PI000052,34.82,PE,Enabled,Default Pipe,2,1.8
52,PI000053,27.42,PE,Enabled,Default Pipe,2,7.7
53,PI000054,34.73,DI,Enabled,Default Pipe,2,4.3
54,PI000055,27.40,PE,Enabled,Default Pipe,2,1.3
55,PI000056,27.41,PE,Enabled,Default Pipe,2,5.7
56,PI000057,27.85,PE,Enabled,Default Pipe,2,40.1
57,PI000058,34.34,PE,Enabled,Default Pipe,3,6.4
58,PI000059,25.31,PE,Enabled,Default Pipe,3,28.2
59,PI000060,25.04,PE,Enabled,Default Pipe,3,37.6
60,PI000061,25.92,PE,Enabled,Default Pipe,3,20.4
61,PI000062,26.09,PE,Enabled,Default Pipe,3,26.0
62,PI000063,33.59,PE,Enabled,Default Pipe,3,52.2
63,PI000064,25.18,PE,Enabled,Default Pipe,3,29.2
64,PI000065,27.84,PE,Enabled,Default Pipe,3,64.0
65,PI000067,38.61,PE,Enabled,Default Pipe,3,1.7
66,PI000068,40.48,PE,Enabled,Default Pipe,3,2.2
67,PI000069,45.41,PE,Enabled,Default Pipe,3,50.6
68,PI000070,46.49,ST,Enabled,Default Pipe,3,28.6
69,PI000071,45.99,ST,Enabled,Default Pipe,3,3.4
70,PI000072,43.90,ST,Enabled,Default Pipe,3,36.3
71,PI000073,22.60,PE,Enabled,Default Pipe,1,26.4
72,PI000074,22.13,PE,Enabled,Default Pipe,1,37.3
73,PI000075,23.31,PE,Enabled,Default Pipe,1,41.7
74,PI000076,24.04,DI,Enabled,Default Pipe,1,20.6
75,PI000077,23.38,PE,Enabled,Default Pipe,1,20.7
76,PI000078,24.04,PE,Enabled,Default Pipe,1,25.0
77,PI000079,23.99,PE,Enabled,Default Pipe,1,8.7
78,PI000080,46.17,PE,Enabled,Default Pipe,3,5.1
79,PI000081,40.77,SI,Enabled,Default Pipe,3,168.1
80,PI000082,46.20,ST,Enabled,Default Pipe,3,37.7
81,PI000084,23.54,SI,Enabled,Default Pipe,1,3.5
82,PI000085,24.33,DI,Enabled,Default Pipe,1,2.0
83,PI000086,24.16,ST,Enabled,Default Pipe,1,29.0
84,PI000087,23.50,PE,Enabled,Default Pipe,1,30.6
85,PI000088,24.33,DI,Enabled,Default Pipe,1,5.3
86,PI000089,23.76,SI,Enabled,Default Pipe,1,16.8
87,PI000090,23.66,PE,Enabled,Default Pipe,1,2.0
88,PI000091,23.99,DI,Enabled,Default Pipe,1,27.3
89,PI000092,24.21,ST,Enabled,Default Pipe,1,2.4
90,PI000093,24.23,PE,Enabled,Default Pipe,1,3.6
91,PI000094,24.21,PE,Enabled,Default Pipe,1,1.5
92,PI000095,23.62,SI,Enabled,Default Pipe,1,1.9
