SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,55.29,PE,Enabled,Default Pipe,1,13.2
2,PI000002,35.67,PE,Enabled,Default Pipe,1,63.2
3,PI000003,69.82,PE,Enabled,Default Pipe,1,172.1
4,PI000004,36.04,PE,Enabled,Default Pipe,1,8.1
5,PI000005,60.23,PE,Enabled,Default Pipe,1,5.6
6,PI000007,58.75,PE,Enabled,Default Pipe,1,43.7
7,PI000008,55.50,PE,Enabled,Default Pipe,1,6.5
8,0466209915,35.70,PE,Enabled,Default Pipe,1,2.5
9,0466209835,52.39,PE,Enabled,Default Pipe,1,56.2
10,0466209844,52.36,PE,Enabled,Default Pipe,1,20.5
11,0466209822,52.52,PE,Enabled,Default Pipe,1,59.4
12,0625689207,33.20,PE,Enabled,Default Pipe,1,7.3
13,0466209997,50.72,PE,Enabled,Default Pipe,1,15.6
14,0466209905,50.73,PE,Enabled,Default Pipe,1,76.6
15,0466210042,54.06,PE,Enabled,Default Pipe,1,20.7
16,0466209988,64.62,PE,Enabled,Default Pipe,1,33.5
17,0466209870,64.73,PE,Enabled,Default Pipe,1,6.5
18,0466209970,57.43,PE,Enabled,Default Pipe,1,14.6
19,0466210013,47.50,PE,Enabled,Default Pipe,1,30.0
20,0466209918,46.88,PE,Enabled,Default Pipe,1,78.1
21,0466210003,48.65,PE,Enabled,Default Pipe,1,73.6
22,0466210050,53.48,PE,Enabled,Default Pipe,1,9.4
23,0466210051,52.83,PE,Enabled,Default Pipe,1,17.0
24,0607346536,35.71,PE,Enabled,Default Pipe,1,5.8
25,0466209858,74.81,PE,Enabled,Default Pipe,1,6.5
26,0466209990,63.18,PE,Enabled,Default Pipe,1,31.9
27,0466209953,27.26,PE,Enabled,Default Pipe,1,56.1
28,0466209911,33.93,PE,Enabled,Default Pipe,1,39.8
29,0466210040,54.63,PE,Enabled,Default Pipe,1,48.0
30,0466209889,29.49,PE,Enabled,Default Pipe,1,73.4
31,0466210039,51.38,PE,Enabled,Default Pipe,1,33.6
32,0466210002,49.65,PE,Enabled,Default Pipe,1,13.4
33,0466209966,61.15,PE,Enabled,Default Pipe,1,24.5
34,0466210036,50.88,PE,Enabled,Default Pipe,1,18.8
35,0466209897,25.62,PE,Enabled,Default Pipe,1,138.2
36,0466209871,64.52,PE,Enabled,Default Pipe,1,33.3
37,0466210055,35.71,PE,Enabled,Default Pipe,1,5.5
38,0466209971,56.48,PE,Enabled,Default Pipe,1,33.3
39,0466210015,48.92,PE,Enabled,Default Pipe,1,123.3
40,0466210049,54.19,PE,Enabled,Default Pipe,1,13.9
41,0467240308,34.41,PE,Enabled,Default Pipe,1,53.5
42,0466209955,50.05,PE,Enabled,Default Pipe,1,77.7
43,0466209948,31.40,PE,Enabled,Default Pipe,1,115.6
44,0466209999,50.19,PE,Enabled,Default Pipe,1,29.5
45,0466209850,51.84,PE,Enabled,Default Pipe,1,41.6
46,0466210052,52.46,PE,Enabled,Default Pipe,1,29.5
47,0466210011,47.64,PE,Enabled,Default Pipe,1,13.3
48,0466209978,52.58,PE,Enabled,Default Pipe,1,17.2
49,0650309880,60.94,PE,Enabled,Default Pipe,1,117.5
50,0466209992,61.45,PE,Enabled,Default Pipe,1,52.5
51,0466209976,53.82,PE,Enabled,Default Pipe,1,51.2
52,0466209981,51.66,PE,Enabled,Default Pipe,1,49.7
53,0467223902,60.72,PE,Enabled,Default Pipe,1,47.8

Model State: Solved

Generated on 11/03/2015 17:22:52

SynerGEE Gas 4.7.1: ASP
