",model,name,name_out,loaded,balanced,feasible,solved,min_pressure,location"
" ,643006 Galashiels LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643006 Galashiels LP\FY-1\643006_GALASHIELS_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643006 Galashiels LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.0822,64300600000908"
" ,643007 Hawick LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643007 Hawick LP\FY1\643007-HAWICK-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643007 Hawick LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.3852,64300700000909"
" ,643008 Musselburgh LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643008 Musselburgh LP\FY-1\643008 - Musselburgh FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643008 Musselburgh LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.3962,64300800000807"
" ,643009 Bathgate LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643009 Bathgate LP\FY1\643009_BATHGATE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643009 Bathgate LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.2973,64300900000537"
" ,643010 Penicuik LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643010 Penicuik LP\FY1\643010 Penicuik - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643010 Penicuik LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.1059,64301000002788"
" ,643011 Dalkeith_Eskbank LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643011 Dalkeith_Eskbank LP\FY1\643011-DALKEITH_ESKBANK-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643011 Dalkeith_Eskbank LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.7791,64301100000412"
" ,643012 Broxburn_Uphall_Dechmont LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643012 Broxburn_Uphall_Dechmont LP\FY-1\643012 - Broxburn - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643012 Broxburn_Uphall_Dechmont LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.7451,64301200000777"
" ,643013 Haddington LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643013 Haddington LP\FY1\643013 - Haddington - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643013 Haddington LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.6227,64301300000510"
" ,643014 Linlithgow LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643014 Linlithgow LP\FY1\643014 - Linlithgow - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643014 Linlithgow LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.4651,64301400001349"
" ,643015 Dumfries LP,\\vpoct502\Syn471\Scotland Networks_471\East_471-v2\643015 Dumfries LP\FY1\643015 - Dumfries- FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\643015 Dumfries LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.8339,64301500000628"
