SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI001443,32.66,PE,Enabled,Default Pipe,2,3.2
2,PI001444,31.05,PE,Enabled,Default Pipe,2,44.1
3,PI001445,31.69,PE,Enabled,Default Pipe,2,8.1
4,PI001446,31.40,PE,Enabled,Default Pipe,2,49.5
5,PI001447,34.16,PE,Enabled,Default Pipe,2,30.3
6,PI001448,34.35,PE,Enabled,Default Pipe,2,48.9
7,PI001449,33.44,PE,Enabled,Default Pipe,2,25.6
8,PI001450,30.74,PE,Enabled,Default Pipe,2,5.5
9,PI001451,33.98,PE,Enabled,Default Pipe,2,4.1
10,PI001452,32.58,PE,Enabled,Default Pipe,2,2.8
11,PI001453,31.20,PE,Enabled,Default Pipe,2,39.1
12,PI001454,31.13,PE,Enabled,Default Pipe,2,35.4
13,PI001455,34.54,PE,Enabled,Default Pipe,2,8.0
14,PI001456,31.72,PE,Enabled,Default Pipe,2,19.9
15,PI001457,42.11,PE,Enabled,Default Pipe,2,67.4
16,PI001458,32.26,PE,Enabled,Default Pipe,2,2.7
17,PI001459,33.65,PE,Enabled,Default Pipe,2,59.3
18,PI001460,34.62,PE,Enabled,Default Pipe,2,2.5
19,PI001461,46.32,DI,Enabled,Default Pipe,2,16.1
20,PI001462,46.65,DI,Enabled,Default Pipe,2,34.0
21,PI001463,29.89,PE,Enabled,Default Pipe,2,2.2
22,PI001464,31.57,PE,Enabled,Default Pipe,2,29.0
23,PI001465,30.02,PE,Enabled,Default Pipe,2,40.2
24,PI001466,28.93,PE,Enabled,Default Pipe,2,37.8
25,PI001467,31.60,PE,Enabled,Default Pipe,2,9.3
26,PI001468,29.58,PE,Enabled,Default Pipe,2,17.7
27,PI001469,31.21,PE,Enabled,Default Pipe,2,17.5
28,PI001470,28.95,PE,Enabled,Default Pipe,2,27.0
29,PI001471,28.89,PE,Enabled,Default Pipe,2,44.2
30,PI001472,28.03,PE,Enabled,Default Pipe,2,110.3
31,PI001473,30.17,PE,Enabled,Default Pipe,2,59.1
32,PI001474,38.32,PE,Enabled,Default Pipe,2,134.0
33,PI001475,29.78,PE,Enabled,Default Pipe,2,29.5
34,PI001476,41.84,SI,Enabled,Default Pipe,2,62.3
35,PI001477,34.20,SI,Enabled,Default Pipe,2,70.2
36,PI001478,31.63,SI,Enabled,Default Pipe,2,16.5
37,PI001479,31.59,DI,Enabled,Default Pipe,2,83.7
38,PI001480,31.63,SI,Enabled,Default Pipe,2,8.5
39,PI001481,34.26,SI,Enabled,Default Pipe,2,3.8
40,PI001482,30.94,SI,Enabled,Default Pipe,2,51.3
41,PI001483,31.24,SI,Enabled,Default Pipe,2,13.7
42,PI001484,32.05,SI,Enabled,Default Pipe,2,56.1
43,PI001485,31.45,SI,Enabled,Default Pipe,2,62.0
44,PI001486,31.23,SI,Enabled,Default Pipe,2,17.6
45,PI001487,31.68,SI,Enabled,Default Pipe,2,82.4
46,PI001488,32.02,SI,Enabled,Default Pipe,2,9.5
47,PI001489,31.68,SI,Enabled,Default Pipe,2,10.0
48,PI001490,31.79,SI,Enabled,Default Pipe,2,5.1
49,PI001491,31.23,SI,Enabled,Default Pipe,2,36.0
50,PI001492,32.04,SI,Enabled,Default Pipe,2,8.3
51,PI001493,32.00,SI,Enabled,Default Pipe,2,6.9
52,PI001494,32.06,SI,Enabled,Default Pipe,2,124.6
53,PI001495,31.05,SI,Enabled,Default Pipe,2,112.0
54,PI001496,31.10,SI,Enabled,Default Pipe,2,55.1
55,PI001497,31.64,SI,Enabled,Default Pipe,2,1.2
56,PI001498,31.51,SI,Enabled,Default Pipe,2,51.3
57,PI001499,30.82,SI,Enabled,Default Pipe,2,57.2
58,PI001500,30.71,SI,Enabled,Default Pipe,2,94.3
59,PI001501,31.66,SI,Enabled,Default Pipe,2,1.1
60,PI001502,31.64,SI,Enabled,Default Pipe,2,7.0
61,PI001503,34.25,SI,Enabled,Default Pipe,2,11.3
62,PI001504,31.70,SI,Enabled,Default Pipe,2,40.6
63,PI001505,31.25,SI,Enabled,Default Pipe,2,7.4
64,PI001506,31.23,SI,Enabled,Default Pipe,2,4.7
65,PI001507,31.65,SI,Enabled,Default Pipe,2,2.9
66,PI001508,31.32,SI,Enabled,Default Pipe,2,31.7
67,PI001509,31.24,SI,Enabled,Default Pipe,2,3.1
68,PI001510,31.84,ST,Enabled,Default Pipe,2,13.2
69,PI001511,31.85,SI,Enabled,Default Pipe,2,61.1
70,PI001512,31.26,DI,Enabled,Default Pipe,2,20.9
71,PI001513,31.59,DI,Enabled,Default Pipe,2,40.7
72,PI001514,31.34,SI,Enabled,Default Pipe,2,44.9
73,PI001515,31.22,SI,Enabled,Default Pipe,2,12.0
74,PI001516,31.63,SI,Enabled,Default Pipe,2,23.2
75,PI001517,31.16,SI,Enabled,Default Pipe,2,79.4
76,PI001518,31.30,SI,Enabled,Default Pipe,2,2.1
77,PI001519,31.40,SI,Enabled,Default Pipe,2,21.9
78,PI001520,31.23,SI,Enabled,Default Pipe,2,89.7
79,PI001521,30.05,SI,Enabled,Default Pipe,2,7.2
80,PI001522,31.36,PE,Enabled,Default Pipe,2,69.5
81,PI001523,30.31,SI,Enabled,Default Pipe,2,64.9
82,PI001524,26.28,PE,Enabled,Default Pipe,2,66.1
83,PI001525,25.88,PE,Enabled,Default Pipe,2,28.5
84,PI001526,31.52,PE,Enabled,Default Pipe,2,3.5
85,PI001527,29.86,SI,Enabled,Default Pipe,2,46.3
86,PI001528,31.93,PE,Enabled,Default Pipe,2,66.6
87,PI001529,27.63,CI,Enabled,Default Pipe,2,76.0
88,PI001530,26.72,PE,Enabled,Default Pipe,2,25.4
89,PI001531,30.90,DI,Enabled,Default Pipe,2,13.9
90,PI001532,26.55,PE,Enabled,Default Pipe,2,54.1
91,PI001533,26.70,DI,Enabled,Default Pipe,2,97.2
92,PI001534,29.30,PE,Enabled,Default Pipe,2,10.4
93,PI001535,27.35,PE,Enabled,Default Pipe,2,54.1
94,PI001536,28.13,PE,Enabled,Default Pipe,2,2.5
95,PI001537,32.54,PE,Enabled,Default Pipe,2,64.0
96,PI001538,29.54,SI,Enabled,Default Pipe,2,7.9
97,PI001539,28.23,CI,Enabled,Default Pipe,2,61.3
98,PI001540,30.58,PE,Enabled,Default Pipe,2,3.2
99,PI001541,29.10,DI,Enabled,Default Pipe,2,94.1
100,PI001542,31.07,DI,Enabled,Default Pipe,2,14.2
101,PI001543,30.92,DI,Enabled,Default Pipe,2,38.6
102,PI001544,26.35,PE,Enabled,Default Pipe,2,24.0
103,PI001545,26.42,PE,Enabled,Default Pipe,2,58.6
104,PI001546,26.65,PE,Enabled,Default Pipe,2,46.3
105,PI001547,36.09,PE,Enabled,Default Pipe,2,35.8
106,PI001548,30.76,PE,Enabled,Default Pipe,2,15.2
107,PI001549,27.47,PE,Enabled,Default Pipe,2,45.5
108,PI001550,28.60,PE,Enabled,Default Pipe,2,94.4
109,PI001551,27.77,PE,Enabled,Default Pipe,2,46.0
110,PI001553,42.42,SI,Enabled,Default Pipe,2,38.2
111,PI001554,43.86,ST,Enabled,Default Pipe,2,184.5
112,PI001555,45.05,PE,Enabled,Default Pipe,2,68.9
113,PI001556,37.04,SI,Enabled,Default Pipe,2,29.5
114,PI001557,44.02,SI,Enabled,Default Pipe,2,60.1
115,PI001558,33.65,PE,Enabled,Default Pipe,2,35.1
116,PI001559,46.72,SI,Enabled,Default Pipe,2,5.8
117,PI001560,38.51,PE,Enabled,Default Pipe,2,29.3
118,PI001561,41.58,SI,Enabled,Default Pipe,2,71.8
119,PI001562,26.80,PE,Enabled,Default Pipe,2,41.3
120,PI001563,36.91,SI,Enabled,Default Pipe,2,3.3
121,PI001564,36.91,SI,Enabled,Default Pipe,2,46.2
122,PI001565,36.93,SI,Enabled,Default Pipe,2,72.0
123,PI001566,36.89,CI,Enabled,Default Pipe,2,46.9
124,PI001567,33.47,DI,Enabled,Default Pipe,2,86.4
125,PI001568,36.56,SI,Enabled,Default Pipe,2,1.9
126,PI001569,33.60,CI,Enabled,Default Pipe,2,10.9
127,PI001570,35.85,CI,Enabled,Default Pipe,2,40.0
128,PI001571,29.96,PE,Enabled,Default Pipe,2,43.9
129,PI001572,30.24,CI,Enabled,Default Pipe,2,92.4
130,PI001573,33.91,CI,Enabled,Default Pipe,2,53.7
131,PI001574,36.98,SI,Enabled,Default Pipe,2,60.3
132,PI001575,29.74,CI,Enabled,Default Pipe,2,77.8
133,PI001576,33.70,CI,Enabled,Default Pipe,2,13.6
134,PI001577,32.06,CI,Enabled,Default Pipe,2,185.0
135,PI001578,32.83,SI,Enabled,Default Pipe,2,7.7
136,PI001579,30.79,PE,Enabled,Default Pipe,2,67.2
137,PI001580,35.38,CI,Enabled,Default Pipe,2,15.9
138,PI001581,30.45,SI,Enabled,Default Pipe,2,31.4
139,PI001582,29.41,SI,Enabled,Default Pipe,2,30.1
140,PI001583,33.62,CI,Enabled,Default Pipe,2,41.5
141,PI001584,36.34,CI,Enabled,Default Pipe,2,18.1
142,PI001585,29.42,SI,Enabled,Default Pipe,2,86.0
143,PI001586,34.44,CI,Enabled,Default Pipe,2,80.1
144,PI001587,34.93,CI,Enabled,Default Pipe,2,12.1
145,PI001588,33.80,SI,Enabled,Default Pipe,2,125.4
146,PI001589,28.74,CI,Enabled,Default Pipe,2,88.3
147,PI001590,29.30,CI,Enabled,Default Pipe,2,3.3
148,PI001591,32.29,DI,Enabled,Default Pipe,2,179.4
149,PI001592,27.46,SI,Enabled,Default Pipe,2,70.2
150,PI001593,27.48,SI,Enabled,Default Pipe,2,73.5
151,PI001594,31.38,DI,Enabled,Default Pipe,2,102.0
152,PI001595,31.60,DI,Enabled,Default Pipe,2,62.5
153,PI001596,27.73,SI,Enabled,Default Pipe,2,85.3
154,PI001597,29.41,CI,Enabled,Default Pipe,2,150.5
155,PI001598,27.48,SI,Enabled,Default Pipe,2,88.1
156,PI001599,29.74,SI,Enabled,Default Pipe,2,131.3
157,PI001600,27.54,SI,Enabled,Default Pipe,2,83.4
158,PI001601,31.49,PE,Enabled,Default Pipe,2,52.6
159,PI001602,31.40,PE,Enabled,Default Pipe,2,6.1
160,PI001603,31.51,PE,Enabled,Default Pipe,2,16.5
161,PI001604,23.57,PE,Enabled,Default Pipe,2,61.3
162,PI001605,22.70,PE,Enabled,Default Pipe,2,22.1
163,PI001606,31.36,PE,Enabled,Default Pipe,2,42.5
164,PI001607,21.46,PE,Enabled,Default Pipe,2,21.9
165,PI001608,31.56,PE,Enabled,Default Pipe,2,8.4
166,PI001609,22.20,ST,Enabled,Default Pipe,2,15.0
167,PI001610,31.69,DI,Enabled,Default Pipe,2,19.4
168,PI001611,29.46,PE,Enabled,Default Pipe,2,21.5
169,PI001612,30.41,ST,Enabled,Default Pipe,2,30.1
170,PI001613,30.81,PE,Enabled,Default Pipe,2,3.1
171,PI001614,30.83,PE,Enabled,Default Pipe,2,132.5
172,PI001615,29.63,PE,Enabled,Default Pipe,2,95.8
173,PI001616,31.70,DI,Enabled,Default Pipe,2,9.6
174,PI001617,31.54,PE,Enabled,Default Pipe,2,42.0
175,PI001618,31.56,PE,Enabled,Default Pipe,2,37.7
176,PI001619,23.71,PE,Enabled,Default Pipe,2,3.9
177,PI001620,31.56,PE,Enabled,Default Pipe,2,16.9
178,PI001621,21.43,PE,Enabled,Default Pipe,2,18.0
179,PI001622,21.44,PE,Enabled,Default Pipe,2,2.9
180,PI001623,30.45,PE,Enabled,Default Pipe,2,2.4
181,PI001624,31.43,PE,Enabled,Default Pipe,2,4.4
182,PI001625,31.65,PE,Enabled,Default Pipe,2,15.6
183,PI001626,31.74,DI,Enabled,Default Pipe,2,50.9
184,PI001627,31.56,PE,Enabled,Default Pipe,2,40.3
185,PI001628,31.53,PE,Enabled,Default Pipe,2,4.5
186,PI001629,30.91,PE,Enabled,Default Pipe,2,25.1
187,PI001630,31.51,PE,Enabled,Default Pipe,2,13.4
188,PI001631,31.49,CI,Enabled,Default Pipe,2,77.4
189,PI001632,31.83,DI,Enabled,Default Pipe,2,87.5
190,PI001633,32.90,DI,Enabled,Default Pipe,2,9.3
191,PI001634,32.21,DI,Enabled,Default Pipe,2,21.3
192,PI001635,32.72,PE,Enabled,Default Pipe,2,95.4
193,PI001636,34.50,DI,Enabled,Default Pipe,2,10.7
194,PI001637,32.05,DI,Enabled,Default Pipe,2,60.9
195,PI001638,31.67,PE,Enabled,Default Pipe,2,14.8
196,PI001639,31.26,PE,Enabled,Default Pipe,2,48.3
197,PI001640,32.30,DI,Enabled,Default Pipe,2,13.5
198,PI001641,31.91,DI,Enabled,Default Pipe,2,27.7
199,PI001642,32.44,PE,Enabled,Default Pipe,2,54.0
200,PI001643,31.88,PE,Enabled,Default Pipe,2,18.1
201,PI001644,34.04,PE,Enabled,Default Pipe,2,53.3
202,PI001645,31.53,PE,Enabled,Default Pipe,2,12.1
203,PI001646,31.30,PE,Enabled,Replacement Pipe,2,6.5
204,PI001647,34.53,DI,Enabled,Default Pipe,2,13.9
205,PI001648,30.60,PE,Enabled,Default Pipe,2,16.7
206,PI001649,30.96,PE,Enabled,Default Pipe,2,77.0
207,PI001650,31.48,CI,Enabled,Default Pipe,2,8.2
208,PI001652,34.41,DI,Enabled,Default Pipe,2,35.4
209,PI001653,31.80,PE,Enabled,Default Pipe,2,39.1
210,PI001654,31.47,CI,Enabled,Default Pipe,2,92.7
211,PI001655,31.52,CI,Enabled,Default Pipe,2,64.3
212,PI001656,31.55,CI,Enabled,Default Pipe,2,5.4
213,PI001657,32.29,PE,Enabled,Default Pipe,2,3.2
214,PI001658,32.30,PE,Enabled,Default Pipe,2,4.1
215,PI001659,32.63,PE,Enabled,Default Pipe,2,5.2
216,PI001660,31.45,PE,Enabled,Default Pipe,2,16.6
