SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000744X,50.00,DI,Enabled,Default Pipe,5,94.8
2,PI004069X,49.98,PE,Enabled,Default Pipe,5,36.1
3,PI004070X,49.98,PE,Enabled,Default Pipe,5,24.7
4,PI004071X,49.98,PE,Enabled,Default Pipe,5,3.6
5,PI004072X,49.98,PE,Enabled,Default Pipe,5,2.9
6,PI004073X,49.98,PE,Enabled,Default Pipe,5,35.8
7,PI004075X,49.98,PE,Enabled,Default Pipe,5,2.9
8,PI004076X,49.98,PE,Enabled,Default Pipe,5,36.2
9,PI004077X,49.98,PE,Enabled,Default Pipe,5,57.1
10,PI004078X,49.99,PE,Enabled,Default Pipe,5,53.0
11,PI004079X,49.98,PE,Enabled,Default Pipe,5,15.5
12,PI004080X,49.98,PE,Enabled,Default Pipe,5,22.3
13,PI004081X,45.88,PE,Enabled,Default Pipe,1,63.7
14,PI004082X,45.88,PE,Enabled,Default Pipe,1,40.3
15,PI004083X,45.88,PE,Enabled,Default Pipe,1,11.8
16,PI004084X,45.88,PE,Enabled,Default Pipe,1,7.1
17,PI004085X,45.88,PE,Enabled,Default Pipe,1,72.1
18,PI004086X,45.88,PE,Enabled,Default Pipe,1,7.2
19,PI004087X,45.88,PE,Enabled,Default Pipe,1,69.1
20,PI004088X,45.88,PE,Enabled,Default Pipe,1,16.7
21,PI000000,37.57,PE,Enabled,Default Pipe,1,29.0
22,PI000001,38.99,PE,Enabled,Default Pipe,1,16.3
23,PI000002,44.71,PE,Enabled,Default Pipe,1,1.1
24,PI000003,39.95,PE,Enabled,Default Pipe,1,22.9
25,PI000004,39.85,PE,Enabled,Default Pipe,1,44.4
26,PI000005,40.10,PE,Enabled,Default Pipe,1,14.0
27,PI000006,40.07,SI,Enabled,Default Pipe,1,54.8
28,PI000007,32.59,PE,Enabled,Default Pipe,1,118.4
29,PI000008,39.79,PE,Enabled,Default Pipe,1,3.5
30,PI000009,39.74,SI,Enabled,Default Pipe,1,2.3
31,PI000010,39.69,SI,Enabled,Default Pipe,1,48.2
32,PI000011,41.10,PE,Enabled,Default Pipe,1,268.3
33,PI000012,31.01,PE,Enabled,Default Pipe,1,12.2
34,PI000013,25.76,PE,Enabled,Default Pipe,1,26.3
35,PI000014,25.47,PE,Enabled,Default Pipe,1,41.0
36,PI000015,39.96,PE,Enabled,Default Pipe,1,38.6
37,PI000016,32.59,PE,Enabled,Default Pipe,1,26.0
38,PI000017,32.45,PE,Enabled,Default Pipe,1,124.9
39,PI000018,33.12,PE,Enabled,Default Pipe,1,27.2
40,PI000019,33.34,PE,Enabled,Default Pipe,1,26.5
41,PI000020,32.91,PE,Enabled,Default Pipe,1,22.1
42,PI000021,33.98,PE,Enabled,Default Pipe,1,62.1
43,PI000022,33.64,PE,Enabled,Default Pipe,1,92.3
44,PI000023,34.51,PE,Enabled,Replacement Pipe,1,25.9
