SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,70.00,PE,Enabled,Default Pipe,5,1.8
2,PI000002,69.99,PE,Enabled,Default Pipe,5,16.4
3,PI000003,70.00,PE,Enabled,Default Pipe,5,1.6
4,PI000004,49.28,PE,Enabled,Default Pipe,7,50.4
5,PI000005,49.51,PE,Enabled,Default Pipe,7,48.6
6,PI000006,38.96,DI,Enabled,Default Pipe,1,27.4
7,PI000007,38.95,DI,Enabled,Default Pipe,1,30.9
8,PI000008,38.99,DI,Enabled,Default Pipe,1,35.0
9,PI000009,39.03,DI,Enabled,Default Pipe,1,12.0
10,PI000010,38.94,DI,Enabled,Default Pipe,1,13.6
11,PI000011,39.69,DI,Enabled,Default Pipe,2,29.0
12,PI000012,41.74,DI,Enabled,Default Pipe,2,158.8
13,PI000013,39.78,DI,Enabled,Default Pipe,2,40.9
14,PI000014,39.82,DI,Enabled,Default Pipe,2,37.2
15,PI000015,39.89,DI,Enabled,Default Pipe,2,80.1
16,PI000016,47.33,PE,Enabled,Default Pipe,2,24.8
17,PI000017,48.83,DI,Enabled,Default Pipe,2,7.4
18,PI000018,46.11,DI,Enabled,Default Pipe,2,66.0
19,PI000019,45.99,DI,Enabled,Default Pipe,2,5.2
20,PI000020,46.06,PE,Enabled,Default Pipe,2,132.4
21,PI000021,46.21,PE,Enabled,Default Pipe,2,39.5
22,PI000022,47.70,DI,Enabled,Default Pipe,2,38.1
23,PI000023,45.14,DI,Enabled,Default Pipe,2,76.2
24,PI000024,45.56,DI,Enabled,Default Pipe,2,41.0
25,PI000025,45.06,PE,Enabled,Default Pipe,2,27.1
26,PI000026,37.88,DI,Enabled,Default Pipe,2,128.1
27,PI000027,39.74,PE,Enabled,Default Pipe,2,16.3
28,PI000028,39.11,PE,Enabled,Default Pipe,2,37.2
29,PI000029,36.60,DI,Enabled,Default Pipe,2,52.2
30,PI000030,36.45,DI,Enabled,Default Pipe,2,146.2
31,PI000031,37.73,DI,Enabled,Default Pipe,2,40.4
32,PI000032,36.98,DI,Enabled,Default Pipe,2,27.6
33,PI000033,37.14,PE,Enabled,Default Pipe,2,5.7
34,PI000034,36.79,DI,Enabled,Default Pipe,2,68.6
35,PI000035,38.33,PE,Enabled,Default Pipe,2,8.7
36,PI000036,38.80,DI,Enabled,Default Pipe,2,1.3
37,PI000037,37.72,DI,Enabled,Default Pipe,2,51.4
38,PI000038,37.19,DI,Enabled,Default Pipe,2,52.6
39,PI000039,37.14,PE,Enabled,Default Pipe,2,62.7
40,PI000040,37.33,DI,Enabled,Default Pipe,2,7.9
41,PI000041,37.34,PE,Enabled,Default Pipe,2,20.1
42,PI000042,36.99,DI,Enabled,Default Pipe,2,32.3
43,PI000043,39.23,DI,Enabled,Default Pipe,1,36.9
44,PI000044,43.22,PE,Enabled,Default Pipe,3,64.8
45,PI000045,39.28,DI,Enabled,Default Pipe,1,8.3
46,PI000046,42.51,PE,Enabled,Default Pipe,3,0.6
47,PI000047,42.52,PE,Enabled,Default Pipe,3,24.5
48,PI000048,39.18,DI,Enabled,Default Pipe,1,11.0
49,PI000049,42.20,PE,Enabled,Default Pipe,3,134.3
50,PI000050,44.00,DI,Enabled,Default Pipe,3,2.6
51,PI000051,43.83,PE,Enabled,Default Pipe,3,0.8
52,PI000052,45.39,PE,Enabled,Default Pipe,2,54.8
53,PI000053,39.31,DI,Enabled,Default Pipe,1,20.7
54,PI000054,43.21,PE,Enabled,Default Pipe,3,104.3
55,PI000055,42.73,PE,Enabled,Default Pipe,3,2.5
56,PI000056,43.97,DI,Enabled,Default Pipe,3,32.5
57,PI000057,46.76,DI,Enabled,Default Pipe,2,71.4
58,PI000058,46.77,ST,Enabled,Default Pipe,2,8.9
59,PI000059,45.74,PE,Enabled,Default Pipe,2,9.5
60,PI000060,38.45,PE,Enabled,Default Pipe,3,6.7
61,PI000061,39.06,PE,Enabled,Default Pipe,3,6.7
62,PI000062,43.43,PE,Enabled,Default Pipe,3,41.2
63,PI000063,42.39,PE,Enabled,Default Pipe,3,7.7
64,PI000064,33.52,PE,Enabled,Default Pipe,2,21.7
65,PI000065,40.26,ST,Enabled,Default Pipe,2,1.5
66,PI000066,42.05,PE,Enabled,Default Pipe,3,107.0
67,PI000067,38.99,PE,Enabled,Default Pipe,1,129.2
68,PI000068,41.36,PE,Enabled,Default Pipe,3,1.5
69,PI000069,41.03,PE,Enabled,Default Pipe,2,13.5
70,PI000070,41.32,PE,Enabled,Default Pipe,3,54.0
71,PI000071,41.70,PE,Enabled,Default Pipe,3,50.6
72,PI000072,41.34,PE,Enabled,Default Pipe,3,22.7
73,PI000073,40.13,SI,Enabled,Default Pipe,2,34.2
74,PI000074,40.08,SI,Enabled,Default Pipe,2,112.1
75,PI000075,41.57,DI,Enabled,Default Pipe,2,172.5
76,PI000076,40.05,SI,Enabled,Default Pipe,2,89.6
77,PI000077,40.10,SI,Enabled,Default Pipe,2,95.7
78,PI000078,40.03,SI,Enabled,Default Pipe,2,0.7
79,PI000079,41.72,DI,Enabled,Default Pipe,2,58.1
80,PI000080,39.48,DI,Enabled,Default Pipe,2,88.0
81,PI000081,41.55,DI,Enabled,Default Pipe,2,34.0
82,PI000082,35.99,DI,Enabled,Default Pipe,2,72.8
83,PI000083,37.58,DI,Enabled,Default Pipe,2,132.6
84,PI000084,41.58,DI,Enabled,Default Pipe,2,50.6
85,PI000085,41.61,DI,Enabled,Default Pipe,2,9.8
86,PI000086,41.74,DI,Enabled,Default Pipe,2,10.7
87,PI000087,41.56,DI,Enabled,Default Pipe,2,56.9
88,PI000088,41.75,DI,Enabled,Default Pipe,2,73.9
89,PI000089,34.88,DI,Enabled,Default Pipe,2,29.9
90,PI000090,34.79,DI,Enabled,Default Pipe,2,82.8
91,PI000091,35.01,CI,Enabled,Default Pipe,2,230.9
92,PI000092,44.63,DI,Enabled,Default Pipe,2,63.2
93,PI000093,44.63,DI,Enabled,Default Pipe,2,73.9
94,PI000094,43.45,DI,Enabled,Default Pipe,2,30.7
95,PI000095,43.24,DI,Enabled,Default Pipe,2,29.9
96,PI000096,40.46,DI,Enabled,Default Pipe,2,123.7
97,PI000097,39.76,PE,Enabled,Default Pipe,2,1.0
98,PI000098,44.85,DI,Enabled,Default Pipe,2,44.6
99,PI000099,35.22,PE,Enabled,Default Pipe,2,5.6
100,PI000100,42.46,PE,Enabled,Default Pipe,2,26.7
101,PI000101,44.25,DI,Enabled,Default Pipe,2,54.0
102,PI000102,43.02,DI,Enabled,Default Pipe,2,65.4
103,PI000103,35.92,CI,Enabled,Default Pipe,2,5.6
104,PI000104,38.45,DI,Enabled,Default Pipe,2,24.3
105,PI000105,42.75,DI,Enabled,Default Pipe,2,15.5
106,PI000106,43.09,DI,Enabled,Default Pipe,2,14.4
107,PI000107,42.91,DI,Enabled,Default Pipe,2,21.5
108,PI000108,35.15,PE,Enabled,Default Pipe,2,34.1
109,PI000109,42.81,DI,Enabled,Default Pipe,2,32.8
110,PI000110,40.55,DI,Enabled,Default Pipe,2,82.6
111,PI000111,40.37,PE,Enabled,Default Pipe,2,48.1
112,PI000112,42.81,DI,Enabled,Default Pipe,2,13.4
113,PI000113,41.90,DI,Enabled,Default Pipe,2,45.3
114,PI000114,43.32,PE,Enabled,Default Pipe,2,25.0
115,PI000115,39.80,DI,Enabled,Default Pipe,2,8.2
116,PI000116,40.23,DI,Enabled,Default Pipe,2,19.9
117,PI000117,40.36,PE,Enabled,Default Pipe,2,35.5
118,PI000118,40.17,DI,Enabled,Default Pipe,2,41.0
119,PI000119,42.03,DI,Enabled,Default Pipe,2,120.2
120,PI000120,40.94,DI,Enabled,Default Pipe,2,117.9
121,PI000121,40.77,DI,Enabled,Default Pipe,2,80.7
122,PI000122,38.57,DI,Enabled,Default Pipe,2,8.6
123,PI000123,40.23,PE,Enabled,Default Pipe,2,24.7
124,PI000124,44.49,PE,Enabled,Default Pipe,2,24.3
125,PI000125,39.81,DI,Enabled,Default Pipe,2,29.2
126,PI000126,33.78,DI,Enabled,Default Pipe,2,71.9
127,PI000127,33.79,DI,Enabled,Default Pipe,2,134.0
128,PI000128,35.25,CI,Enabled,Default Pipe,2,66.5
129,PI000129,33.60,DI,Enabled,Default Pipe,2,59.9
130,PI000130,37.22,DI,Enabled,Default Pipe,2,52.9
131,PI000131,33.67,DI,Enabled,Default Pipe,2,17.2
132,PI000132,34.70,CI,Enabled,Default Pipe,2,81.2
133,PI000133,34.21,PE,Enabled,Default Pipe,2,13.1
134,PI000134,35.19,CI,Enabled,Default Pipe,2,104.6
135,PI000135,33.68,DI,Enabled,Default Pipe,2,71.0
136,PI000136,35.19,CI,Enabled,Default Pipe,2,21.1
137,PI000137,40.89,CI,Enabled,Default Pipe,2,61.0
138,PI000138,34.79,CI,Enabled,Default Pipe,2,99.2
139,PI000139,34.69,PE,Enabled,Default Pipe,2,2.5
140,PI000140,33.68,DI,Enabled,Default Pipe,2,28.2
141,PI000141,32.83,PE,Enabled,Default Pipe,2,28.3
142,PI000142,35.98,PE,Enabled,Default Pipe,2,46.0
