SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,SOSN*0607708036,43.27,PE,Enabled,Default Pipe,4,16.9
2,SOMR*0161113784,43.34,PE,Enabled,Default Pipe,4,127.4
3,SOMR*0161113787,43.29,PE,Enabled,Default Pipe,4,85.1
4,SOMR*0160913788,22.54,PE,Enabled,Default Pipe,1,55.8
5,SOMR*0607754577,24.26,PE,Enabled,Default Pipe,1,11.6
6,SOMR*0161113790,43.34,PE,Enabled,Default Pipe,4,35.3
7,SOSN*0612882480,42.66,PE,Enabled,Default Pipe,4,43.5
8,SOMR*0161113179,23.01,PE,Enabled,Default Pipe,1,6.2
9,SOSN*0623591516,36.77,PE,Enabled,Default Pipe,4,8.9
10,SOMR*0161095908,23.08,PE,Enabled,Default Pipe,1,31.5
11,SOMR*0609654644,40.90,PE,Enabled,Default Pipe,4,65.7
12,SOMR*0161095910,23.13,PE,Enabled,Default Pipe,1,26.8
13,SOMR*0161102513,23.22,PE,Enabled,Default Pipe,1,44.6
14,SOMR*0605599078,41.10,PE,Enabled,Default Pipe,4,33.0
15,SOMR*0160913703,23.06,PE,Enabled,Default Pipe,1,80.9
16,SOSN*0651190943,44.40,PE,Enabled,Default Pipe,4,5.8
17,SOMR*0161099296,22.57,PE,Enabled,Default Pipe,1,55.8
18,SOMR*0161099297,23.05,PE,Enabled,Default Pipe,1,22.5
19,SOSN*0623591517,38.83,PE,Enabled,Default Pipe,4,12.0
20,SOSN*0650846759,42.10,PE,Enabled,Default Pipe,4,1.4
21,SOMR*0160913812,23.36,PE,Enabled,Default Pipe,1,7.1
22,SOMR*0161113782,42.12,PE,Enabled,Default Pipe,4,12.1
23,SOMR*0161107803,24.26,PE,Enabled,Default Pipe,1,14.4
24,SOMR*0161113776,40.82,PE,Enabled,Default Pipe,4,59.5
25,SOMR*0622069520,41.14,PE,Enabled,Default Pipe,4,77.8
26,SOMR*0161113775,43.88,PE,Enabled,Default Pipe,4,55.4
27,PI0000010000001,22.87,PE,Enabled,Default Pipe,1,32.6
28,SOMR*0607928579,23.00,PE,Enabled,Default Pipe,1,8.2
29,SOMR*0161113755,44.30,DI,Enabled,Default Pipe,4,49.9
30,SOMR*0609654643,40.92,PE,Enabled,Default Pipe,4,15.0
31,SOMR*0161113786,43.28,PE,Enabled,Default Pipe,4,36.5
32,SOMR*0161095912,22.91,PE,Enabled,Default Pipe,1,1.5
33,PI0000020000002,23.11,PE,Enabled,Default Pipe,1,8.5
34,SOMR*0160913818,22.92,PE,Enabled,Default Pipe,1,58.0
35,SOMR*0161113758,43.40,PE,Enabled,Default Pipe,4,4.0
36,SOMR*0161113756,43.49,PE,Enabled,Default Pipe,4,24.9
37,SOMR*0161113779,42.16,PE,Enabled,Default Pipe,4,88.5
