SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,23.43,PE,Enabled,Default Pipe,1,31.8
2,PI000001,50.22,PE,Enabled,Default Pipe,1,53.4
3,PI000002,53.08,PE,Enabled,Default Pipe,1,135.4
4,PI000003,49.56,PE,Enabled,Default Pipe,1,42.1
5,PI000004,32.01,PE,Enabled,Default Pipe,1,68.3
6,PI000005,31.57,PE,Enabled,Default Pipe,1,26.8
7,PI000006,27.36,PE,Enabled,Default Pipe,1,86.2
8,PI000007,49.08,PE,Enabled,Default Pipe,1,63.1
9,PI000009,24.42,PE,Enabled,Default Pipe,1,2.7
10,PI000010,23.98,PE,Enabled,Default Pipe,1,49.6
11,PI000011,25.34,PE,Enabled,Default Pipe,1,46.8
12,PI000012,38.08,PE,Enabled,Default Pipe,1,72.7
13,PI000013,38.73,PE,Enabled,Default Pipe,1,147.8
14,PI000014,28.45,PE,Enabled,Default Pipe,1,23.8
15,PI000015,26.89,PE,Enabled,Default Pipe,1,42.2
16,PI000016,21.91,PE,Enabled,Default Pipe,1,20.6
17,PI000017,34.97,PE,Enabled,Default Pipe,1,2.3
18,PI000018,26.54,PE,Enabled,Default Pipe,1,11.3
19,PI000020,27.59,PE,Enabled,Default Pipe,1,25.7
20,PI000021,23.51,PE,Enabled,Default Pipe,1,3.7
21,PI000022,22.71,PE,Enabled,Default Pipe,1,174.4
22,PI000023,28.01,PE,Enabled,Default Pipe,1,101.8
23,PI000024,26.28,PE,Enabled,Default Pipe,1,78.5
24,PI000025,31.38,PE,Enabled,Default Pipe,1,29.2
25,PI000026,28.71,PE,Enabled,Default Pipe,1,88.5
26,PI000027,30.72,PE,Enabled,Default Pipe,1,138.4
27,PI000028,32.00,PE,Enabled,Default Pipe,1,1.0
28,PI000029,31.96,PE,Enabled,Default Pipe,1,10.6
29,PI000030,31.93,PE,Enabled,Default Pipe,1,13.3
30,PI000031,31.68,PE,Enabled,Default Pipe,1,68.0
31,PI000032,49.75,PE,Enabled,Default Pipe,1,26.1
32,PI000033,49.68,PE,Enabled,Default Pipe,1,61.2
33,PI000034,49.92,PE,Enabled,Default Pipe,1,42.4
34,PI000035,49.75,PE,Enabled,Default Pipe,1,32.6
35,PI000036,49.96,PE,Enabled,Default Pipe,1,51.4
36,PI000037,53.33,PE,Enabled,Default Pipe,1,49.1
37,PI000038,53.83,PE,Enabled,Default Pipe,1,97.6
38,PI000039,54.89,PE,Enabled,Default Pipe,1,8.0
39,PI000040,54.33,PE,Enabled,Default Pipe,1,28.8
40,PI000041,54.65,PE,Enabled,Default Pipe,1,11.8
41,PI000042,50.11,PE,Enabled,Default Pipe,1,33.0
42,PI000043,50.09,PE,Enabled,Default Pipe,1,29.1
43,PI000044,36.47,PE,Enabled,Default Pipe,1,34.7
44,PI000045,32.43,PE,Enabled,Default Pipe,1,113.5
45,PI000046,50.27,PE,Enabled,Default Pipe,1,34.6
46,PI000047,50.65,PE,Enabled,Default Pipe,1,6.6
47,PI000048,41.90,PE,Enabled,Default Pipe,1,67.1
48,PI000049,48.57,PE,Enabled,Default Pipe,1,35.0
49,PI000050,45.26,PE,Enabled,Default Pipe,1,44.7
50,PI000051,40.08,PE,Enabled,Default Pipe,1,0.9
51,PI000052,37.73,PE,Enabled,Default Pipe,1,30.2
52,PI000053,40.06,PE,Enabled,Default Pipe,1,32.5
53,PI000054,34.97,PE,Enabled,Default Pipe,1,44.9
54,PI000055,46.53,PE,Enabled,Default Pipe,1,30.9
55,PI000056,50.52,PE,Enabled,Default Pipe,1,78.9
56,PI000057,51.20,PE,Enabled,Default Pipe,1,90.6
57,PI000058,41.50,PE,Enabled,Default Pipe,1,2.4
58,PI000059,45.95,PE,Enabled,Default Pipe,1,137.8
59,PI000060,45.90,PE,Enabled,Default Pipe,1,66.9
60,PI000061,46.22,PE,Enabled,Default Pipe,1,27.1
61,PI000062,46.40,PE,Enabled,Default Pipe,1,71.0
62,PI000063,41.70,PE,Enabled,Default Pipe,1,74.0
63,PI000064,42.14,PE,Enabled,Default Pipe,1,13.6
64,PI000065,42.32,PE,Enabled,Default Pipe,1,63.1
65,PI000066,48.32,PE,Enabled,Default Pipe,1,44.7
66,PI000067,47.21,PE,Enabled,Default Pipe,1,68.0
67,PI000068,46.19,PE,Enabled,Default Pipe,1,29.3
68,PI000069,44.16,PE,Enabled,Default Pipe,1,89.8
69,PI000070,45.71,PE,Enabled,Default Pipe,1,76.9
70,PI000071,45.43,PE,Enabled,Default Pipe,1,2.7
71,PI000072,37.10,PE,Enabled,Default Pipe,1,80.8
72,PI000073,40.21,PE,Enabled,Default Pipe,1,19.3
73,PI000074,40.42,PE,Enabled,Default Pipe,1,6.0
74,PI000076,41.07,PE,Enabled,Default Pipe,1,27.3
75,PI000077,38.48,PE,Enabled,Default Pipe,1,16.3
76,PI000078,38.16,PE,Enabled,Default Pipe,1,66.4
77,PI000079,47.24,PE,Enabled,Default Pipe,1,116.1
78,PI000080,46.46,PE,Enabled,Default Pipe,1,11.4
79,PI000081,46.51,PE,Enabled,Default Pipe,1,92.4
80,PI000082,35.05,PE,Enabled,Default Pipe,1,38.7
81,PI000083,32.29,PE,Enabled,Default Pipe,1,23.7
82,PI000084,36.74,PE,Enabled,Default Pipe,1,43.7
83,PI000085,39.91,PE,Enabled,Default Pipe,1,118.8
84,PI000086,39.40,PE,Enabled,Default Pipe,1,56.4
85,PI000087,39.27,PE,Enabled,Default Pipe,1,79.3
86,PI000088,39.05,PE,Enabled,Default Pipe,1,30.3
87,PI000089,39.09,PE,Enabled,Default Pipe,1,20.4
