SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,27.87,DI,Enabled,Default Pipe,1,94.3
2,PI000002,23.10,DI,Enabled,Default Pipe,1,1.9
3,PI000003,23.82,DI,Enabled,Default Pipe,1,144.0
4,PI000004,24.60,DI,Enabled,Default Pipe,1,24.5
5,PI000005,29.38,CI,Enabled,Default Pipe,1,156.7
6,PI000006,27.32,SI,Enabled,Default Pipe,1,93.4
7,PI000007,27.64,PE,Enabled,Default Pipe,1,0.2
8,PI000008,34.33,PE,Enabled,Default Pipe,1,30.6
9,PI000009,34.36,PE,Enabled,Default Pipe,1,22.8
10,PI000010,30.27,PE,Enabled,Default Pipe,1,36.6
11,PI000011,27.97,PE,Enabled,Default Pipe,1,45.7
12,PI000012,30.77,SI,Enabled,Default Pipe,1,167.6
13,PI000013,34.25,CI,Enabled,Default Pipe,1,4.5
14,PI000014,36.60,CI,Enabled,Default Pipe,1,27.9
15,PI000015,34.37,DI,Enabled,Default Pipe,1,233.8
16,PI000016,35.51,SI,Enabled,Default Pipe,1,8.8
17,PI000017,32.97,PE,Enabled,Default Pipe,1,55.1
18,PI000018,35.38,PE,Enabled,Default Pipe,1,28.0
19,PI000019,34.42,CI,Enabled,Default Pipe,1,14.4
20,PI000020,35.47,DI,Enabled,Default Pipe,1,3.6
21,PI000021,33.67,PE,Enabled,Default Pipe,1,21.7
22,PI000022,35.58,SI,Enabled,Default Pipe,1,44.2
23,PI000023,35.96,SI,Enabled,Default Pipe,1,20.0
24,PI000024,35.49,SI,Enabled,Default Pipe,1,1.9
25,PI000025,32.75,PE,Enabled,Default Pipe,1,53.5
26,PI000026,35.79,SI,Enabled,Default Pipe,1,41.9
27,PI000027,35.35,PE,Enabled,Default Pipe,1,31.6
28,PI000028,33.50,DI,Enabled,Default Pipe,1,63.4
29,PI000029,38.27,DI,Enabled,Default Pipe,1,47.0
30,PI000030,39.26,PE,Enabled,Default Pipe,1,80.0
31,PI000031,36.06,PE,Enabled,Default Pipe,1,55.5
32,PI000033,38.94,DI,Enabled,Default Pipe,1,23.7
33,PI000034,39.76,PE,Enabled,Default Pipe,1,5.2
34,PI000035,40.99,PE,Enabled,Default Pipe,1,77.7
35,PI000036,31.58,PE,Enabled,Default Pipe,1,15.0
36,PI000037,33.20,PE,Enabled,Default Pipe,1,68.4
37,PI000038,39.81,PE,Enabled,Default Pipe,1,18.3
38,PI000039,39.93,PE,Enabled,Default Pipe,1,44.4
39,PI000040,34.49,PE,Enabled,Default Pipe,1,31.1
40,PI000041,34.40,PE,Enabled,Default Pipe,1,31.4
41,PI000042,33.27,PE,Enabled,Default Pipe,1,30.4
42,PI000043,33.98,PE,Enabled,Default Pipe,1,20.2
43,PI000044,39.70,PE,Enabled,Default Pipe,1,28.3
44,PI000045,36.58,PE,Enabled,Default Pipe,1,57.5
45,PI000046,33.53,PE,Enabled,Default Pipe,1,39.2
46,PI000047,34.26,PE,Enabled,Default Pipe,1,7.8
47,PI000048,34.64,PE,Enabled,Default Pipe,1,14.4
48,PI000049,34.27,PE,Enabled,Default Pipe,1,10.2
49,PI000050,31.81,PE,Enabled,Default Pipe,1,18.3
50,PI000051,33.33,PE,Enabled,Default Pipe,1,5.1
51,PI000052,35.12,PE,Enabled,Default Pipe,1,20.8
52,PI000053,39.51,PE,Enabled,Default Pipe,1,71.4
