SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,27.90,PE,Enabled,Default Pipe,1,39.3
2,PI000001,28.00,PE,Enabled,Default Pipe,1,27.3
3,PI000002,28.00,PE,Enabled,Default Pipe,1,20.4
4,PI000003,27.91,PE,Enabled,Default Pipe,1,27.2
5,PI000004,26.27,PE,Enabled,Default Pipe,1,72.2
6,PI000005,27.15,PE,Enabled,Default Pipe,1,197.4
7,PI000006,26.32,PE,Enabled,Default Pipe,1,53.5
8,PI000007,25.37,PE,Enabled,Default Pipe,1,169.9
9,PI000008,27.93,PE,Enabled,Default Pipe,1,28.6
10,PI000009,26.34,PE,Enabled,Default Pipe,1,8.9
11,PI000010,27.96,PE,Enabled,Default Pipe,1,125.3
12,PI000011,27.56,PE,Enabled,Default Pipe,1,20.0
13,PI000012,27.40,PE,Enabled,Default Pipe,1,31.2
14,PI000013,29.36,PE,Enabled,Default Pipe,1,13.1
15,PI000014,29.01,PE,Enabled,Default Pipe,1,6.6
16,PI000015,29.01,PE,Enabled,Default Pipe,1,0.8
17,PI000016,29.23,PE,Enabled,Default Pipe,1,195.6
18,PI000017,29.01,PE,Enabled,Default Pipe,1,100.3
19,PI000018,27.94,PE,Enabled,Default Pipe,1,68.4
20,PI000019,28.23,PE,Enabled,Default Pipe,1,107.8
21,PI000020,28.48,PE,Enabled,Default Pipe,1,75.8
22,PI000021,28.73,SI,Enabled,Default Pipe,1,91.0
23,PI000022,28.96,SI,Enabled,Default Pipe,1,61.0
24,PI000023,27.47,PE,Enabled,Default Pipe,1,62.7
25,PI000024,27.40,PE,Enabled,Default Pipe,1,15.5
26,PI000025,29.16,SI,Enabled,Default Pipe,1,34.7
27,PI000026,29.25,SI,Enabled,Default Pipe,1,9.6
28,PI000027,29.61,PE,Enabled,Default Pipe,1,12.0
29,PI000028,29.88,PE,Enabled,Default Pipe,1,3.0
30,PI000029,28.05,PE,Enabled,Default Pipe,1,135.7
31,PI000030,29.26,PE,Enabled,Default Pipe,1,64.6
32,PI000031,28.88,PE,Enabled,Default Pipe,1,117.4
33,PI000032,27.97,PE,Enabled,Default Pipe,1,2.5
34,PI000033,28.40,PE,Enabled,Default Pipe,1,98.4
35,PI000034,28.44,PE,Enabled,Default Pipe,1,116.1

Model State: Solved

Generated on 12/03/2015 10:28:35

SynerGEE Gas 4.7.1: ASP
