SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,56.72,PE,Enabled,Default Pipe,1,3.9
2,PI000001,59.06,PE,Enabled,Default Pipe,1,73.0
3,PI000002,58.53,PE,Enabled,Default Pipe,1,90.8
4,PI000003,61.09,PE,Enabled,Default Pipe,1,6.0
5,PI000004,65.19,PE,Enabled,Default Pipe,1,44.0
6,PI000005,57.02,PE,Enabled,Default Pipe,1,78.0
7,PI000006,59.49,PE,Enabled,Default Pipe,1,73.5
8,PI000007,59.09,PE,Enabled,Default Pipe,1,25.4
9,PI000008,57.27,PE,Enabled,Default Pipe,1,30.0
10,PI000009,60.04,PE,Enabled,Default Pipe,1,149.0
11,PI000010,64.06,PE,Enabled,Default Pipe,1,10.1
12,PI000011,64.65,PE,Enabled,Default Pipe,1,72.2
13,PI000012,63.97,PE,Enabled,Default Pipe,1,70.0
14,PI000013,59.83,PE,Enabled,Default Pipe,1,24.1
15,PI000014,59.90,PE,Enabled,Default Pipe,1,37.0
16,PI000015,63.83,PE,Enabled,Default Pipe,1,72.0
17,PI000016,63.80,PE,Enabled,Default Pipe,1,62.3
18,PI000017,60.06,PE,Enabled,Default Pipe,1,36.7
19,PI000018,63.80,PE,Enabled,Default Pipe,1,10.2
20,PI000019,63.80,PE,Enabled,Default Pipe,1,53.9
21,PI000020,63.78,PE,Enabled,Default Pipe,1,62.0
22,PI000021,61.09,PE,Enabled,Default Pipe,1,11.7
23,PI000022,61.09,PE,Enabled,Default Pipe,1,31.4
24,PI000023,60.69,PE,Enabled,Default Pipe,1,57.6
25,PI000024,61.13,PE,Enabled,Default Pipe,1,12.8
26,PI000025,60.37,PE,Enabled,Default Pipe,1,167.4
27,PI000026,55.42,PE,Enabled,Default Pipe,1,62.3
28,PI000027,67.03,PE,Enabled,Default Pipe,1,87.5
29,PI000028,63.68,PE,Enabled,Default Pipe,1,92.5
30,PI000029,61.04,PE,Enabled,Default Pipe,1,78.4
31,PI000030,60.99,PE,Enabled,Default Pipe,1,9.0
32,PI000031,60.98,PE,Enabled,Default Pipe,1,24.5
33,PI000032,63.23,PE,Enabled,Default Pipe,1,164.1
34,PI000033,65.20,PE,Enabled,Default Pipe,1,49.8
35,PI000034,65.36,PE,Enabled,Default Pipe,1,2.9
36,PI000035,65.47,PE,Enabled,Default Pipe,1,16.4
37,PI000036,64.50,PE,Enabled,Default Pipe,1,186.1
38,PI000037,67.16,PE,Enabled,Default Pipe,1,109.3
39,PI000038,67.64,PE,Enabled,Default Pipe,1,189.5
40,PI000039,66.60,PE,Enabled,Default Pipe,1,8.4
41,PI000040,66.19,PE,Enabled,Default Pipe,1,107.7
42,PI000041,66.84,PE,Enabled,Default Pipe,1,132.1
43,PI000042,68.77,PE,Enabled,Default Pipe,1,208.2
44,PI000043,68.54,PE,Enabled,Default Pipe,1,117.8
45,PI000044,67.10,PE,Enabled,Default Pipe,1,27.3
46,PI000045,69.99,PE,Enabled,Default Pipe,1,5.0
47,PI000046,69.94,PE,Enabled,Default Pipe,1,15.9
48,PI000047,69.88,PE,Enabled,Default Pipe,1,27.3
49,PI000048,66.04,PE,Enabled,Default Pipe,1,117.8
50,PI000049,66.56,PE,Enabled,Default Pipe,1,269.6
51,PI000050,63.20,PE,Enabled,Default Pipe,1,52.1
52,PI000051,63.48,PE,Enabled,Default Pipe,1,55.5
53,PI000052,64.91,PE,Enabled,Default Pipe,1,102.2
54,PI000053,65.11,PE,Enabled,Default Pipe,1,28.2
55,PI000054,63.80,PE,Enabled,Default Pipe,1,26.9
56,PI000055,63.80,PE,Enabled,Default Pipe,1,27.8
57,PI000056,57.21,PE,Enabled,Default Pipe,1,18.7
58,PI000057,57.23,PE,Enabled,Default Pipe,1,38.9
59,PI000058,54.12,PE,Enabled,Default Pipe,1,1.7
60,PI000059,54.06,PE,Enabled,Default Pipe,1,12.4

Model State: Solved

Generated on 12/03/2015 10:33:05

SynerGEE Gas 4.7.1: ASP
