SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,26.87,PE,Enabled,Default Pipe,1,149.7
2,PI000001,32.94,DI,Enabled,Default Pipe,2,93.8
3,PI000002,33.00,DI,Enabled,Default Pipe,2,247.8
4,PI000003,32.82,PE,Enabled,Default Pipe,2,19.7
5,PI000004,32.80,PE,Enabled,Default Pipe,2,85.2
6,PI000005,24.97,PE,Enabled,Default Pipe,3,34.3
7,PI000006,22.79,PE,Enabled,Default Pipe,3,41.3
8,PI000007,22.62,PE,Enabled,Default Pipe,3,41.3
9,PI000008,22.43,PE,Enabled,Default Pipe,3,40.4
10,PI000009,22.45,PE,Enabled,Default Pipe,3,41.1
11,PI000010,22.31,PE,Enabled,Default Pipe,3,117.9
12,PI000011,23.81,PE,Enabled,Default Pipe,3,56.7
13,PI000012,22.89,PE,Enabled,Default Pipe,3,36.2
14,PI000013,27.77,PE,Enabled,Default Pipe,3,24.2
15,PI000014,27.46,PE,Enabled,Default Pipe,3,42.1
16,PI000015,25.16,PE,Enabled,Default Pipe,3,36.1
17,PI000016,25.14,PE,Enabled,Replacement Upsize Pipe,3,1.6
18,PI000017,25.15,PE,Enabled,Replacement Upsize Pipe,3,28.5
19,PI000018,24.69,PE,Enabled,Default Pipe,3,53.8
20,PI000019,25.44,PE,Enabled,Default Pipe,3,50.4
21,PI000020,29.14,SI,Enabled,Default Pipe,3,36.8
22,PI000021,28.42,SI,Enabled,Default Pipe,3,73.9
23,PI000022,27.10,PE,Enabled,Default Pipe,1,9.9
24,PI000023,27.60,PE,Enabled,Default Pipe,1,6.3
25,PI000024,39.99,PE,Enabled,Default Pipe,4,7.0
26,PI000025,74.96,PE,Enabled,Default Pipe,5,7.6
27,PI000026,74.60,PE,Enabled,Default Pipe,5,134.2
28,PI000027,39.89,PE,Enabled,Default Pipe,4,136.7
29,PI000028,27.86,ST,Enabled,Default Pipe,3,41.2
30,PI000029,27.86,ST,Enabled,Default Pipe,3,46.4
31,PI000030,28.05,SI,Enabled,Default Pipe,3,136.9
32,PI000031,29.69,PE,Enabled,Default Pipe,3,173.5
33,PI000032,29.40,PE,Enabled,Default Pipe,3,162.3
34,PI000033,30.99,SI,Enabled,Default Pipe,3,1.7
35,PI000034,25.91,SI,Enabled,Default Pipe,3,74.7
36,PI000035,26.39,SI,Enabled,Default Pipe,3,17.0
37,PI000036,25.27,SI,Enabled,Default Pipe,3,139.8
38,PI000037,25.49,SI,Enabled,Default Pipe,3,47.3
39,PI000038,32.99,DI,Enabled,Default Pipe,2,3.9
40,PI000039,28.46,PE,Enabled,Default Pipe,1,3.4
41,PI000040,27.39,PE,Enabled,Default Pipe,1,29.6
42,PI000041,29.86,SI,Enabled,Default Pipe,1,4.5
43,PI000042,22.78,PE,Enabled,Default Pipe,1,165.5
44,PI000043,27.37,PE,Enabled,Default Pipe,1,2.2
45,PI000044,28.98,SI,Enabled,Default Pipe,1,20.6
46,PI000045,28.38,PE,Enabled,Default Pipe,1,1.8
47,PI000046,27.87,PE,Enabled,Default Pipe,1,86.3
48,PI000047,24.65,PE,Enabled,Default Pipe,1,115.8
49,PI000048,26.67,PE,Enabled,Default Pipe,1,110.1
50,PI000049,24.74,PE,Enabled,Default Pipe,1,8.3
51,PI000050,23.69,PE,Enabled,Default Pipe,1,159.9
52,PI000051,25.74,PE,Enabled,Default Pipe,1,38.3
53,PI000052,25.80,PE,Enabled,Default Pipe,1,55.9
