SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000005,31.83,PE,Enabled,Default Pipe,2,52.1
2,PI000131,34.71,PE,Enabled,Default Pipe,3,85.7
3,PI000132,44.87,PE,Enabled,Default Pipe,1,16.8
4,PI000133,39.95,PE,Enabled,Default Pipe,1,53.1
5,PI000134,37.71,PE,Enabled,Default Pipe,1,240.5
6,PI000135,35.70,PE,Enabled,Default Pipe,1,121.1
7,PI000136,35.86,PE,Enabled,Default Pipe,1,1.1
8,PI000137,35.52,PE,Enabled,Default Pipe,1,102.1
9,PI000138,22.09,PE,Enabled,Default Pipe,1,92.6
10,PI000139,22.19,PE,Enabled,Default Pipe,1,129.1
11,PI000140,30.34,PE,Enabled,Default Pipe,1,337.8
12,PI000141,24.47,PE,Enabled,Default Pipe,1,229.9
13,PI000142,23.49,PE,Enabled,Default Pipe,1,190.3
14,PI000143,24.09,PE,Enabled,Default Pipe,1,4.8
15,PI000144,23.90,PE,Enabled,Default Pipe,1,156.1
16,PI000001,27.76,PE,Enabled,Default Pipe,2,7.5
17,PI000002,27.75,PE,Enabled,Default Pipe,2,92.5
18,PI000003,28.17,PE,Enabled,Default Pipe,2,235.0
19,PI000004,30.34,PE,Enabled,Default Pipe,2,171.1
20,PI000006,29.09,PE,Enabled,Default Pipe,2,1.1
21,PI000007,28.88,PE,Enabled,Default Pipe,2,30.9
22,PI000008,31.74,PE,Enabled,Default Pipe,2,4.7
23,PI000009,28.91,PE,Enabled,Default Pipe,2,42.9
24,PI000010,27.59,PE,Enabled,Default Pipe,2,48.7
25,PI000011,31.65,PE,Enabled,Default Pipe,2,124.1
26,PI000012,32.46,PE,Enabled,Default Pipe,2,35.9
27,PI000013,29.08,PE,Enabled,Default Pipe,2,2.7
28,PI000014,29.84,PE,Enabled,Default Pipe,2,38.7
29,PI000015,32.30,PE,Enabled,Default Pipe,2,1.7
30,PI000016,31.61,PE,Enabled,Default Pipe,2,3.0
31,PI000017,31.20,PE,Enabled,Default Pipe,2,1.6
32,PI000018,36.05,PE,Enabled,Default Pipe,2,195.7
33,PI000019,33.77,PE,Enabled,Default Pipe,2,53.0
34,PI000020,35.40,PE,Enabled,Default Pipe,2,87.7
35,PI000021,32.23,PE,Enabled,Default Pipe,2,83.4
36,PI000022,39.49,PE,Enabled,Default Pipe,2,92.6
37,PI000023,42.03,PE,Enabled,Default Pipe,2,179.5
38,PI000024,33.05,PE,Enabled,Default Pipe,2,135.4
39,PI000025,35.63,PE,Enabled,Default Pipe,2,37.9
40,PI000026,33.48,PE,Enabled,Default Pipe,2,28.5
41,PI000027,34.66,PE,Enabled,Default Pipe,2,28.2
42,PI000028,40.07,PE,Enabled,Default Pipe,2,21.3
43,PI000029,33.11,PE,Enabled,Default Pipe,2,39.5
44,PI000030,44.29,PE,Enabled,Default Pipe,2,13.6
45,PI000031,43.76,PE,Enabled,Default Pipe,2,40.6
46,PI000032,40.14,PE,Enabled,Default Pipe,2,23.5
47,PI000033,35.58,PE,Enabled,Default Pipe,2,112.5
48,PI000034,25.19,PE,Enabled,Default Pipe,3,80.1
49,PI000035,32.99,PE,Enabled,Default Pipe,3,137.2
50,PI000036,63.93,PE,Enabled,Default Pipe,4,52.1
51,PI000037,63.10,PE,Enabled,Default Pipe,4,1.2
52,PI000038,56.99,PE,Enabled,Default Pipe,4,291.7
53,PI000039,48.89,PE,Enabled,Default Pipe,4,72.4
54,PI000045,27.69,PE,Enabled,Default Pipe,2,188.8
55,PI000046,27.84,PE,Enabled,Default Pipe,2,37.3
56,PI000047,28.62,PE,Enabled,Default Pipe,2,37.4
57,PI000048,31.62,PE,Enabled,Default Pipe,2,37.9
58,PI000049,28.88,PE,Enabled,Default Pipe,2,70.1
59,PI000050,28.65,PE,Enabled,Default Pipe,2,0.8
60,PI000051,27.72,PE,Enabled,Default Pipe,2,1.3
61,PI000052,27.56,PE,Enabled,Default Pipe,2,0.5
62,PI000053,33.25,PE,Enabled,Default Pipe,2,57.3
63,PI000054,31.12,PE,Enabled,Default Pipe,2,57.3
64,PI000055,38.35,PE,Enabled,Default Pipe,2,90.2
65,PI000056,36.29,PE,Enabled,Default Pipe,2,46.3
66,PI000057,30.13,PE,Enabled,Default Pipe,2,2.4
67,PI000058,35.63,PE,Enabled,Default Pipe,2,90.7
68,PI000059,36.15,PE,Enabled,Default Pipe,2,0.9
69,PI000060,35.70,PE,Enabled,Default Pipe,2,21.4
70,PI000061,39.12,PE,Enabled,Default Pipe,2,1.1
71,PI000062,39.80,PE,Enabled,Default Pipe,2,55.4
72,PI000063,40.25,PE,Enabled,Default Pipe,2,71.0
73,PI000064,24.38,PE,Enabled,Default Pipe,3,140.7
74,PI000065,24.36,PE,Enabled,Default Pipe,3,5.2
75,PI000066,23.92,PE,Enabled,Default Pipe,3,26.2
76,PI000067,24.41,PE,Enabled,Default Pipe,3,1.6
77,PI000068,27.79,PE,Enabled,Default Pipe,3,148.1
78,PI000069,24.37,PE,Enabled,Default Pipe,3,9.6
79,PI000070,42.54,PE,Enabled,Default Pipe,3,179.2
80,PI000071,26.78,PE,Enabled,Default Pipe,3,168.0
81,PI000072,24.45,PE,Enabled,Default Pipe,3,46.1
82,PI000073,42.17,PE,Enabled,Default Pipe,3,312.0
83,PI000074,41.49,PE,Enabled,Default Pipe,3,179.0
84,PI000075,63.82,PE,Enabled,Default Pipe,4,72.1
85,PI000076,63.53,PE,Enabled,Default Pipe,4,104.9
86,PI000077,63.11,PE,Enabled,Default Pipe,4,13.0
87,PI000078,63.14,PE,Enabled,Default Pipe,4,20.4
88,PI000079,64.07,PE,Enabled,Default Pipe,4,42.7
89,PI000080,32.02,PE,Enabled,Default Pipe,2,159.4
