",model,name,name_out,loaded,balanced,feasible,solved,min_pressure,location"
" ,800005_LEIGHTON_BUZZARD,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800005_LEIGHTON_BUZZARD\FY1\800005_LEIGHTON_BUZZARD_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800005_LEIGHTON_BUZZARD_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.6513,80000500000604"
" ,800006_BASINGSTOKE,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800006_BASINGSTOKE\FY1\800006_BASINGSTOKE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800006_BASINGSTOKE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,19.2234,80000600003133"
" ,800012_BLETCHLEY,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800012_BLETCHLEY\FY1\800012_BLETCHLEY_FY1.mdb,S:\TEST AREA\ac00418\ASP_models_out\800012_BLETCHLEY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.8702,800012-148969"
" ,800014_HENLEY,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800014_HENLEY\FY1\800014 - Henley - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800014_HENLEY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.812,80001400010182"
" ,800020_DIDCOT,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800020_DIDCOT\FY1\800020_DIDCOT_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800020_DIDCOT_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,13.1787,80002000000020"
" ,800025_BICESTER,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800025_BICESTER\FY1\800025_BICESTER_FY1.mdb,S:\TEST AREA\ac00418\ASP_models_out\800025_BICESTER_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.9148,80002500000522"
" ,800030_WITNEY,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800030_WITNEY\FY1\800030_Witney_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800030_WITNEY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.2331,80003000033382"
" ,800033_AYLESBURY,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800033_AYLESBURY\FY1\800033_AYLESBURY_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800033_AYLESBURY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.4384,80003300003353"
" ,800034_BANBURY,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800034_BANBURY\FY1\800034_BANBURY_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800034_BANBURY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.9032,80003400000426"
" ,800035_BRACKLEY,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800035_BRACKLEY\FY1\800035_BRACKLEY_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800035_BRACKLEY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.588,80003500006161"
" ,800036_PRINCESS_RISBOROUGH,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800036_PRINCESS_RISBOROUGH\FY1\800036_PRINCES RISBOROUGH_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800036_PRINCESS_RISBOROUGH_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.2297,80003600000082"
" ,800037_THAME,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800037_THAME\FY1\800037_THAME_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800037_THAME_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.6421,80003700000029"
" ,800038_WENDOVER,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800038_WENDOVER\FY1\800038 - Wendover - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800038_WENDOVER_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.5129,80003800000179"
" ,800039_TRING,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800039_TRING\FY1\800039_TRING_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800039_TRING_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.3294,80003900000008"
" ,800042_WINSLOW,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800042_WINSLOW\FY1\800042_WINSLOW_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800042_WINSLOW_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,29.1068,80004200000304"
" ,800043_BUCKINGHAM,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800043_BUCKINGHAM\FY1\800043_BUCKINGHAM_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800043_BUCKINGHAM_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.183,80004300000221"
" ,800044_NEWBURY,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800044_NEWBURY\FY1\800044_NEWBURY_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800044_NEWBURY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,2.18667,80004400002982"
" ,800045_WANTAGE,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800045_WANTAGE\FY1\800045_WANTAGE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800045_WANTAGE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.6286,80004500001195"
" ,800046_ALTON,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800046_ALTON\FY1\800046 - Alton - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800046_ALTON_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.352,80004600001562"
" ,800047_ABINGDON,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800047_ABINGDON\FY1\800047_ABINGDON_FY1.mdb,S:\TEST AREA\ac00418\ASP_models_out\800047_ABINGDON_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.3243,80004700001783"
" ,800054_OXFORD_WEST,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800054_OXFORD_WEST\FY1\800054_Oxford West_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800054_OXFORD_WEST_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.2302,80005400002364"
" ,800058_BORDON,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800058_BORDON\FY1\800058_Bordon_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800058_BORDON_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,19.039,80005800001082"
" ,800068_WALLINGFORD,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800068_WALLINGFORD\FY1\800068 - Wallingford - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800068_WALLINGFORD_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.982,80006800000549"
" ,800069_GORING,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800069_GORING\FY1\800069_GORING_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800069_GORING_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,15.2869,80006900000309"
" ,800073_OXFORD_EAST,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800073_OXFORD_EAST\FY1\800073 - Oxford East - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800073_OXFORD_EAST_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.4223,80007300004063"
" ,800079_WOODSTOCK,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800079_WOODSTOCK\FY1\800079_WOODSTOCK_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800079_WOODSTOCK_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.5423,80007900008002"
" ,800084_EYNSHAM,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800084_EYNSHAM\FY1\800084_EYNSHAM_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800084_EYNSHAM_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.5483,80008400000287"
" ,800089_KIDLINGTON,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800089_KIDLINGTON\FY1\800089 - Kidlington - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800089_KIDLINGTON_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.7244,80008900000835"
" ,800091_CHIPPING_NORTON,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800091_CHIPPING_NORTON\FY1\800091_CHIPPING_NORTON_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800091_CHIPPING_NORTON_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,16.1267,80009100000037"
" ,800092_CHARLBURY,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800092_CHARLBURY\FY1\800092_Charlbury_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800092_CHARLBURY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,17.9237,80009200006001"
" ,800109_EAST_OAKLEY,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800109_EAST_OAKLEY\FY1\800109_EAST_OAKLEY_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800109_EAST_OAKLEY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.7565,80010900000218"
" ,800110_SONNING_COMMON,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800110_SONNING_COMMON\FY1\800110_Sonning_Common_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800110_SONNING_COMMON_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.2157,80011000001038"
" ,800112_LIPHOOK,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800112_LIPHOOK\FY1\800112_LIPHOOK_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800112_LIPHOOK_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,24.0042,80011200000179"
" ,800119_TADLEY,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800119_TADLEY\FY1\800119 - Tadley - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800119_TADLEY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.9361,80011900000800"
" ,800125_KINGSCLERE,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800125_KINGSCLERE\FY1\800125 Kingsclere FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800125_KINGSCLERE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,24.904,80012500000171"
" ,800138_WOLVERTON,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800138_WOLVERTON\FY1\800138_WOLVERTON_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800138_WOLVERTON_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.8799,80013800000078"
" ,800139_STONY_STRATFORD,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800139_STONY_STRATFORD\FY1\800139_Stony_Stratford_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800139_STONY_STRATFORD_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.6312,80013900000024"
" ,800140_BLOXHAM,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800140_BLOXHAM\FY1\800140_Bloxham_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800140_BLOXHAM_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.0539,80014000000242"
" ,800142_BYFIELD,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800142_BYFIELD\FY1\800142_Byfield_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800142_BYFIELD_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.8308,80014200000114"
" ,800143_MIDDLETON_CHENEY,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800143_MIDDLETON_CHENEY\FY1\800143 Middleton Cheney FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800143_MIDDLETON_CHENEY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.2801,80014300001024"
" ,800144_AMBROSDEN,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800144_AMBROSDEN\FY1\800144 Ambrosden FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800144_AMBROSDEN_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.1489,80014400008000"
" ,800145_LONG_HANBOROUGH,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800145_LONG_HANBOROUGH\FY1\800145_Long_Hanborough_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800145_LONG_HANBOROUGH_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.1361,80014500002263"
" ,800146_SHIPTON,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800146_SHIPTON\FY1\800146_Shipton_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800146_SHIPTON_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,19.8356,80014600000166"
" ,800147_WING,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800147_WING\FY1\800147_WING_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800147_WING_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.6839,80014700000128"
" ,800149_CHOLSEY,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800149_CHOLSEY\FY1\800149 - Cholsey - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800149_CHOLSEY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.7272,80014900000089"
" ,800150_BERINSFIELD,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800150_BERINSFIELD\FY1\800150_BERINSFIELD_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800150_BERINSFIELD_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.1263,80015000000092"
" ,800152_BENSON,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800152_BENSON\FY1\800152 Benson FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800152_BENSON_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.4461,80015200000077"
" ,800153_LONG_CRENDON,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800153_LONG_CRENDON\FY1\800153 Long Crendon FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800153_LONG_CRENDON_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.5595,80015300000084"
" ,800155_MILTON_KEYNES_SOUTH,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800155_MILTON_KEYNES_SOUTH\FY1\800155_Milton Keynes South_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800155_MILTON_KEYNES_SOUTH_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.2558,80015500006009"
" ,800157_STANTONBURY,\\vpoct502\Syn471\Southern Networks_471\S1 (80) district LP models_471\800157_STANTONBURY\FY1\800157_STANTONBURY_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\800157_STANTONBURY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.2458,80015700001036"
