SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,25.30,CI,Enabled,Default Pipe,1,41.8
2,PI000002,25.34,PE,Enabled,Default Pipe,1,33.8
3,PI000003,25.33,CI,Enabled,Default Pipe,1,74.8
4,PI000004,26.61,PE,Enabled,Default Pipe,1,17.4
5,PI000005,26.61,PE,Enabled,Default Pipe,1,11.7
6,PI000006,27.06,PE,Enabled,Default Pipe,1,41.9
7,PI000007,27.21,ST,Enabled,Default Pipe,1,1.5
8,PI000008,27.90,PE,Enabled,Default Pipe,1,1.6
9,PI000009,26.78,PE,Enabled,Default Pipe,1,16.8
10,PI000010,27.21,ST,Enabled,Default Pipe,1,6.8
11,PI000011,25.67,PE,Enabled,Default Pipe,1,31.4
12,PI000012,24.93,PE,Enabled,Default Pipe,1,62.5
13,PI000013,29.24,PE,Enabled,Default Pipe,1,21.3
14,PI000014,26.91,PE,Enabled,Default Pipe,1,11.8
15,PI000015,29.72,PE,Enabled,Default Pipe,1,33.4
16,PI000016,27.24,ST,Enabled,Default Pipe,1,87.5
17,PI000017,27.28,ST,Enabled,Default Pipe,1,3.9
18,PI000018,27.67,PE,Enabled,Default Pipe,1,43.7
19,PI000019,26.18,PE,Enabled,Default Pipe,1,35.6
20,PI000020,24.33,PE,Enabled,Default Pipe,1,19.0
21,PI000021,24.99,PE,Enabled,Default Pipe,1,1.7
22,PI000022,25.35,CI,Enabled,Default Pipe,1,9.6
23,PI000023,25.39,PE,Enabled,Default Pipe,1,15.7
24,PI000024,24.70,PE,Enabled,Default Pipe,1,15.3
25,PI000025,24.89,PE,Enabled,Default Pipe,1,29.3
26,PI000026,31.51,PE,Enabled,Default Pipe,1,35.3
27,PI000027,27.57,PE,Enabled,Default Pipe,1,46.2
28,PI000029,28.33,PE,Enabled,Default Pipe,1,48.0
29,PI000030,24.14,PE,Enabled,Default Pipe,1,36.7
30,PI000031,26.75,SI,Enabled,Default Pipe,1,125.1
31,PI000032,26.50,PE,Enabled,Default Pipe,1,157.2
32,PI000033,26.59,PE,Enabled,Default Pipe,1,9.6
33,PI000034,27.41,SI,Enabled,Default Pipe,1,39.6
34,PI000035,24.96,PE,Enabled,Default Pipe,1,35.8
35,PI000036,31.34,PE,Enabled,Default Pipe,1,29.6
36,PI000037,26.97,PE,Enabled,Default Pipe,1,18.6
37,PI000038,27.07,SI,Enabled,Default Pipe,1,7.7
38,PI000039,28.81,PE,Enabled,Default Pipe,1,145.6
39,PI000041,27.40,PE,Enabled,Default Pipe,1,82.4
40,PI000042,28.22,PE,Enabled,Default Pipe,1,45.1
41,PI000043,28.25,PE,Enabled,Default Pipe,1,18.8
42,PI000044,32.49,CI,Enabled,Default Pipe,1,106.4
43,PI000045,26.68,PE,Enabled,Default Pipe,1,8.2
44,PI000046,27.80,PE,Enabled,Default Pipe,1,7.7
45,PI000047,30.16,PE,Enabled,Default Pipe,1,36.2
46,PI000048,31.20,PE,Enabled,Default Pipe,1,23.4
47,PI000049,26.89,SI,Enabled,Default Pipe,1,31.4
48,PI000050,27.56,PE,Enabled,Default Pipe,1,14.4
49,PI000051,30.10,PE,Enabled,Default Pipe,1,66.3
50,PI000052,29.87,PE,Enabled,Default Pipe,1,123.3
51,PI000053,29.72,PE,Enabled,Default Pipe,1,23.4
52,PI000054,29.13,PE,Enabled,Default Pipe,1,81.4
53,PI000055,30.63,PE,Enabled,Default Pipe,1,104.5
54,PI000056,29.63,PE,Enabled,Default Pipe,1,5.6
55,PI000057,22.32,PE,Enabled,Default Pipe,1,17.5
56,PI000058,27.78,PE,Enabled,Default Pipe,1,44.6
57,PI000059,34.80,PE,Enabled,Default Pipe,1,56.5
58,PI000060,33.67,PE,Enabled,Default Pipe,1,19.5
59,PI000061,28.14,PE,Enabled,Default Pipe,1,37.3
60,PI000062,33.42,SI,Enabled,Default Pipe,1,42.6
61,PI000063,30.83,PE,Enabled,Default Pipe,1,76.8
62,PI000064,34.03,PE,Enabled,Default Pipe,1,37.5
63,PI000065,30.57,PE,Enabled,Default Pipe,1,13.2
64,PI000066,31.95,PE,Enabled,Default Pipe,1,2.4
65,PI000067,33.98,SI,Enabled,Default Pipe,1,49.8
66,PI000068,30.80,PE,Enabled,Default Pipe,1,6.4
67,PI000069,33.86,PE,Enabled,Default Pipe,1,21.2
68,PI000070,34.28,DI,Enabled,Default Pipe,1,44.6
69,PI000071,32.34,PE,Enabled,Default Pipe,1,36.1
70,PI000072,29.54,PE,Enabled,Default Pipe,1,54.0
71,PI000073,34.56,ST,Enabled,Default Pipe,1,139.7
72,PI000074,34.20,PE,Enabled,Default Pipe,1,45.8
73,PI000075,35.56,PE,Enabled,Default Pipe,1,18.7
74,PI000076,34.01,SI,Enabled,Default Pipe,1,116.1
75,PI000077,31.62,PE,Enabled,Default Pipe,1,6.0
76,PI000078,27.95,PE,Enabled,Default Pipe,1,69.9
77,PI000079,34.98,SI,Enabled,Default Pipe,1,75.1
78,PI000080,32.51,PE,Enabled,Default Pipe,1,39.0
79,PI000081,32.73,PE,Enabled,Default Pipe,1,30.3
80,PI000082,33.47,PE,Enabled,Default Pipe,1,84.3
81,PI000083,33.49,PE,Enabled,Default Pipe,1,145.2
82,PI000084,33.67,PE,Enabled,Default Pipe,1,11.4
83,PI000085,33.68,PE,Enabled,Default Pipe,1,57.5
84,PI000086,33.30,PE,Enabled,Default Pipe,1,72.4
85,PI000087,31.00,CI,Enabled,Default Pipe,1,6.4
86,PI000088,31.57,PE,Enabled,Default Pipe,1,4.2
87,PI000089,31.00,CI,Enabled,Default Pipe,1,4.4
88,PI000090,32.30,PE,Enabled,Default Pipe,1,1.7
89,PI000091,33.27,PE,Enabled,Default Pipe,1,7.9
90,PI000092,33.18,PE,Enabled,Default Pipe,1,133.1
91,PI000093,33.97,SI,Enabled,Default Pipe,1,14.3
92,PI000094,33.54,PE,Enabled,Default Pipe,1,20.0
93,PI000095,33.32,PE,Enabled,Default Pipe,1,88.6
94,PI000096,34.14,DI,Enabled,Default Pipe,1,8.0
95,PI000097,33.48,PE,Enabled,Default Pipe,1,111.2
96,PI000098,33.76,DI,Enabled,Default Pipe,1,11.7
97,PI000099,32.41,PE,Enabled,Default Pipe,1,25.1
98,PI000100,31.66,PE,Enabled,Default Pipe,1,118.5
99,PI000101,28.80,PE,Enabled,Default Pipe,1,47.0
100,PI000102,33.14,PE,Enabled,Default Pipe,1,31.4
101,PI000103,32.85,PE,Enabled,Default Pipe,1,7.3
102,PI000104,31.73,PE,Enabled,Default Pipe,1,52.4
103,PI000105,32.81,PE,Enabled,Default Pipe,1,1.3
104,PI000106,32.23,PE,Enabled,Default Pipe,1,1.7
105,PI000107,33.54,PE,Enabled,Default Pipe,1,9.0
106,PI000108,33.20,PE,Enabled,Default Pipe,1,31.6
107,PI000109,49.78,PE,Enabled,Default Pipe,2,145.8
108,PI000110,49.05,PE,Enabled,Default Pipe,2,6.5
109,PI000111,50.38,PE,Enabled,Default Pipe,2,35.4
110,PI000112,47.95,PE,Enabled,Default Pipe,2,5.2
111,PI000113,50.15,PE,Enabled,Default Pipe,2,34.1
112,PI000114,47.91,PE,Enabled,Default Pipe,2,7.2
113,PI000115,28.25,PE,Enabled,Replacement Pipe,1,36.8
114,PI000116,33.48,SI,Enabled,Default Pipe,1,13.4
115,PI000117,23.57,PE,Enabled,Default Pipe,1,11.5
116,PI000118,31.80,PE,Enabled,Replacement Pipe,1,64.0
117,PI000119,31.43,PE,Enabled,Default Pipe,1,38.9
118,PI000120,32.52,PE,Enabled,Replacement Pipe,1,11.9
119,PI000121,32.26,PE,Enabled,Replacement Pipe,1,33.7
120,PI000122,24.10,PE,Enabled,Default Pipe,1,20.9
121,PI000123,21.73,PE,Enabled,Default Pipe,1,25.0
122,PI000124,32.35,PE,Enabled,Replacement Pipe,1,39.1
123,PI000125,29.60,PE,Enabled,Default Pipe,1,42.9
124,PI000126,28.61,PE,Enabled,Replacement Pipe,1,3.8
125,PI000127,28.09,PE,Enabled,Replacement Pipe,1,125.8
126,PI000128,31.30,PE,Enabled,Replacement Pipe,1,8.1
127,PI000129,22.48,PE,Enabled,Default Pipe,1,26.9
128,PI000130,31.40,PE,Enabled,Replacement Pipe,1,29.0
129,PI000131,24.13,PE,Enabled,Default Pipe,1,11.3
130,PI000132,32.94,SI,Enabled,Default Pipe,1,24.0
131,PI000134,28.03,PE,Enabled,Default Pipe,1,26.3
132,PI000135,31.53,PE,Enabled,Replacement Pipe,1,10.2
133,PI000136,24.90,PE,Enabled,Default Pipe,1,15.3
134,PI000137,31.75,PE,Enabled,Default Pipe,1,264.1
135,PI000138,28.16,PE,Enabled,Replacement Pipe,1,74.7
136,PI000140,24.44,PE,Enabled,Default Pipe,1,3.3
137,PI000141,31.99,PE,Enabled,Replacement Pipe,1,36.6
138,PI000142,22.06,PE,Enabled,Default Pipe,1,17.5
139,PI000143,33.38,SI,Enabled,Default Pipe,1,95.0
140,PI000144,31.89,PE,Enabled,Replacement Pipe,1,5.9
141,PI000145,32.45,PE,Enabled,Default Pipe,1,15.2
142,PI000147,33.44,DI,Enabled,Default Pipe,1,1.8
143,PI000148,29.89,PE,Enabled,Default Pipe,1,14.4
144,PI000149,26.11,PE,Enabled,Default Pipe,1,44.7
145,PI000150,28.47,PE,Enabled,Replacement Pipe,1,42.3
146,PI000151,31.43,PE,Enabled,Default Pipe,1,12.3
147,PI000152,21.72,PE,Enabled,Default Pipe,1,3.8
148,PI000153,31.29,PE,Enabled,Replacement Pipe,1,109.1
