SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,29.74,ST,Enabled,Default Pipe,1,115.8
2,PI000002,28.25,DI,Enabled,Default Pipe,1,43.9
3,PI000003,28.98,SI,Enabled,Default Pipe,1,73.6
4,PI000004,29.22,SI,Enabled,Default Pipe,1,83.6
5,PI000005,29.33,PE,Enabled,Default Pipe,1,3.9
6,PI000006,31.47,PE,Enabled,Default Pipe,1,44.7
7,PI000007,24.85,PE,Enabled,Replacement Pipe,2,50.6
8,PI000008,24.56,PE,Enabled,Default Pipe,2,46.7
9,PI000009,24.72,PE,Enabled,Replacement Pipe,2,26.7
10,PI000010,23.34,SI,Enabled,Default Pipe,2,164.6
11,PI000011,23.84,SI,Enabled,Default Pipe,2,16.7
12,PI000012,23.84,ST,Enabled,Default Pipe,2,81.6
13,PI000013,23.46,SI,Enabled,Default Pipe,2,55.8
14,PI000014,23.74,SI,Enabled,Default Pipe,2,85.8
15,PI000015,23.12,SI,Enabled,Default Pipe,2,202.2
16,PI000016,24.87,PE,Enabled,Default Pipe,2,64.4
17,PI000017,23.28,ST,Enabled,Default Pipe,2,41.6
18,PI000018,25.46,SI,Enabled,Default Pipe,2,10.2
19,PI000019,23.97,PE,Enabled,Default Pipe,2,4.9
20,PI000020,24.25,PE,Enabled,Default Pipe,2,10.1
21,PI000021,24.46,PE,Enabled,Replacement Pipe,2,7.6
22,PI000022,23.97,SI,Enabled,Default Pipe,2,12.9
23,PI000023,24.31,PE,Enabled,Default Pipe,2,3.1
24,PI000024,24.14,PE,Enabled,Default Pipe,2,0.7
25,PI000025,24.57,PE,Enabled,Replacement Pipe,2,8.3
26,PI000026,24.38,PE,Enabled,Replacement Pipe,2,11.9
27,PI000027,23.97,PE,Enabled,Default Pipe,2,21.4
28,PI000028,23.73,PE,Enabled,Default Pipe,2,16.0
29,PI000029,24.01,PE,Enabled,Default Pipe,2,71.7
30,PI000030,39.07,ST,Enabled,Default Pipe,1,118.3
31,PI000031,39.00,PE,Enabled,Default Pipe,1,12.3
32,PI000032,38.98,PE,Enabled,Default Pipe,1,77.3
33,PI000033,39.17,ST,Enabled,Default Pipe,1,161.5
34,PI000034,39.10,ST,Enabled,Default Pipe,1,40.0
35,PI000035,38.02,SI,Enabled,Default Pipe,1,47.8
36,PI000036,37.94,DI,Enabled,Default Pipe,1,14.8
37,PI000037,39.10,ST,Enabled,Default Pipe,1,3.8
38,PI000038,34.01,PE,Enabled,Default Pipe,1,8.7
39,PI000039,37.83,PE,Enabled,Default Pipe,1,53.9
40,PI000040,38.63,DI,Enabled,Default Pipe,1,2.4
41,PI000041,37.94,SI,Enabled,Default Pipe,1,37.9
42,PI000042,33.04,PE,Enabled,Default Pipe,1,36.0
43,PI000043,38.32,CI,Enabled,Default Pipe,1,55.9
44,PI000044,35.85,ST,Enabled,Default Pipe,1,83.3
45,PI000045,37.02,PE,Enabled,Default Pipe,1,31.3
46,PI000046,36.97,PE,Enabled,Default Pipe,1,7.4
