SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000252,26.99,PE,Enabled,Default Pipe,1,32.5
2,PI000253,23.14,PE,Enabled,Default Pipe,1,38.8
3,PI000254,27.74,PE,Enabled,Default Pipe,1,70.2
4,PI000255,30.14,ST,Enabled,Default Pipe,1,15.7
5,PI000256,29.44,PE,Enabled,Default Pipe,1,20.3
6,PI000257,29.13,PE,Enabled,Default Pipe,1,146.5
7,PI000258,26.89,SI,Enabled,Default Pipe,1,81.7
8,PI000259,26.13,CI,Enabled,Default Pipe,1,6.2
9,PI000260,26.36,PE,Enabled,Default Pipe,1,46.7
10,PI000261,31.30,PE,Enabled,Default Pipe,1,61.2
11,PI000262,26.97,ST,Enabled,Default Pipe,1,36.7
12,PI000263,26.69,CI,Enabled,Default Pipe,1,68.8
13,PI000264,22.69,PE,Enabled,Default Pipe,1,8.3
14,PI000265,25.82,ST,Enabled,Default Pipe,1,7.5
15,PI000266,25.08,PE,Enabled,Default Pipe,1,36.4
16,PI000267,23.68,ST,Enabled,Default Pipe,1,111.8
17,PI000268,23.77,ST,Enabled,Default Pipe,1,9.3
18,PI000269,23.79,ST,Enabled,Default Pipe,1,62.6
19,PI000270,23.85,PE,Enabled,Default Pipe,1,44.7
20,PI000271,25.26,SI,Enabled,Default Pipe,1,46.2
21,PI000272,24.06,ST,Enabled,Default Pipe,1,11.3
22,PI000273,25.24,SI,Enabled,Default Pipe,1,1.3
23,PI000274,68.59,PE,Enabled,Default Pipe,2,5.8
24,PI000275,23.99,ST,Enabled,Default Pipe,1,20.6
25,PI000276,33.30,CI,Enabled,Default Pipe,1,36.8
26,PI000277,34.77,DI,Enabled,Default Pipe,1,37.6
27,PI000278,34.49,PE,Enabled,Default Pipe,1,13.0
28,0160326031,30.62,PE,Enabled,Default Pipe,1,284.4
29,0609559517,30.56,PE,Enabled,Default Pipe,1,1.3
30,0160326032,30.27,PE,Enabled,Default Pipe,1,129.9
31,0160326033,30.50,PE,Enabled,Default Pipe,1,70.7
32,0160326140,31.25,PE,Enabled,Default Pipe,1,8.1
33,0160393348,32.60,PE,Enabled,Default Pipe,1,51.5
34,0160326073,28.90,ST,Enabled,Default Pipe,1,24.9
35,0160326029,30.53,ST,Enabled,Default Pipe,1,60.8
36,0160326012,31.03,SI,Enabled,Default Pipe,1,3.5
37,0609472025,32.10,PE,Enabled,Default Pipe,1,5.0
38,0609456352,31.32,PE,Enabled,Default Pipe,1,1.8
39,0160326074,28.90,ST,Enabled,Default Pipe,1,16.9
40,0160326143,31.30,PE,Enabled,Default Pipe,1,21.2
41,0160409393,31.56,PE,Enabled,Default Pipe,1,45.1
42,0620499252,31.54,PE,Enabled,Default Pipe,1,26.0
43,0160409394,31.37,PE,Enabled,Default Pipe,1,37.7
44,0607581740,31.80,PE,Enabled,Default Pipe,1,19.8
45,0160326125,31.11,SI,Enabled,Default Pipe,1,101.0
46,0160326030,30.55,ST,Enabled,Default Pipe,1,117.7
47,0160326129,32.15,PE,Enabled,Default Pipe,1,13.7
48,0609496477,31.32,PE,Enabled,Default Pipe,1,1.4
49,0620499253,31.54,PE,Enabled,Default Pipe,1,29.8
50,0160326094,30.97,SI,Enabled,Default Pipe,1,55.9
51,0160409396,31.31,PE,Enabled,Default Pipe,1,20.7
52,0620497241,31.58,PE,Enabled,Default Pipe,1,15.8
53,0160409397,31.36,PE,Enabled,Default Pipe,1,45.7
54,0160326011,30.71,ST,Enabled,Default Pipe,1,33.4
55,0160326139,31.29,PE,Enabled,Default Pipe,1,24.0
56,0608049485,31.28,PE,Enabled,Default Pipe,1,4.8
57,0628115572,31.12,SI,Enabled,Default Pipe,1,171.8
58,0160326137,31.50,PE,Enabled,Default Pipe,1,56.9
59,0160409395,30.95,PE,Enabled,Default Pipe,1,47.0
60,0621362640,30.96,PE,Enabled,Default Pipe,1,66.4
61,0160326060,29.13,ST,Enabled,Default Pipe,1,43.3
62,0160326092,31.02,SI,Enabled,Default Pipe,1,106.8
63,0160394730,31.69,PE,Enabled,Default Pipe,1,29.0
64,0632376443,31.50,PE,Enabled,Default Pipe,1,7.3
65,0160326010,31.25,ST,Enabled,Default Pipe,1,5.2
66,0650012509,31.84,PE,Enabled,Default Pipe,1,33.4
67,0632376444,31.50,PE,Enabled,Default Pipe,1,78.1
68,0650306735,31.26,PE,Enabled,Default Pipe,1,13.9
69,0650304596,31.50,PE,Enabled,Default Pipe,1,46.7
70,0605279548,31.51,PE,Enabled,Default Pipe,1,44.4
71,0650304789,32.13,PE,Enabled,Default Pipe,1,39.4
72,0160326091,31.25,SI,Enabled,Default Pipe,1,18.8
73,0160326131,31.86,PE,Enabled,Default Pipe,1,25.6
74,0160326126,31.14,SI,Enabled,Default Pipe,1,12.3
75,0605279550,31.44,PE,Enabled,Default Pipe,1,57.5
76,0605279549,31.38,PE,Enabled,Default Pipe,1,30.0
77,0160326124,31.12,SI,Enabled,Default Pipe,1,2.9
78,0160326059,29.73,ST,Enabled,Default Pipe,1,37.5
79,0160325983,34.55,ST,Enabled,Default Pipe,1,8.1
80,0160325941,34.53,ST,Enabled,Default Pipe,1,20.8
81,0160326152,34.22,ST,Enabled,Default Pipe,1,53.0
82,0160325997,34.10,ST,Enabled,Default Pipe,1,6.1
83,0160325990,34.36,PE,Enabled,Replacement Pipe,1,34.0
84,0160326089,29.37,ST,Enabled,Default Pipe,1,6.8
85,0160326088,29.49,ST,Enabled,Default Pipe,1,85.3
86,0160326067,29.25,ST,Enabled,Default Pipe,1,37.5
87,0160326008,34.64,ST,Enabled,Default Pipe,1,7.9
88,0160326017,34.31,ST,Enabled,Default Pipe,1,4.1
89,0160325883,29.66,PE,Enabled,Default Pipe,4,131.9
90,0160326068,28.53,PE,Enabled,Default Pipe,1,57.3
91,0160326009,34.19,ST,Enabled,Default Pipe,1,15.1
92,0160326084,29.74,ST,Enabled,Default Pipe,1,76.6
93,0607712722,59.01,PE,Enabled,Default Pipe,2,13.6
94,0160325991,34.32,PE,Enabled,Replacement Pipe,1,11.0
95,0160325942,34.28,ST,Enabled,Default Pipe,1,120.4
96,0606496437,28.96,ST,Enabled,Default Pipe,1,1.8
97,0160325989,34.42,PE,Enabled,Replacement Pipe,1,4.8
98,0160326061,29.52,PE,Enabled,Default Pipe,1,31.0
99,0160326085,29.29,ST,Enabled,Default Pipe,1,136.7
100,0160326062,29.14,PE,Enabled,Default Pipe,1,9.1
101,0160326086,28.96,ST,Enabled,Default Pipe,1,20.0
102,0160325884,29.91,PE,Enabled,Default Pipe,4,7.3
103,0160325984,34.24,ST,Enabled,Default Pipe,1,159.1
104,0606020139,34.05,SI,Enabled,Default Pipe,1,2.0
105,0625928921,34.67,ST,Enabled,Default Pipe,1,5.8
106,0606297045,34.10,ST,Enabled,Default Pipe,1,28.5
