SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI0000010000001,36.98,PE,Enabled,Default Pipe,1,23.6
2,PI0000020000002,35.74,PE,Enabled,Default Pipe,1,20.6
3,PI0000030000003,35.72,CI,Enabled,Default Pipe,1,14.9
4,PI0000040000004,35.82,PE,Enabled,Default Pipe,1,16.4
5,PI0000050000005,35.44,CI,Enabled,Default Pipe,1,88.7
6,PI0000060000006,44.12,CI,Enabled,Default Pipe,1,6.9
7,PI0000080000008,31.02,SI,Enabled,Default Pipe,1,65.4
8,PI0000090000009,35.07,CI,Enabled,Default Pipe,1,68.0
9,PI0000100000010,28.55,ST,Enabled,Default Pipe,1,166.4
10,PI0000110000011,29.49,ST,Enabled,Default Pipe,1,47.5
11,PI0000120000012,23.25,ST,Enabled,Default Pipe,1,137.0
12,PI0000130000013,25.67,ST,Enabled,Default Pipe,1,65.0
13,PI0000140000014,25.89,ST,Enabled,Default Pipe,1,52.3
14,PI0000070000007,35.90,PE,Enabled,Default Pipe,1,209.3
15,PI0000150000015,26.43,ST,Enabled,Default Pipe,1,154.4
16,PI0000160000016,24.64,ST,Enabled,Default Pipe,1,200.5
17,PI0000170000017,26.11,ST,Enabled,Default Pipe,1,43.5
18,PI0000180000018,25.77,PE,Enabled,Default Pipe,1,100.4
19,PI0000190000019,25.96,ST,Enabled,Default Pipe,1,81.2
20,PI0000200000020,23.42,ST,Enabled,Default Pipe,1,94.1
21,PI0000210000021,34.78,CI,Enabled,Default Pipe,1,30.0
22,0160073095,41.62,PE,Enabled,Default Pipe,1,23.5
23,0160172514,35.68,PE,Enabled,Default Pipe,1,51.8
24,0160073071,42.65,CI,Enabled,Default Pipe,1,105.8
25,0160072802,42.28,PE,Enabled,Default Pipe,1,6.7
26,0607410569,36.01,PE,Enabled,Default Pipe,1,38.4
27,0160071912,37.12,PE,Enabled,Default Pipe,1,5.5
28,0160172517,35.86,PE,Enabled,Default Pipe,1,11.4
29,0605706827,36.87,PE,Enabled,Default Pipe,1,81.3
30,0160071439,23.71,PE,Enabled,Default Pipe,1,63.8
31,0160071911,38.07,CI,Enabled,Default Pipe,1,84.0
32,0160073050,42.63,CI,Enabled,Default Pipe,1,30.2
33,0607743135,37.04,PE,Enabled,Default Pipe,1,11.6
34,0160071401,33.73,PE,Enabled,Default Pipe,1,226.7
35,0160071352,35.86,CI,Enabled,Default Pipe,1,48.7
36,0160071586,29.53,ST,Enabled,Default Pipe,1,63.9
37,0160172516,35.71,PE,Enabled,Default Pipe,1,14.8
38,0160071400,30.98,PE,Enabled,Default Pipe,1,112.9
39,0160072822,42.78,PE,Enabled,Default Pipe,1,51.2
40,0160072975,43.53,CI,Enabled,Default Pipe,1,63.6
41,0160172515,35.77,PE,Enabled,Default Pipe,1,18.4
42,0160071540,32.65,ST,Enabled,Default Pipe,1,212.1
43,0160071438,25.57,PE,Enabled,Default Pipe,1,252.4
44,0160072993,44.97,PE,Enabled,Default Pipe,1,3.0
45,0605706826,36.87,PE,Enabled,Default Pipe,1,10.1
46,0160071406,31.57,SI,Enabled,Default Pipe,1,60.0
47,0160071539,23.43,ST,Enabled,Default Pipe,1,154.1
48,0160071461,33.44,SI,Enabled,Default Pipe,1,224.3
49,0160071598,29.06,SI,Enabled,Default Pipe,1,208.4
50,0651105165,29.03,PE,Enabled,Default Pipe,1,54.2
51,0651105158,29.03,PE,Enabled,Default Pipe,1,10.5
52,0160071542,22.89,PE,Enabled,Default Pipe,1,97.6
53,0630556505,25.79,PE,Enabled,Default Pipe,1,1.2
