SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,28.18,PE,Enabled,Default Pipe,1,48.0
2,PI000001,42.06,PE,Enabled,Default Pipe,1,126.8
3,PI000002,34.81,CI,Enabled,Default Pipe,1,6.6
4,PI000003,34.64,CI,Enabled,Default Pipe,1,5.6
5,PI000004,36.35,PE,Enabled,Default Pipe,1,12.4
6,PI000005,36.39,PE,Enabled,Default Pipe,1,25.2
7,PI000006,31.70,ST,Enabled,Default Pipe,1,14.2
8,PI000007,31.99,ST,Enabled,Default Pipe,1,167.7
9,PI000008,41.16,PE,Enabled,Default Pipe,1,56.0
10,PI000009,35.45,ST,Enabled,Default Pipe,1,26.1
11,PI000010,35.40,ST,Enabled,Default Pipe,1,53.9
12,PI000011,25.86,PE,Enabled,Default Pipe,1,75.3
13,PI000012,39.23,ST,Enabled,Default Pipe,1,35.0
14,PI000013,37.14,ST,Enabled,Default Pipe,1,90.5
15,PI000014,28.38,ST,Enabled,Default Pipe,1,13.5
16,PI000015,30.53,CI,Enabled,Default Pipe,1,12.5
17,PI000016,41.73,PE,Enabled,Replacement Pipe,1,49.4
18,PI000017,42.14,PE,Enabled,Replacement Pipe,1,76.9
19,PI000018,42.29,ST,Enabled,Default Pipe,1,38.0
20,PI000019,42.29,ST,Enabled,Default Pipe,1,45.8
21,PI000020,42.42,ST,Enabled,Default Pipe,1,56.3
22,PI000021,42.42,ST,Enabled,Default Pipe,1,81.4
23,PI000022,42.92,PE,Enabled,Replacement Pipe,1,13.1
24,PI000024,42.94,PE,Enabled,Replacement Pipe,1,21.0
25,PI000025,43.29,SI,Enabled,Default Pipe,1,52.7
26,PI000027,68.61,PE,Enabled,Default Pipe,2,10.1
27,PI000028,68.56,PE,Enabled,Default Pipe,2,108.1
28,PI000029,39.02,PE,Enabled,Default Pipe,1,69.6
29,PI000030,41.94,DI,Enabled,Default Pipe,1,41.6
30,PI000031,35.17,ST,Enabled,Default Pipe,1,61.9
31,PI000032,34.85,CI,Enabled,Default Pipe,1,261.1
32,PI000033,39.73,PE,Enabled,Default Pipe,1,46.8
33,PI000034,28.52,PE,Enabled,Default Pipe,1,11.2
34,PI000035,28.68,PE,Enabled,Default Pipe,1,47.2
35,PI000036,26.88,PE,Enabled,Default Pipe,1,4.0
36,PI000037,27.14,PE,Enabled,Default Pipe,1,46.4
37,PI000038,24.37,PE,Enabled,Default Pipe,1,129.7
38,PI000039,25.24,ST,Enabled,Default Pipe,1,121.8
39,PI000040,28.26,CI,Enabled,Default Pipe,1,17.5
40,PI000041,28.24,PE,Enabled,Default Pipe,1,111.2
41,PI000042,28.20,PE,Enabled,Default Pipe,1,195.3
42,PI000043,29.18,ST,Enabled,Default Pipe,1,22.1
43,PI000044,29.25,ST,Enabled,Default Pipe,1,1.8
44,PI000045,29.30,ST,Enabled,Default Pipe,1,2.8
45,PI000046,29.30,ST,Enabled,Default Pipe,1,4.5
46,PI000047,29.30,ST,Enabled,Default Pipe,1,12.1
47,PI000048,29.28,ST,Enabled,Default Pipe,1,114.7
48,PI000049,29.18,PE,Enabled,Default Pipe,1,78.6
49,PI000050,29.02,PE,Enabled,Default Pipe,1,42.5
50,PI000051,32.26,PE,Enabled,Default Pipe,1,13.8
51,PI000052,37.17,PE,Enabled,Default Pipe,1,9.6
52,PI000053,39.71,PE,Enabled,Replacement Pipe,1,17.3
53,PI000054,37.08,ST,Enabled,Default Pipe,1,200.4
54,PI000055,39.92,ST,Enabled,Default Pipe,1,7.9
55,PI000056,37.17,PE,Enabled,Default Pipe,1,1.5
56,PI000057,31.62,ST,Enabled,Default Pipe,1,176.4
57,PI000058,41.40,PE,Enabled,Default Pipe,1,101.6
58,PI000059,31.69,ST,Enabled,Default Pipe,1,2.8
59,PI000060,41.16,PE,Enabled,Default Pipe,1,46.7
60,PI000061,35.41,PE,Enabled,Default Pipe,1,25.4
