SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000168,46.96,CI,Enabled,Default Pipe,1,13.3
2,PI000169,46.95,CI,Enabled,Default Pipe,1,13.8
3,PI000170,46.82,ST,Enabled,Default Pipe,1,33.9
4,PI000171,47.56,ST,Enabled,Default Pipe,1,124.4
5,PI000172,48.54,ST,Enabled,Default Pipe,1,2.0
6,PI000173,48.50,ST,Enabled,Default Pipe,1,11.5
7,PI000174,48.05,ST,Enabled,Default Pipe,1,196.6
8,PI000175,47.05,ST,Enabled,Default Pipe,1,18.5
9,PI000176,49.00,ST,Enabled,Default Pipe,1,115.4
10,PI000177,48.02,ST,Enabled,Default Pipe,1,0.6
11,PI000178,47.85,ST,Enabled,Default Pipe,1,2.3
12,PI000179,47.01,ST,Enabled,Default Pipe,1,59.5
13,PI000180,30.46,ST,Enabled,Default Pipe,1,41.4
14,PI000181,35.25,ST,Enabled,Default Pipe,1,142.1
15,PI000182,32.88,ST,Enabled,Default Pipe,1,47.0
16,PI000183,23.85,ST,Enabled,Default Pipe,1,192.1
17,PI000184,26.46,PE,Enabled,Default Pipe,1,48.9
18,PI000185,31.62,ST,Enabled,Default Pipe,1,56.6
19,PI000186,23.63,PE,Enabled,Default Pipe,1,74.6
20,PI000187,24.36,ST,Enabled,Default Pipe,1,10.5
21,PI000188,26.93,ST,Enabled,Default Pipe,1,212.1
22,PI000189,26.18,PE,Enabled,Default Pipe,1,0.1
23,PI000190,26.84,ST,Enabled,Default Pipe,1,8.1
24,PI000191,23.97,ST,Enabled,Default Pipe,1,131.2
25,PI000192,25.50,ST,Enabled,Default Pipe,1,67.1
26,PI000193,23.07,ST,Enabled,Default Pipe,1,205.1
27,PI000194,23.24,ST,Enabled,Default Pipe,1,17.3
28,PI000195,23.20,ST,Enabled,Default Pipe,1,40.5
29,PI000196,23.23,SI,Enabled,Default Pipe,1,65.7
30,PI000197,23.35,ST,Enabled,Default Pipe,1,65.3
31,PI000198,23.01,ST,Enabled,Default Pipe,1,572.7
32,PI000199,23.23,ST,Enabled,Default Pipe,1,40.4
33,PI000200,25.00,PE,Enabled,Default Pipe,1,85.8
34,PI000201,22.72,ST,Enabled,Default Pipe,1,182.9
35,PI000202,26.02,PE,Enabled,Default Pipe,1,273.1
36,PI000203,26.91,SI,Enabled,Default Pipe,1,4.0
37,PI000204,26.91,SI,Enabled,Default Pipe,1,2.3
38,PI000205,45.96,PE,Enabled,Default Pipe,1,145.3
39,PI000206,46.43,PE,Enabled,Default Pipe,1,16.5
40,PI000207,47.40,PE,Enabled,Default Pipe,1,72.5
41,PI000208,48.78,PE,Enabled,Default Pipe,1,1.2
42,PI000209,48.84,PE,Enabled,Default Pipe,1,1.9
43,PI000210,40.95,PE,Enabled,Default Pipe,1,2.6
44,PI000211,41.07,PE,Enabled,Default Pipe,1,11.1
45,PI000212,38.17,PE,Enabled,Default Pipe,1,3.0
46,PI000213,35.96,PE,Enabled,Default Pipe,1,57.0
47,PI000214,41.41,PE,Enabled,Default Pipe,1,34.9
48,PI000215,36.92,PE,Enabled,Default Pipe,1,2.4
49,PI000216,23.97,PE,Enabled,Default Pipe,3,2.1
50,PI000217,23.96,PE,Enabled,Default Pipe,3,2.4
51,PI000218,24.12,PE,Enabled,Default Pipe,3,1.2
52,PI000219,35.99,PE,Enabled,Replacement Pipe,1,15.2
53,PI000220,36.10,SI,Enabled,Default Pipe,1,64.5
54,PI000221,29.24,PE,Enabled,Default Pipe,1,37.4
55,PI000222,46.97,ST,Enabled,Default Pipe,1,19.9
56,PI000223,46.75,PE,Enabled,Default Pipe,1,128.9
57,PI000224,46.98,ST,Enabled,Default Pipe,1,3.0
58,PI000225,46.71,PE,Enabled,Default Pipe,1,5.6
59,PI000226,43.25,ST,Enabled,Default Pipe,1,171.0
60,PI000227,23.26,ST,Enabled,Default Pipe,1,61.9
61,PI000228,23.32,ST,Enabled,Default Pipe,1,105.6
62,PI000229,23.46,ST,Enabled,Default Pipe,1,5.1
63,PI000230,23.23,ST,Enabled,Default Pipe,1,67.4
64,PI000231,25.16,ST,Enabled,Default Pipe,1,76.6
65,PI000232,26.03,ST,Enabled,Default Pipe,1,131.1
66,PI000233,24.54,PE,Enabled,Default Pipe,1,4.8
67,PI000234,27.01,ST,Enabled,Default Pipe,1,79.9
68,PI000235,27.27,ST,Enabled,Default Pipe,1,5.2
69,PI000236,22.94,ST,Enabled,Default Pipe,1,2.8
70,PI000237,22.89,ST,Enabled,Default Pipe,1,141.1
71,PI000238,22.57,ST,Enabled,Default Pipe,1,147.9
72,PI000239,22.35,CI,Enabled,Default Pipe,1,167.1
73,PI000240,22.32,CI,Enabled,Default Pipe,1,8.8
74,PI000241,48.81,PE,Enabled,Default Pipe,1,0.5
75,PI000242,43.87,PE,Enabled,Default Pipe,1,164.3
76,PI000243,42.14,PE,Enabled,Default Pipe,1,74.1
77,PI000244,45.12,PE,Enabled,Default Pipe,1,1.7
78,PI000245,49.22,PE,Enabled,Default Pipe,1,6.5
79,PI000246,21.72,PE,Enabled,Default Pipe,1,7.1
80,PI000247,24.23,PE,Enabled,Default Pipe,3,144.3
81,0160299145,46.97,ST,Enabled,Default Pipe,1,11.8
82,0160299158,46.98,PE,Enabled,Default Pipe,1,12.1
83,0607651930,46.89,PE,Enabled,Default Pipe,1,33.7
84,0160299155,46.98,PE,Enabled,Default Pipe,1,30.2
85,0160299146,47.41,ST,Enabled,Default Pipe,1,338.7
86,0160299142,46.98,CI,Enabled,Default Pipe,1,18.2
87,0160299143,46.98,ST,Enabled,Default Pipe,1,11.2
88,0160299144,46.97,ST,Enabled,Default Pipe,1,3.4
89,0160357459,46.74,PE,Enabled,Default Pipe,1,122.1
90,0160357458,46.89,PE,Enabled,Default Pipe,1,91.8
91,0160298911,46.90,ST,Enabled,Default Pipe,1,58.2
92,0632534091,46.80,PE,Enabled,Default Pipe,1,5.7
93,0160357455,46.81,PE,Enabled,Default Pipe,1,30.1
94,0160357457,46.71,PE,Enabled,Default Pipe,1,3.5
95,0160363611,45.53,PE,Enabled,Default Pipe,1,94.5
96,0160299148,48.46,ST,Enabled,Default Pipe,1,4.2
97,0160298882,48.13,ST,Enabled,Default Pipe,1,185.0
98,0607863276,49.73,PE,Enabled,Default Pipe,1,9.0
99,0160298894,47.72,ST,Enabled,Default Pipe,1,202.8
100,0160298961,46.93,PE,Enabled,Default Pipe,1,52.6
101,0605939409,48.54,PE,Enabled,Default Pipe,1,7.4
102,0609507753,47.04,PE,Enabled,Default Pipe,1,3.4
103,0160355844,48.32,ST,Enabled,Default Pipe,1,73.3
104,0605939410,48.49,PE,Enabled,Default Pipe,1,61.8
105,0607430090,48.09,PE,Enabled,Default Pipe,1,38.3
106,0160298912,47.04,PE,Enabled,Default Pipe,1,11.5
107,0160299153,48.50,PE,Enabled,Default Pipe,1,71.2
108,0607243361,48.02,PE,Enabled,Default Pipe,1,48.3
109,0160299147,48.12,ST,Enabled,Default Pipe,1,218.5
110,0160299152,48.42,ST,Enabled,Default Pipe,1,40.6
111,0607549279,48.38,PE,Enabled,Default Pipe,1,23.9
112,0160355843,47.15,ST,Enabled,Default Pipe,1,53.2
113,0160298762,23.02,PE,Enabled,Default Pipe,1,62.7
114,0160298761,23.18,PE,Enabled,Default Pipe,1,96.6
115,0160298758,24.08,ST,Enabled,Default Pipe,1,94.9
116,0623969516,33.47,PE,Enabled,Default Pipe,1,15.1
117,0160299030,27.29,ST,Enabled,Default Pipe,1,121.9
118,0160298835,30.93,ST,Enabled,Default Pipe,1,60.1
119,0160299150,27.36,SI,Enabled,Default Pipe,1,85.1
120,0160398972,26.30,PE,Enabled,Default Pipe,1,12.5
121,0160299159,37.02,PE,Enabled,Default Pipe,1,9.9
122,0160299149,28.69,SI,Enabled,Default Pipe,1,102.9
123,0160298745,24.24,ST,Enabled,Default Pipe,1,2.3
124,0627814517,26.08,PE,Enabled,Default Pipe,1,3.2
125,0160298796,24.54,PE,Enabled,Default Pipe,1,59.7
126,0160298768,24.62,ST,Enabled,Default Pipe,1,127.8
127,0160298760,23.33,PE,Enabled,Default Pipe,1,4.6
128,0623969515,33.47,PE,Enabled,Default Pipe,1,18.8
129,0160298822,24.55,ST,Enabled,Default Pipe,1,117.8
130,0623997875,33.47,PE,Enabled,Default Pipe,1,27.4
131,0160398973,26.19,PE,Enabled,Default Pipe,1,35.7
132,0160298830,31.85,PE,Enabled,Default Pipe,1,130.6
133,0160298759,23.36,PE,Enabled,Default Pipe,1,143.3
134,0160298783,24.34,PE,Enabled,Default Pipe,1,109.2
135,0160377143,26.60,PE,Enabled,Default Pipe,1,183.4
136,0160299060,26.61,PE,Enabled,Default Pipe,1,267.6
137,0160299059,26.82,ST,Enabled,Default Pipe,1,149.7
138,0160363052,25.86,PE,Enabled,Default Pipe,1,238.2
139,0160299061,26.15,PE,Enabled,Default Pipe,1,182.9
140,0160298563,26.60,PE,Enabled,Replacement Upsize Pipe,1,215.8
141,0620707607,26.25,PE,Enabled,Default Pipe,1,5.8
142,0606456932,24.75,ST,Enabled,Default Pipe,1,3.4
143,0620707606,26.25,PE,Enabled,Default Pipe,1,9.0
144,0160298681,23.21,ST,Enabled,Default Pipe,1,128.7
145,0160298640,23.27,ST,Enabled,Default Pipe,1,35.1
146,0160298670,23.06,PE,Enabled,Default Pipe,1,45.6
147,0160298698,23.37,ST,Enabled,Default Pipe,1,54.6
