SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,37.60,PE,Enabled,Default Pipe,1,89.9
2,PI000001,31.63,PE,Enabled,Default Pipe,1,21.8
3,PI000002,31.47,PE,Enabled,Default Pipe,1,11.5
4,PI000003,31.28,PE,Enabled,Default Pipe,1,67.8
5,PI000004,31.15,PE,Enabled,Default Pipe,1,32.7
6,PI000005,34.42,PE,Enabled,Default Pipe,1,77.8
7,PI000006,26.69,PE,Enabled,Default Pipe,1,167.9
8,PI000007,26.93,PE,Enabled,Default Pipe,1,10.1
9,PI000008,26.96,PE,Enabled,Default Pipe,1,5.3
10,PI000009,28.29,PE,Enabled,Default Pipe,1,218.6
11,PI000010,26.96,DI,Enabled,Default Pipe,1,7.6
12,PI000011,24.46,PE,Enabled,Default Pipe,1,3.5
13,PI000012,24.41,PE,Enabled,Default Pipe,1,19.7
14,PI000013,37.68,PE,Enabled,Default Pipe,1,221.4
15,PI000014,37.57,PE,Enabled,Default Pipe,1,216.4
16,PI000015,24.49,PE,Enabled,Default Pipe,1,48.3
17,PI000016,24.57,PE,Enabled,Default Pipe,1,9.3
18,PI000017,25.18,PE,Enabled,Default Pipe,1,7.2
19,PI000018,25.02,PE,Enabled,Default Pipe,1,54.5
20,PI000019,37.14,PE,Enabled,Default Pipe,1,166.3
21,PI000020,37.55,PE,Enabled,Default Pipe,1,36.5
22,PI000021,36.78,PE,Enabled,Default Pipe,1,1.5
23,PI000022,36.77,PE,Enabled,Default Pipe,1,128.5
24,PI000023,36.81,PE,Enabled,Default Pipe,1,56.1
25,PI000024,25.77,PE,Enabled,Default Pipe,1,68.7
26,PI000025,25.82,PE,Enabled,Default Pipe,1,81.3
27,PI000026,26.42,ST,Enabled,Default Pipe,1,12.0
28,PI000027,26.12,PE,Enabled,Default Pipe,1,95.2
29,PI000028,26.41,ST,Enabled,Default Pipe,1,78.1
30,PI000029,26.30,PE,Enabled,Default Pipe,1,107.5
31,PI000030,30.09,ST,Enabled,Default Pipe,1,38.5
32,PI000031,26.85,PE,Enabled,Default Pipe,1,6.3
33,PI000032,26.96,DI,Enabled,Default Pipe,1,1.5
