SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,33.98,PE,Enabled,Default Pipe,1,30.5
2,PI000002,34.09,PE,Enabled,Default Pipe,1,118.8
3,PI000003,35.32,SI,Enabled,Default Pipe,1,136.4
4,PI000004,35.42,PE,Enabled,Default Pipe,3,28.3
5,PI000005,35.33,PE,Enabled,Default Pipe,3,71.2
6,PI000006,35.25,PE,Enabled,Default Pipe,3,32.6
7,PI000007,35.27,PE,Enabled,Default Pipe,3,1.9
8,PI000008,35.27,SI,Enabled,Default Pipe,3,2.0
9,PI000009,35.58,SI,Enabled,Default Pipe,3,29.8
10,PI000010,22.01,PE,Enabled,Default Pipe,1,68.2
11,PI000011,34.15,PE,Enabled,Default Pipe,1,12.5
12,PI000012,35.83,SI,Enabled,Default Pipe,1,22.1
13,PI000013,35.69,SI,Enabled,Default Pipe,1,12.2
14,PI000014,34.54,PE,Enabled,Default Pipe,1,40.8
15,PI000016,35.56,SI,Enabled,Default Pipe,1,10.7
16,PI000017,35.03,SI,Enabled,Default Pipe,3,28.7
17,PI000018,35.00,SI,Enabled,Default Pipe,3,12.8
18,PI000019,35.17,SI,Enabled,Default Pipe,3,48.2
19,PI000020,22.19,PE,Enabled,Default Pipe,1,6.4
20,PI000021,22.19,PE,Enabled,Default Pipe,1,6.6
21,PI000022,21.91,PE,Enabled,Default Pipe,1,62.9
22,PI000023,21.98,PE,Enabled,Default Pipe,1,18.6
23,PI000024,21.95,PE,Enabled,Default Pipe,1,20.9
24,PI000025,35.99,SI,Enabled,Default Pipe,3,3.2
25,PI000026,36.01,PE,Enabled,Default Pipe,3,63.2
26,PI000027,36.02,PE,Enabled,Default Pipe,3,1.3
27,PI000028,36.01,PE,Enabled,Default Pipe,3,15.2
28,PI000029,36.39,PE,Enabled,Default Pipe,3,51.5
29,PI000030,36.45,PE,Enabled,Default Pipe,3,33.1
30,PI000031,35.69,SI,Enabled,Default Pipe,3,6.8
31,PI000032,35.12,PE,Enabled,Default Pipe,3,31.9
32,PI000033,36.41,PE,Enabled,Default Pipe,3,2.1
33,PI000034,36.41,PE,Enabled,Default Pipe,3,2.5
34,PI000035,39.70,SI,Enabled,Default Pipe,3,51.9
35,PI000036,39.38,SI,Enabled,Default Pipe,3,10.8
36,PI000037,39.63,PE,Enabled,Default Pipe,3,12.5
37,PI000038,39.72,PE,Enabled,Default Pipe,3,129.1
38,PI000039,39.67,PE,Enabled,Default Pipe,3,34.1
39,PI000040,39.48,SI,Enabled,Default Pipe,3,20.9
40,PI000041,39.90,PE,Enabled,Default Pipe,3,26.1
41,PI000042,39.99,PE,Enabled,Default Pipe,3,8.5
42,PI000043,40.04,SI,Enabled,Default Pipe,3,43.1
43,PI000044,40.08,SI,Enabled,Default Pipe,3,42.4
44,PI000045,37.95,PE,Enabled,Default Pipe,3,1.3
45,PI000046,38.09,PE,Enabled,Default Pipe,3,8.3
46,PI000047,38.05,PE,Enabled,Default Pipe,3,2.4
47,PI000048,37.73,PE,Enabled,Default Pipe,3,26.0
48,PI000049,36.97,PE,Enabled,Default Pipe,3,3.0
49,PI000050,36.52,PE,Enabled,Default Pipe,3,13.7
50,PI000051,36.52,PE,Enabled,Default Pipe,3,29.3
51,PI000052,34.79,PE,Enabled,Default Pipe,3,54.4
52,PI000053,36.52,PE,Enabled,Default Pipe,3,13.3
53,PI000054,36.52,PE,Enabled,Default Pipe,3,2.9
54,PI000055,38.58,SI,Enabled,Default Pipe,3,160.7
55,PI000056,32.60,PE,Enabled,Default Pipe,2,202.6
56,PI000057,30.45,PE,Enabled,Default Pipe,4,98.2
57,PI000058,33.62,PE,Enabled,Default Pipe,4,38.9
58,PI000059,34.05,PE,Enabled,Default Pipe,4,29.3
59,PI000060,39.07,DI,Enabled,Default Pipe,5,1.4
60,PI000061,39.15,PE,Enabled,Default Pipe,5,25.0
61,PI000062,37.52,PE,Enabled,Default Pipe,2,68.9
62,PI000063,41.55,PE,Enabled,Default Pipe,2,93.1
63,PI000064,39.02,PE,Enabled,Default Pipe,2,25.0
64,PI000065,38.96,PE,Enabled,Default Pipe,2,13.7
65,PI000066,32.97,PE,Enabled,Default Pipe,2,25.7
66,PI000067,38.03,PE,Enabled,Default Pipe,2,169.0
67,PI000068,44.11,PE,Enabled,Default Pipe,2,5.7
68,PI000069,33.27,PE,Enabled,Default Pipe,1,46.7
69,PI000070,32.17,PE,Enabled,Default Pipe,1,32.6
70,PI000071,33.06,DI,Enabled,Default Pipe,1,113.3
71,PI000072,35.59,SI,Enabled,Default Pipe,3,14.0
72,PI000073,22.06,PE,Enabled,Default Pipe,1,7.5
73,PI000074,22.12,PE,Enabled,Default Pipe,1,18.8
74,PI000075,35.97,SI,Enabled,Default Pipe,1,67.0
75,PI000076,36.01,PE,Enabled,Default Pipe,3,29.6
76,PI000077,35.96,PE,Enabled,Default Pipe,3,1.9
77,PI000078,36.32,SI,Enabled,Default Pipe,3,7.7
78,PI000079,35.73,SI,Enabled,Default Pipe,3,18.3
79,PI000080,35.65,SI,Enabled,Default Pipe,3,10.0
80,PI000081,36.38,PE,Enabled,Default Pipe,3,39.9
81,PI000082,37.08,SI,Enabled,Default Pipe,3,276.5
82,PI000083,36.43,PE,Enabled,Default Pipe,3,67.1
83,PI000084,36.56,PE,Enabled,Default Pipe,3,41.9
84,PI000085,32.62,PE,Enabled,Default Pipe,3,13.6
85,PI000086,35.79,PE,Enabled,Default Pipe,3,55.7
86,PI000087,36.54,PE,Enabled,Default Pipe,3,31.6
87,PI000088,36.52,PE,Enabled,Default Pipe,3,15.3
88,PI000089,35.00,PE,Enabled,Default Pipe,2,41.3
89,PI000090,33.17,PE,Enabled,Default Pipe,2,118.1
90,PI000091,38.89,PE,Enabled,Default Pipe,2,26.1
91,PI000092,28.09,PE,Enabled,Default Pipe,2,170.5
92,PI000093,39.15,PE,Enabled,Default Pipe,5,50.4
93,PI000094,32.61,PE,Enabled,Default Pipe,1,60.6
94,PI000095,32.25,PE,Enabled,Default Pipe,1,28.7
95,PI000096,35.14,SI,Enabled,Default Pipe,1,48.9
96,PI000097,33.98,PE,Enabled,Default Pipe,1,0.9
97,PI000098,35.81,SI,Enabled,Default Pipe,3,62.1
98,PI000099,35.52,PE,Enabled,Default Pipe,3,38.9
99,PI000100,36.00,CI,Enabled,Default Pipe,1,12.9
100,PI000101,36.02,CI,Enabled,Default Pipe,1,10.6
101,PI000102,35.88,PE,Enabled,Default Pipe,1,1.1
102,PI000103,35.13,PE,Enabled,Default Pipe,1,167.9
103,PI000104,34.69,DI,Enabled,Default Pipe,1,99.3
104,PI000105,30.26,PE,Enabled,Default Pipe,1,1.0
105,PI000106,32.12,PE,Enabled,Default Pipe,1,1.2
106,PI000107,22.13,PE,Enabled,Default Pipe,1,1.6
