SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,0115602963,51.23,PE,Enabled,Default Pipe,1,184.3
2,PI1016202,52.29,PE,Enabled,Default Pipe,1,23.8
3,0115603281,52.25,PE,Enabled,Default Pipe,1,130.9
4,0115603056,51.69,PE,Enabled,Default Pipe,1,246.7
5,0115603289,52.51,PE,Enabled,Default Pipe,1,6.6
6,0650512457,52.37,PE,Enabled,Default Pipe,1,5.2
7,0627447898,52.51,PE,Enabled,Default Pipe,1,63.1
8,0115602858,52.84,PE,Enabled,Default Pipe,1,104.9
9,0115603029,50.26,PE,Enabled,Default Pipe,1,365.6
10,0115885034,52.54,PE,Enabled,Default Pipe,1,58.6
11,0115884901,47.37,PE,Enabled,Default Pipe,1,16.1
12,0115885051,47.74,PE,Enabled,Default Pipe,1,117.3
13,0115885100,48.06,PE,Enabled,Default Pipe,1,155.7
14,0115602940,49.19,PE,Enabled,Default Pipe,1,102.9
15,0115602884,48.06,PE,Enabled,Default Pipe,1,41.2
16,0115602878,48.77,PE,Enabled,Default Pipe,1,20.3
17,0115603326,49.62,PE,Enabled,Default Pipe,1,7.2
18,0115603338,49.64,PE,Enabled,Default Pipe,1,47.9
19,0115602865,49.94,PE,Enabled,Default Pipe,1,2.8
20,0115603110,52.69,PE,Enabled,Default Pipe,1,73.9
21,0115603296,52.83,PE,Enabled,Default Pipe,1,120.1
22,0115603120,52.96,PE,Enabled,Default Pipe,1,13.1
23,0115603287,52.27,PE,Enabled,Default Pipe,1,158.2
24,0115882861,52.07,PE,Enabled,Default Pipe,1,51.2
25,0650512395,52.46,PE,Enabled,Default Pipe,1,9.2
26,0115603293,52.58,PE,Enabled,Default Pipe,1,15.4
27,0115603292,52.58,PE,Enabled,Default Pipe,1,4.8
28,0115885105,52.54,PE,Enabled,Default Pipe,1,43.0
29,0115885107,52.51,PE,Enabled,Default Pipe,1,28.6
30,0115885104,52.54,PE,Enabled,Default Pipe,1,28.8
31,0115885110,52.51,PE,Enabled,Default Pipe,1,10.7
32,0115603101,52.56,PE,Enabled,Default Pipe,1,62.6
33,0115603309,51.53,PE,Enabled,Default Pipe,1,77.9
34,0115882854,51.57,PE,Enabled,Default Pipe,1,41.8
35,0115884902,47.43,PE,Enabled,Default Pipe,1,76.2
36,0115885059,49.58,PE,Enabled,Default Pipe,1,30.9
37,0115603195,49.49,PE,Enabled,Default Pipe,1,159.6
38,0115885061,50.57,PE,Enabled,Default Pipe,1,46.3
39,0115884871,45.86,PE,Enabled,Default Pipe,1,0.9
40,PI1016002,46.61,PE,Enabled,Default Pipe,1,132.9
41,0632573593,45.86,PE,Enabled,Default Pipe,1,1.0
42,0115885111,47.52,PE,Enabled,Default Pipe,1,19.8
43,PI1016003,52.58,PE,Enabled,Default Pipe,1,2.6
44,0651706086,52.57,PE,Enabled,Default Pipe,1,14.3
45,0115602919,47.05,PE,Enabled,Default Pipe,1,132.2
46,0115885027,45.61,PE,Enabled,Default Pipe,1,76.3
47,0115603345,47.85,PE,Enabled,Default Pipe,1,6.3
48,0115603350,47.70,PE,Enabled,Default Pipe,1,17.9
49,0115603354,47.25,PE,Enabled,Default Pipe,1,56.4
50,0115602905,45.55,PE,Enabled,Default Pipe,1,112.5
51,0115603340,48.62,PE,Enabled,Default Pipe,1,102.4
52,0115602973,49.87,PE,Enabled,Default Pipe,1,60.9
53,0115602869,47.61,PE,Enabled,Default Pipe,1,23.4
54,0622905440,48.86,PE,Enabled,Default Pipe,1,26.1
55,0622905441,48.81,PE,Enabled,Default Pipe,1,15.8
56,0115602912,47.37,PE,Enabled,Default Pipe,1,99.5
57,0115603085,51.71,PE,Enabled,Default Pipe,1,308.9
58,0115603188,51.74,PE,Enabled,Default Pipe,1,107.7
59,0115882848,50.66,PE,Enabled,Default Pipe,1,84.9
60,0115603192,50.44,PE,Enabled,Default Pipe,1,48.8
61,0115602863,53.11,PE,Enabled,Default Pipe,1,69.3
62,0115603182,52.88,PE,Enabled,Default Pipe,1,153.6
63,0115602859,52.73,PE,Enabled,Default Pipe,1,97.8
64,0115602862,53.06,PE,Enabled,Default Pipe,1,48.2
65,0115603180,53.05,PE,Enabled,Default Pipe,1,14.8
66,0115603074,53.08,PE,Enabled,Default Pipe,1,2.2
67,0115602898,53.09,PE,Enabled,Default Pipe,1,94.6
68,0115602853,51.98,PE,Enabled,Default Pipe,1,208.4
69,0115603045,48.60,PE,Enabled,Default Pipe,1,138.3
70,0115603067,52.96,PE,Enabled,Default Pipe,1,6.8
71,0115603047,49.55,PE,Enabled,Default Pipe,1,72.2
72,0115602857,50.37,PE,Enabled,Default Pipe,1,74.8
73,0115602974,49.12,PE,Enabled,Default Pipe,1,55.4
74,0115603064,48.95,PE,Enabled,Default Pipe,1,47.5
75,0115602902,49.68,PE,Enabled,Default Pipe,1,158.8
76,0115603059,48.93,PE,Enabled,Default Pipe,1,101.1
77,0115603065,49.26,PE,Enabled,Default Pipe,1,83.4
78,PI1016004,46.75,PE,Enabled,Default Pipe,1,132.7
79,PI1016005,45.97,PE,Enabled,Default Pipe,1,111.8
80,PI1016006,47.44,PE,Enabled,Default Pipe,1,38.3
81,PI1016007,45.26,PE,Enabled,Default Pipe,1,41.9
82,PI1016008,53.00,PE,Enabled,Default Pipe,1,31.5
83,PI1016009,49.86,PE,Enabled,Default Pipe,1,13.7
84,PI1016010,49.98,PE,Enabled,Default Pipe,1,45.9
85,PI1016011,49.51,PE,Enabled,Default Pipe,1,86.3
86,PI1016012,51.68,PE,Enabled,Default Pipe,1,137.3
87,PI1016013,52.81,PE,Enabled,Default Pipe,1,52.5
88,PI1016014,51.99,PE,Enabled,Default Pipe,1,9.0
89,PI1016015,52.98,PE,Enabled,Default Pipe,1,173.2
90,PI1016016,52.51,PE,Enabled,Default Pipe,1,4.4
91,PI1016017,52.51,PE,Enabled,Default Pipe,1,8.6
92,PI1016018,48.35,PE,Enabled,Default Pipe,1,4.8
