SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,0115678180,39.05,PE,Enabled,Default Pipe,2,101.2
2,0607525283,38.87,PV,Enabled,Default Pipe,2,48.8
3,0115678150,38.95,SI,Enabled,Default Pipe,2,69.4
4,PI0000010000001,39.69,SI,Enabled,Default Pipe,2,141.0
5,0115678162,38.77,PE,Enabled,Default Pipe,2,17.0
6,PI0000020000002,38.89,SI,Enabled,Default Pipe,2,26.1
7,0607777082,38.91,ST,Enabled,Default Pipe,2,23.1
8,0606970209,38.99,PE,Enabled,Default Pipe,2,7.6
9,0115678163,38.97,PE,Enabled,Default Pipe,2,97.7
10,0115678179,38.99,PE,Enabled,Default Pipe,2,2.7
11,PI0000030000003,41.91,SI,Enabled,Default Pipe,2,248.6
12,0607533336,40.51,PV,Enabled,Default Pipe,2,27.6
13,PI0000040000004,38.87,PE,Enabled,Default Pipe,2,75.0
14,0115678188,38.82,ST,Enabled,Default Pipe,2,34.6
15,0115678558,41.82,SI,Enabled,Default Pipe,2,3.1
16,PI0000050000005,38.78,PE,Enabled,Default Pipe,2,24.0
17,0115678186,38.84,ST,Enabled,Default Pipe,2,76.6
18,PI0000060000006,41.98,SI,Enabled,Default Pipe,2,16.6
19,0607309851,41.97,SI,Enabled,Default Pipe,2,31.9
20,0115678540,42.75,ST,Enabled,Default Pipe,2,53.1
21,0115678570,38.20,PE,Enabled,Default Pipe,2,16.5
22,0115678562,38.22,PE,Enabled,Default Pipe,2,23.3
23,0115678564,38.24,PE,Enabled,Default Pipe,2,30.1
24,0607777081,40.21,ST,Enabled,Default Pipe,2,36.0
25,0115678568,38.20,PE,Enabled,Default Pipe,2,7.0
26,0606970208,38.17,PE,Enabled,Default Pipe,2,45.6
27,0606970206,38.20,PE,Enabled,Default Pipe,2,6.6
28,0115678560,38.20,SI,Enabled,Default Pipe,2,2.9
29,PI0000070000007,38.24,PE,Enabled,Default Pipe,2,25.0
30,0115678569,38.24,PE,Enabled,Default Pipe,2,11.4
31,0115678573,41.81,PE,Enabled,Default Pipe,2,18.4
32,0607777080,40.05,ST,Enabled,Default Pipe,2,39.7
33,PI0000080000008,43.30,ST,Enabled,Default Pipe,2,50.4
34,0607771508,43.05,ST,Enabled,Default Pipe,2,20.2
35,0115678559,38.89,SI,Enabled,Default Pipe,2,17.2
36,PI0000090000009,38.78,PE,Enabled,Default Pipe,2,108.7
37,0115678184,38.70,ST,Enabled,Default Pipe,2,21.9
38,0606970210,41.78,PE,Enabled,Default Pipe,2,14.0
39,0606970203,38.20,PE,Enabled,Default Pipe,2,1.3
40,0607309849,41.81,PE,Enabled,Default Pipe,2,42.4
41,0115678542,42.28,SI,Enabled,Default Pipe,2,138.2
42,0115678563,38.20,PE,Enabled,Default Pipe,2,19.9
43,PI0000100000010,38.79,PE,Enabled,Default Pipe,2,18.0
44,0115678187,38.78,ST,Enabled,Default Pipe,2,32.1
45,0115678572,41.81,PE,Enabled,Default Pipe,2,39.0
46,PI0000110000011,38.74,PE,Enabled,Default Pipe,2,21.8
47,0115678185,38.77,ST,Enabled,Default Pipe,2,29.5
48,PI0000120000012,39.54,SI,Enabled,Default Pipe,2,86.8
49,0607771509,39.03,ST,Enabled,Default Pipe,2,10.8
50,PI0000130000013,41.81,PE,Enabled,Default Pipe,2,13.9
51,0606970211,41.81,PE,Enabled,Default Pipe,2,6.2
52,0115678566,38.24,PE,Enabled,Default Pipe,2,17.6
53,PI0000140000014,41.79,SI,Enabled,Default Pipe,2,3.3
54,0115678571,41.78,PE,Enabled,Default Pipe,2,70.6
55,0632021545,42.15,SI,Enabled,Default Pipe,2,149.2
56,PI0000150000015,41.90,SI,Enabled,Default Pipe,2,41.9
57,0650464220,41.82,SI,Enabled,Default Pipe,2,2.3
58,0604235458,42.22,PE,Enabled,Default Pipe,2,12.0
59,0115678529,40.45,PE,Enabled,Default Pipe,2,27.3
60,0115678161,40.99,SI,Enabled,Default Pipe,2,91.3
61,0622847929,41.16,PE,Enabled,Default Pipe,2,110.2
62,0606985346,40.61,PE,Enabled,Default Pipe,2,2.2
63,0115678530,40.50,PE,Enabled,Default Pipe,2,29.7
64,PI0000160000016,43.55,ST,Enabled,Default Pipe,2,15.7
65,0115678543,43.78,ST,Enabled,Default Pipe,2,19.2
66,0622847932,41.16,PE,Enabled,Default Pipe,2,3.9
67,0115678507,41.13,SI,Enabled,Default Pipe,2,24.5
68,0630360986,40.62,CI,Enabled,Default Pipe,2,1.4
69,0622847927,41.44,PE,Enabled,Default Pipe,2,3.1
70,0606972746,40.50,PE,Enabled,Default Pipe,2,25.3
71,0604489337,41.22,PE,Enabled,Default Pipe,2,45.1
72,0606972750,40.74,PE,Enabled,Default Pipe,2,4.9
73,0622847924,41.43,PE,Enabled,Default Pipe,2,11.0
74,0115678174,40.58,PE,Enabled,Default Pipe,2,36.4
75,PI0000170000017,40.62,CI,Enabled,Default Pipe,2,111.3
76,0632512592,40.61,PE,Enabled,Default Pipe,2,1.0
77,PI0000180000018,40.48,PE,Enabled,Default Pipe,2,34.8
78,0607309853,40.50,PE,Enabled,Default Pipe,2,4.8
79,0606985344,40.61,PE,Enabled,Default Pipe,2,2.3
80,PI0000190000019,41.16,PE,Enabled,Default Pipe,2,7.1
81,0605270405,41.16,PE,Enabled,Default Pipe,2,49.7
82,0607777083,43.42,ST,Enabled,Default Pipe,2,30.2
83,0605896479,41.50,PE,Enabled,Default Pipe,2,4.9
84,PI0000200000020,41.10,SI,Enabled,Default Pipe,2,26.0
85,0606972744,41.11,PE,Enabled,Default Pipe,2,19.3
86,0115678171,40.58,PE,Enabled,Default Pipe,2,11.6
87,0624768945,41.57,PE,Enabled,Default Pipe,2,44.3
88,0606972748,40.75,PE,Enabled,Default Pipe,2,5.0
89,0624768944,41.57,PE,Enabled,Default Pipe,2,10.5
90,0606970212,41.30,PE,Enabled,Default Pipe,2,5.2
91,0115678159,40.91,SI,Enabled,Default Pipe,2,15.2
92,0605270403,42.27,PE,Enabled,Default Pipe,2,10.3
93,PI0000210000021,41.83,SI,Enabled,Default Pipe,2,1.0
94,0632021546,41.76,PE,Enabled,Default Pipe,2,57.5
95,0115678531,40.54,PE,Enabled,Default Pipe,2,59.2
96,PI0000220000022,41.68,PE,Enabled,Default Pipe,2,3.7
97,0632187883,41.68,PE,Enabled,Default Pipe,2,3.0
98,PI0000230000023,41.59,PE,Enabled,Default Pipe,2,53.3
99,0632592323,41.65,PE,Enabled,Default Pipe,2,33.6
100,0115678151,40.83,SI,Enabled,Default Pipe,2,127.6
101,0650243977,40.50,PE,Enabled,Default Pipe,2,132.5
102,0650431221,40.54,PE,Enabled,Default Pipe,2,26.2
103,0632021544,41.50,SI,Enabled,Default Pipe,2,1.7
104,0650431211,40.50,PE,Enabled,Default Pipe,2,17.4
105,0620707388,41.48,PE,Enabled,Default Pipe,2,22.2
106,0650044243,41.32,PE,Enabled,Default Pipe,2,50.7
107,0115678557,41.30,PE,Enabled,Default Pipe,2,2.1
108,0604552303,40.60,PE,Enabled,Default Pipe,2,124.0
109,0115678146,43.31,CI,Enabled,Default Pipe,2,5.5
110,0115678142,41.26,CI,Enabled,Default Pipe,2,13.5
111,PI0000240000024,41.69,PE,Enabled,Default Pipe,2,2.1
112,0632187884,41.69,PE,Enabled,Default Pipe,2,3.0
113,PI0000250000025,41.48,SI,Enabled,Default Pipe,2,4.7
114,0624507397,41.53,PE,Enabled,Default Pipe,2,135.8
115,0115678554,41.44,SI,Enabled,Default Pipe,2,63.3
116,0650305110,40.79,PE,Enabled,Default Pipe,2,64.3
117,PI0000260000026,40.62,PE,Enabled,Default Pipe,2,47.3
118,0650431218,40.62,PE,Enabled,Default Pipe,2,32.9
119,0115678544,41.23,SI,Enabled,Default Pipe,2,77.7
120,0650001320,40.54,PE,Enabled,Default Pipe,2,4.1
121,0114244392,40.27,PE,Enabled,Default Pipe,2,63.8
122,0114244316,40.36,SI,Enabled,Default Pipe,2,12.8
123,0114244786,40.24,CI,Enabled,Default Pipe,2,11.8
124,PI0000270000027,40.28,SI,Enabled,Default Pipe,2,63.9
125,0114244370,40.30,SI,Enabled,Default Pipe,2,57.6
126,0114244390,40.26,PE,Enabled,Default Pipe,2,20.7
127,0607309852,40.48,PE,Enabled,Default Pipe,2,15.2
128,0115678157,40.29,CI,Enabled,Default Pipe,2,24.7
129,0114244383,40.31,DI,Enabled,Default Pipe,2,37.8
130,0114244760,40.35,CI,Enabled,Default Pipe,2,51.8
131,0114244919,39.05,PE,Enabled,Default Pipe,2,12.6
132,PI0000280000028,40.30,SI,Enabled,Default Pipe,2,59.3
133,0114244373,40.30,SI,Enabled,Default Pipe,2,82.7
134,0114244915,39.47,PE,Enabled,Default Pipe,2,19.4
135,0115824974,40.81,PE,Enabled,Default Pipe,2,94.0
136,0114244402,40.50,PE,Enabled,Default Pipe,2,52.4
137,0114244767,40.36,CI,Enabled,Default Pipe,2,70.3
138,PI0000290000029,40.31,CI,Enabled,Default Pipe,2,27.2
139,0115678152,40.28,CI,Enabled,Default Pipe,2,41.5
