SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,25.78,PE,Enabled,Default Pipe,1,13.4
2,PI000001,25.93,PE,Enabled,Default Pipe,1,31.0
3,PI000002,26.10,PE,Enabled,Default Pipe,1,112.1
4,PI000003,25.99,PE,Enabled,Default Pipe,1,6.1
5,PI000004,25.75,PE,Enabled,Default Pipe,1,19.7
6,PI000005,25.83,PE,Enabled,Default Pipe,1,18.5
7,PI000006,25.73,PE,Enabled,Default Pipe,1,14.3
8,PI000007,25.72,PE,Enabled,Default Pipe,1,7.8
9,PI000008,26.22,PE,Enabled,Replacement Pipe,1,4.3
10,PI000009,25.87,PE,Enabled,Default Pipe,1,17.1
11,PI000010,25.87,PE,Enabled,Default Pipe,1,18.1
12,PI000011,25.88,PE,Enabled,Default Pipe,1,1.4
13,PI000012,25.87,PE,Enabled,Default Pipe,1,19.9
14,PI000013,25.78,PE,Enabled,Default Pipe,1,8.1
15,PI000014,25.81,PE,Enabled,Default Pipe,1,20.0
16,PI000015,25.87,PE,Enabled,Default Pipe,1,3.6
17,PI000016,25.87,PE,Enabled,Default Pipe,1,21.3
18,PI000017,26.67,PE,Enabled,Replacement Pipe,1,45.5
19,PI000018,26.67,PE,Enabled,Replacement Pipe,1,6.5
20,PI000019,26.35,PE,Enabled,Replacement Pipe,1,56.9
21,PI000020,26.21,PE,Enabled,Replacement Pipe,1,278.7
22,PI000021,26.42,PE,Enabled,Replacement Pipe,1,107.4
23,PI000022,26.20,PE,Enabled,Replacement Pipe,1,141.7
24,PI000023,26.41,PE,Enabled,Replacement Pipe,1,69.1
25,PI000024,26.52,PE,Enabled,Replacement Pipe,1,53.5
26,PI000025,26.59,PE,Enabled,Replacement Pipe,1,8.0
27,PI000026,26.42,PE,Enabled,Replacement Pipe,1,51.4
28,PI000027,27.44,PE,Enabled,Replacement Pipe,1,89.2
29,PI000028,26.53,PE,Enabled,Replacement Pipe,1,37.4
30,PI000029,26.77,PE,Enabled,Replacement Pipe,1,44.3
31,PI000030,28.04,PE,Enabled,Replacement Pipe,1,68.6
32,PI000031,28.12,PE,Enabled,Replacement Pipe,1,1.8
33,PI000032,27.54,PE,Enabled,Replacement Pipe,1,97.6
34,PI000033,29.69,PE,Enabled,Replacement Pipe,1,3.2
35,PI000034,29.73,PE,Enabled,Default Pipe,1,12.6
36,PI000035,27.09,PE,Enabled,Replacement Pipe,1,109.5
37,PI000036,27.36,PE,Enabled,Replacement Pipe,1,80.9
38,PI000037,29.11,PE,Enabled,Replacement Pipe,1,17.1
39,PI000038,28.01,PE,Enabled,Replacement Pipe,1,7.8
40,PI000039,29.99,PE,Enabled,Default Pipe,1,3.1
41,PI000040,28.18,PE,Enabled,Replacement Pipe,1,38.3
42,PI000041,28.35,PE,Enabled,Replacement Pipe,1,3.9
43,PI000042,25.50,PE,Enabled,Default Pipe,1,28.2
44,PI000043,25.72,PE,Enabled,Replacement Pipe,1,128.7
45,PI000044,25.95,PE,Enabled,Replacement Pipe,1,182.6
46,PI000045,25.28,PE,Enabled,Default Pipe,1,48.7
47,PI000046,24.84,PE,Enabled,Default Pipe,1,59.0
48,PI002630,26.65,PE,Enabled,Replacement Pipe,1,36.5
49,PI002631,25.96,PE,Enabled,Replacement Pipe,1,73.9
50,PI008678,29.87,PE,Enabled,Default Pipe,1,50.6
51,PI008679,28.90,PE,Enabled,Replacement Pipe,1,65.2
52,PI008680,29.72,PE,Enabled,Replacement Pipe,1,14.2

Model State: Solved

Generated on 12/03/2015 12:10:44

SynerGEE Gas 4.7.1: ASP
