SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI001887,35.74,PE,Enabled,Default Pipe,2,162.4
2,PI001888,36.64,PE,Enabled,Default Pipe,2,7.4
3,PI001889,38.34,SI,Enabled,Default Pipe,2,1.4
4,PI001890,38.43,SI,Enabled,Default Pipe,2,1.2
5,PI001891,37.82,SI,Enabled,Default Pipe,2,1.0
6,PI001892,34.06,PE,Enabled,Default Pipe,2,12.6
7,PI001893,34.09,PE,Enabled,Default Pipe,2,15.4
8,PI001895,35.06,SI,Enabled,Default Pipe,2,9.0
9,PI001896,33.09,SI,Enabled,Default Pipe,2,26.9
10,PI001897,37.80,SI,Enabled,Default Pipe,2,6.7
11,PI001898,37.63,SI,Enabled,Default Pipe,2,70.5
12,PI001899,37.89,SI,Enabled,Default Pipe,2,3.7
13,PI001900,28.60,PE,Enabled,Default Pipe,2,67.3
14,PI001901,32.78,PE,Enabled,Default Pipe,2,2.6
15,PI001902,28.52,PE,Enabled,Default Pipe,2,62.0
16,PI001903,26.75,PE,Enabled,Default Pipe,2,1.7
17,PI001904,25.81,PE,Enabled,Default Pipe,2,99.7
18,PI001905,31.56,PE,Enabled,Default Pipe,2,3.0
19,PI001906,27.34,PE,Enabled,Default Pipe,2,15.4
20,PI001907,32.19,PE,Enabled,Default Pipe,2,47.8
21,PI001908,26.12,PE,Enabled,Default Pipe,2,1.0
22,PI001909,26.17,PE,Enabled,Default Pipe,2,1.0
23,PI001910,26.34,PE,Enabled,Default Pipe,2,97.4
24,PI001911,29.19,PE,Enabled,Default Pipe,2,23.4
25,PI001912,30.94,CI,Enabled,Default Pipe,2,108.3
26,PI001913,27.05,PE,Enabled,Default Pipe,2,112.8
27,PI001914,28.48,PE,Enabled,Default Pipe,2,3.6
28,PI001915,30.75,PE,Enabled,Default Pipe,2,90.6
29,PI001916,30.90,PE,Enabled,Default Pipe,2,91.2
30,PI001917,31.58,SI,Enabled,Default Pipe,2,1.4
31,PI001918,30.75,PE,Enabled,Default Pipe,2,11.6
32,PI001919,30.75,PE,Enabled,Default Pipe,2,31.6
33,PI001920,31.24,PE,Enabled,Default Pipe,2,10.1
34,PI001921,23.87,PE,Enabled,Default Pipe,2,159.8
35,PI001922,23.96,PE,Enabled,Default Pipe,2,10.4
36,PI001923,24.74,PE,Enabled,Default Pipe,2,171.0
37,PI001924,25.00,PE,Enabled,Default Pipe,2,83.4
38,PI001925,25.88,PE,Enabled,Default Pipe,2,35.9
39,PI001926,25.81,PE,Enabled,Default Pipe,2,56.2
40,PI001927,25.95,PE,Enabled,Default Pipe,2,44.3
41,PI001928,25.82,PE,Enabled,Default Pipe,2,5.4
42,PI001929,25.33,PE,Enabled,Default Pipe,2,18.9
43,PI001930,24.86,PE,Enabled,Default Pipe,2,33.2
44,PI001931,24.13,PE,Enabled,Default Pipe,2,19.5
