SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,35.81,PE,Enabled,Default Pipe,1,168.3
2,PI000001,35.70,PE,Enabled,Default Pipe,1,54.4
3,PI000002,35.60,PE,Enabled,Default Pipe,1,164.9
4,PI000003,36.19,PE,Enabled,Default Pipe,1,165.9
5,PI000004,37.35,PE,Enabled,Default Pipe,1,328.0
6,PI000005,37.94,PE,Enabled,Default Pipe,1,72.9
7,PI000006,36.51,PE,Enabled,Default Pipe,1,223.2
8,PI000007,35.37,PE,Enabled,Default Pipe,1,239.7
9,PI000008,36.08,PE,Enabled,Default Pipe,1,102.5
10,PI000009,34.75,PE,Enabled,Default Pipe,1,21.7
11,PI000010,37.45,PE,Enabled,Default Pipe,1,242.1
12,PI000011,37.58,PE,Enabled,Default Pipe,1,95.3
13,PI000012,36.31,PE,Enabled,Default Pipe,1,107.9
14,PI000013,36.80,PE,Enabled,Default Pipe,1,12.4
15,PI000014,37.34,PE,Enabled,Default Pipe,1,98.2
16,PI000015,36.62,PE,Enabled,Default Pipe,1,74.8
17,PI000016,36.16,PE,Enabled,Default Pipe,1,40.3
18,PI000017,36.09,PE,Enabled,Default Pipe,1,33.0
19,PI000018,37.00,PE,Enabled,Default Pipe,1,162.0
20,PI000019,38.34,PE,Enabled,Default Pipe,1,112.8
21,PI000020,39.20,PE,Enabled,Default Pipe,1,264.1
22,PI000021,39.82,PE,Enabled,Default Pipe,1,79.2
23,PI000022,39.55,PE,Enabled,Default Pipe,1,38.9
24,PI000023,39.37,PE,Enabled,Default Pipe,1,4.9
25,PI000024,39.40,PE,Enabled,Default Pipe,1,12.1
26,PI000025,39.48,PE,Enabled,Default Pipe,1,5.9
27,PI000026,39.27,PE,Enabled,Default Pipe,1,85.5
28,PI000027,39.25,PE,Enabled,Default Pipe,1,44.1
29,PI000028,39.53,PE,Enabled,Default Pipe,1,85.3
30,PI000029,39.03,PE,Enabled,Default Pipe,1,4.7
31,PI000030,39.04,PE,Enabled,Default Pipe,1,5.3
32,PI000031,39.15,PE,Enabled,Default Pipe,1,195.2
33,PI000032,38.84,PE,Enabled,Default Pipe,1,39.7
34,PI000033,38.96,PE,Enabled,Default Pipe,1,56.6
35,PI000034,37.42,PE,Enabled,Default Pipe,1,49.1
36,PI000035,37.42,PE,Enabled,Default Pipe,1,30.9
37,PI000036,37.56,PE,Enabled,Default Pipe,1,27.4
38,PI000037,37.52,PE,Enabled,Default Pipe,1,37.4
39,PI000038,38.03,PE,Enabled,Default Pipe,1,19.9
40,PI000039,37.80,PE,Enabled,Default Pipe,1,101.7
41,PI000040,40.02,PE,Enabled,Default Pipe,1,19.1
42,PI000041,39.52,PE,Enabled,Default Pipe,1,13.5
43,PI000042,40.03,PE,Enabled,Default Pipe,1,36.7
44,PI000043,38.95,PE,Enabled,Default Pipe,1,15.1
45,PI000044,39.65,PE,Enabled,Default Pipe,1,40.4
46,PI000045,38.57,PE,Enabled,Default Pipe,1,152.9
47,PI000046,39.41,PE,Enabled,Default Pipe,1,47.0
48,PI000047,38.92,PE,Enabled,Default Pipe,1,131.0
49,PI000048,31.62,PE,Enabled,Default Pipe,1,19.9
50,PI000049,31.38,PE,Enabled,Default Pipe,1,204.0
51,PI000050,32.17,PE,Enabled,Default Pipe,1,25.3
52,PI000051,32.78,PE,Enabled,Default Pipe,1,202.9
53,PI000052,31.95,PE,Enabled,Default Pipe,1,106.5
54,PI000053,32.33,PE,Enabled,Default Pipe,1,47.6
55,PI000054,33.13,PE,Enabled,Default Pipe,1,46.9
56,PI000055,33.13,PE,Enabled,Default Pipe,1,36.3
57,PI000056,31.49,PE,Enabled,Default Pipe,1,45.4
58,PI000057,32.65,PE,Enabled,Default Pipe,1,59.9
59,PI000058,32.93,PE,Enabled,Default Pipe,1,66.8
60,PI000059,32.37,PE,Enabled,Default Pipe,1,2.9
61,PI000060,32.23,PE,Enabled,Default Pipe,1,38.8
62,PI000061,31.97,PE,Enabled,Default Pipe,1,70.9
