SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,29.68,PE,Enabled,Default Pipe,6,140.5
2,PI000002,29.68,PE,Enabled,Default Pipe,6,73.1
3,PI000003,29.68,PE,Enabled,Default Pipe,6,7.6
4,PI000004,29.68,PE,Enabled,Default Pipe,6,17.9
5,PI000005,29.54,CI,Enabled,Default Pipe,1,86.4
6,PI000006,29.68,PE,Enabled,Default Pipe,6,5.2
7,PI000007,29.68,PE,Enabled,Default Pipe,6,9.5
8,PI000008,29.81,PE,Enabled,Default Pipe,1,59.2
9,PI000009,29.68,PE,Enabled,Default Pipe,6,47.9
10,PI000011,28.41,PE,Enabled,Default Pipe,1,9.5
11,PI000012,28.34,SI,Enabled,Default Pipe,1,9.4
12,PI000013,28.67,SI,Enabled,Default Pipe,1,72.0
13,PI000014,29.32,SI,Enabled,Default Pipe,1,89.8
14,PI000015,28.96,SI,Enabled,Default Pipe,1,60.2
15,PI000016,28.24,SI,Enabled,Default Pipe,1,235.6
16,PI000017,28.87,SI,Enabled,Default Pipe,1,3.2
17,PI000018,28.50,SI,Enabled,Default Pipe,1,30.1
18,PI000019,28.41,DI,Enabled,Default Pipe,1,34.4
19,PI000020,28.66,SI,Enabled,Default Pipe,1,83.0
20,PI000021,29.10,SI,Enabled,Default Pipe,1,90.4
21,PI000022,28.47,CI,Enabled,Default Pipe,1,3.2
22,PI000023,28.47,SI,Enabled,Default Pipe,1,180.7
23,PI000024,28.47,SI,Enabled,Default Pipe,1,15.7
24,PI000025,29.12,PE,Enabled,Replacement Pipe,1,38.5
25,PI000026,28.17,PE,Enabled,Default Pipe,1,38.6
26,PI000027,28.17,PE,Enabled,Default Pipe,1,30.0
27,PI000028,28.06,PE,Enabled,Default Pipe,1,10.1
28,PI000029,28.11,PE,Enabled,Default Pipe,1,68.5
29,PI000030,28.14,CI,Enabled,Default Pipe,1,56.5
30,PI000031,28.09,CI,Enabled,Default Pipe,1,34.9
31,PI000032,28.07,PE,Enabled,Default Pipe,1,78.7
32,PI000033,28.17,CI,Enabled,Default Pipe,1,23.9
33,PI000034,28.17,PE,Enabled,Default Pipe,1,31.8
34,PI000035,28.27,SI,Enabled,Default Pipe,1,12.8
35,PI000036,28.32,SI,Enabled,Default Pipe,1,170.6
36,PI000037,28.17,PE,Enabled,Default Pipe,1,35.3
37,PI000038,28.28,CI,Enabled,Default Pipe,1,40.5
38,PI000039,28.22,CI,Enabled,Default Pipe,1,85.1
39,PI000041,24.64,PE,Enabled,Default Pipe,1,84.4
40,PI000042,27.54,PE,Enabled,Default Pipe,1,80.8
41,PI000043,27.75,PE,Enabled,Default Pipe,1,81.7
42,PI000044,26.75,PE,Enabled,Default Pipe,1,16.7
43,PI000045,29.69,SI,Enabled,Default Pipe,1,13.0
44,PI000046,27.70,CI,Enabled,Default Pipe,1,53.1
45,PI000047,27.94,CI,Enabled,Default Pipe,1,67.4
46,PI000048,26.81,PE,Enabled,Default Pipe,1,19.6
47,PI000049,29.10,PE,Enabled,Default Pipe,1,2.2
48,PI000050,26.00,PE,Enabled,Default Pipe,1,3.5
49,PI000051,26.11,PE,Enabled,Default Pipe,1,45.2
50,PI000052,26.15,SI,Enabled,Default Pipe,1,7.4
51,PI000053,26.03,PE,Enabled,Default Pipe,1,0.9
52,PI000054,24.87,PE,Enabled,Default Pipe,1,39.2
53,PI000055,29.29,PE,Enabled,Replacement Pipe,1,53.4
54,PI000056,25.97,PE,Enabled,Default Pipe,1,13.3
55,PI000057,24.85,PE,Enabled,Default Pipe,1,146.0
56,PI000058,25.99,PE,Enabled,Default Pipe,1,47.0
57,PI000059,24.85,PE,Enabled,Default Pipe,1,70.0
58,PI000060,29.44,SI,Enabled,Default Pipe,1,1.4
59,PI000061,28.80,PE,Enabled,Default Pipe,1,57.7
60,PI000062,27.89,CI,Enabled,Default Pipe,1,1.3
61,PI000063,25.95,PE,Enabled,Default Pipe,1,1.7
62,PI000064,27.02,CI,Enabled,Default Pipe,1,46.4
63,PI000065,27.76,CI,Enabled,Default Pipe,1,1.7
64,PI000066,27.19,CI,Enabled,Default Pipe,1,61.5
65,PI000067,26.51,PE,Enabled,Default Pipe,1,97.4
