SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000006,38.65,PE,Enabled,Default Pipe,3,0.3
2,PI000007,38.55,PE,Enabled,Default Pipe,3,0.3
3,PI000023,39.18,PE,Enabled,Default Pipe,3,0.3
4,PI000063,25.68,SI,Enabled,Default Pipe,2,0.3
5,PI000083,28.63,CI,Enabled,Default Pipe,2,179.8
6,PI000084,26.65,DI,Enabled,Default Pipe,2,286.1
7,PI000085,26.68,DI,Enabled,Default Pipe,2,133.4
8,PI000086,27.50,CI,Enabled,Default Pipe,1,129.9
9,PI000087,27.24,PE,Enabled,Default Pipe,1,68.7
10,PI000088,26.75,SI,Enabled,Default Pipe,1,6.2
11,PI000089,27.13,CI,Enabled,Default Pipe,1,30.2
12,PI000090,37.32,PE,Enabled,Default Pipe,1,95.5
13,PI000091,37.44,PE,Enabled,Default Pipe,1,10.6
14,PI000092,37.44,PE,Enabled,Default Pipe,1,14.5
15,PI000093,27.08,SI,Enabled,Default Pipe,1,45.8
16,PI000094,27.64,CI,Enabled,Default Pipe,1,140.0
17,PI000095,27.47,SI,Enabled,Default Pipe,1,6.9
18,PI000096,28.32,SI,Enabled,Default Pipe,1,31.3
19,PI000097,29.89,SI,Enabled,Default Pipe,1,34.6
20,PI000098,27.03,SI,Enabled,Default Pipe,1,115.1
21,PI000099,27.40,CI,Enabled,Default Pipe,1,187.1
22,PI000100,27.34,CI,Enabled,Default Pipe,1,50.5
23,PI000101,27.11,SI,Enabled,Default Pipe,1,27.5
24,PI000102,27.07,CI,Enabled,Default Pipe,1,7.4
25,PI000103,27.07,CI,Enabled,Default Pipe,1,3.5
26,PI000104,27.03,PE,Enabled,Default Pipe,1,17.5
27,PI000105,27.01,PE,Enabled,Default Pipe,1,12.1
28,PI000106,27.02,PE,Enabled,Default Pipe,1,2.8
29,PI000107,27.03,PE,Enabled,Default Pipe,1,55.8
30,PI000108,27.33,CI,Enabled,Default Pipe,1,31.1
31,PI000109,27.29,PE,Enabled,Default Pipe,1,5.5
32,PI000110,27.74,CI,Enabled,Default Pipe,1,298.0
33,PI000111,28.81,CI,Enabled,Default Pipe,1,75.9
34,PI000112,30.63,CI,Enabled,Default Pipe,1,74.6
35,PI000113,29.97,PE,Enabled,Default Pipe,1,118.3
36,PI000114,27.49,SI,Enabled,Default Pipe,1,138.0
37,PI000115,27.25,SI,Enabled,Default Pipe,1,51.0
38,PI000116,32.61,CI,Enabled,Default Pipe,1,111.5
39,PI000117,31.64,PE,Enabled,Default Pipe,1,89.1
40,PI000118,27.31,CI,Enabled,Default Pipe,1,184.9
41,PI000119,27.27,PE,Enabled,Default Pipe,1,98.4
42,PI000120,27.86,SI,Enabled,Default Pipe,1,99.9
43,PI000121,27.84,SI,Enabled,Default Pipe,1,6.8
44,PI000122,27.96,SI,Enabled,Default Pipe,1,120.2
45,PI000123,28.04,SI,Enabled,Default Pipe,1,93.4
46,PI000124,28.19,SI,Enabled,Default Pipe,1,24.6
47,PI000125,28.19,SI,Enabled,Default Pipe,1,7.0
48,PI000126,27.86,SI,Enabled,Default Pipe,1,67.8
49,PI000127,33.72,PE,Enabled,Default Pipe,1,3.3
50,PI000128,33.72,PE,Enabled,Default Pipe,1,10.0
51,PI000129,28.07,SI,Enabled,Default Pipe,1,56.2
52,PI000130,28.12,SI,Enabled,Default Pipe,1,79.7
53,PI000131,33.73,CI,Enabled,Default Pipe,1,4.0
54,PI000132,33.93,CI,Enabled,Default Pipe,1,37.3
55,PI000133,33.72,PE,Enabled,Default Pipe,1,12.4
56,PI000134,34.13,PE,Enabled,Default Pipe,1,30.6
57,PI000135,34.13,PE,Enabled,Default Pipe,1,15.6
58,PI000136,27.21,CI,Enabled,Default Pipe,1,93.9
59,PI000137,27.03,PE,Enabled,Default Pipe,1,4.0
60,PI000138,28.56,SI,Enabled,Default Pipe,1,23.7
61,PI000139,30.05,SI,Enabled,Default Pipe,1,149.3
62,PI000140,30.04,SI,Enabled,Default Pipe,1,31.4
63,PI000141,29.71,SI,Enabled,Default Pipe,1,39.8
64,PI000142,29.61,SI,Enabled,Default Pipe,1,0.4
