SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,35.83,PE,Enabled,Replacement Pipe,1,120.6
2,PI000002,35.57,PE,Enabled,Replacement Pipe,1,104.1
3,PI000003,35.04,PE,Enabled,Replacement Pipe,1,100.0
4,PI000004,30.71,PE,Enabled,Default Pipe,2,9.8
5,PI000005,30.69,PE,Enabled,Default Pipe,2,31.0
6,PI000006,30.73,PE,Enabled,Default Pipe,2,114.2
7,PI000007,30.73,PE,Enabled,Default Pipe,2,60.8
8,PI000008,30.75,PE,Enabled,Default Pipe,2,16.8
9,PI000009,30.99,PE,Enabled,Default Pipe,2,5.8
10,PI000010,30.80,PE,Enabled,Default Pipe,2,78.5
11,PI000011,30.83,PE,Enabled,Default Pipe,2,27.3
12,PI000012,30.87,PE,Enabled,Default Pipe,2,26.3
13,PI000013,31.00,PE,Enabled,Default Pipe,2,4.1
14,PI000014,30.93,PE,Enabled,Default Pipe,2,35.7
15,PI000015,30.98,PE,Enabled,Default Pipe,2,9.5
16,PI000016,30.98,PE,Enabled,Default Pipe,2,46.6
17,PI000018,36.14,PE,Enabled,Replacement Pipe,1,28.0
18,PI000019,34.30,PE,Enabled,Replacement Pipe,1,2.5
19,PI000020,34.30,PE,Enabled,Replacement Pipe,1,9.9
20,PI000021,34.09,PE,Enabled,Default Pipe,1,48.6
21,PI000022,34.30,PE,Enabled,Replacement Pipe,1,70.4
22,PI000023,34.43,PE,Enabled,Replacement Pipe,1,55.6
23,PI000024,34.77,PE,Enabled,Replacement Pipe,1,56.9
24,PI000025,36.04,PE,Enabled,Replacement Pipe,1,7.5
25,PI000026,34.99,PE,Enabled,Replacement Pipe,1,8.1
26,PI000027,37.30,PE,Enabled,Default Pipe,1,252.8
27,PI000028,37.75,PE,Enabled,Replacement Pipe,1,6.2
28,PI000029,37.74,PE,Enabled,Replacement Pipe,1,8.9
29,PI000030,35.04,PE,Enabled,Replacement Pipe,1,87.9
30,PI000031,35.24,PE,Enabled,Replacement Pipe,1,8.7
31,PI000032,37.55,PE,Enabled,Replacement Pipe,1,14.5
32,PI000033,37.77,PE,Enabled,Replacement Pipe,1,21.2
33,PI000034,35.64,PE,Enabled,Replacement Pipe,1,89.5
34,PI000035,36.15,PE,Enabled,Replacement Pipe,1,19.6
35,PI000036,37.81,PE,Enabled,Replacement Pipe,1,10.5
36,PI000037,36.81,PE,Enabled,Replacement Pipe,1,61.1
37,PI000038,37.91,PE,Enabled,Replacement Pipe,1,26.4
38,PI000039,30.96,PE,Enabled,Default Pipe,1,51.8
39,PI000040,30.86,PE,Enabled,Default Pipe,1,47.6
40,PI000041,30.84,PE,Enabled,Default Pipe,1,53.7
41,PI000042,33.40,PE,Enabled,Replacement Pipe,1,4.4
42,PI000043,33.04,PE,Enabled,Default Pipe,1,56.9
43,PI000044,32.97,PE,Enabled,Default Pipe,1,31.7
44,PI000045,33.00,PE,Enabled,Default Pipe,1,3.6
45,PI000046,32.99,PE,Enabled,Default Pipe,1,16.5
46,PI000047,33.13,PE,Enabled,Default Pipe,1,28.1
47,PI000048,33.16,PE,Enabled,Default Pipe,1,21.6
48,PI000049,32.63,PE,Enabled,Default Pipe,1,10.4
49,PI000050,32.64,PE,Enabled,Default Pipe,1,8.8
50,PI000051,33.18,PE,Enabled,Default Pipe,1,21.6
51,PI000052,33.31,PE,Enabled,Default Pipe,1,117.1
52,PI000053,34.28,PE,Enabled,Replacement Pipe,1,24.7
53,PI000054,33.76,PE,Enabled,Replacement Pipe,1,19.7
54,PI000055,33.35,PE,Enabled,Default Pipe,1,61.5
55,PI000056,33.47,PE,Enabled,Replacement Pipe,1,11.6
56,PI000057,33.42,PE,Enabled,Replacement Pipe,1,10.8
57,PI000058,33.40,PE,Enabled,Default Pipe,1,37.2
58,PI000059,32.37,PE,Enabled,Default Pipe,1,19.4
59,PI000060,31.30,PE,Enabled,Default Pipe,1,3.6
60,PI000061,31.19,PE,Enabled,Default Pipe,1,56.1
61,PI000062,29.90,PE,Enabled,Default Pipe,1,134.2
62,PI000063,30.87,PE,Enabled,Default Pipe,1,47.1
63,PI000064,30.48,PE,Enabled,Default Pipe,1,1.5
64,PI000065,35.01,PE,Enabled,Replacement Pipe,1,6.1
65,PI000066,35.13,PE,Enabled,Replacement Pipe,1,43.8
66,PI000067,29.50,PE,Enabled,Default Pipe,3,141.0
67,PI000068,29.34,PE,Enabled,Default Pipe,4,22.1
68,PI000069,29.74,PE,Enabled,Default Pipe,4,8.4
69,PI000070,29.76,PE,Enabled,Default Pipe,5,56.4
70,PI000071,28.87,PE,Enabled,Default Pipe,4,46.3
71,PI000072,29.52,PE,Enabled,Default Pipe,5,13.4
72,PI000073,29.50,PE,Enabled,Default Pipe,5,16.6
73,PI000074,30.48,PE,Enabled,Default Pipe,1,4.4
74,PI000075,30.47,PE,Enabled,Default Pipe,1,8.7
75,PI000076,32.88,PE,Enabled,Default Pipe,1,14.9
76,PI000077,32.70,PE,Enabled,Default Pipe,1,28.1
77,PI000078,36.24,PE,Enabled,Replacement Pipe,1,11.2

Model State: Solved

Generated on 12/03/2015 12:27:11

SynerGEE Gas 4.7.1: ASP
