SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,29.73,PE,Enabled,Default Pipe,1,35.3
2,PI000001,29.73,PE,Enabled,Default Pipe,1,32.0
3,PI000002,29.69,PE,Enabled,Default Pipe,1,13.8
4,PI000003,29.65,PE,Enabled,Default Pipe,1,58.8
5,PI000004,29.65,PE,Enabled,Default Pipe,1,9.4
6,PI000005,29.72,PE,Enabled,Default Pipe,1,134.8
7,PI000006,29.81,PE,Enabled,Default Pipe,1,39.3
8,PI000007,29.51,PE,Enabled,Default Pipe,1,61.1
9,PI000008,29.33,PE,Enabled,Default Pipe,1,32.2
10,PI000009,23.30,PE,Enabled,Default Pipe,3,50.2
11,PI000010,23.38,PE,Enabled,Default Pipe,3,49.4
12,PI000011,24.80,PE,Enabled,Default Pipe,2,133.8
13,PI000012,23.98,PE,Enabled,Default Pipe,2,106.7
14,PI000013,30.70,PE,Enabled,Default Pipe,2,2.5
15,PI000014,25.52,PE,Enabled,Default Pipe,4,62.3
16,PI000015,25.27,PE,Enabled,Default Pipe,4,62.8
17,PI000016,26.12,PE,Enabled,Default Pipe,4,119.9
18,PI000017,25.79,PE,Enabled,Default Pipe,4,35.2
19,PI000018,30.00,PE,Enabled,Default Pipe,3,1.3
20,PI000019,33.41,PE,Enabled,Default Pipe,2,11.8
21,PI000020,31.63,PE,Enabled,Default Pipe,2,10.4
22,PI000021,25.14,PE,Enabled,Default Pipe,4,60.7
23,PI000022,29.82,PE,Enabled,Default Pipe,3,22.0
24,PI000023,29.56,PE,Enabled,Default Pipe,3,17.7
25,PI000024,28.36,PE,Enabled,Default Pipe,3,76.4
26,PI000025,26.68,PE,Enabled,Default Pipe,3,52.9
27,PI000026,27.31,PE,Enabled,Default Pipe,3,50.5
28,PI000027,29.99,PE,Enabled,Default Pipe,1,1.6
29,PI000028,27.95,PE,Enabled,Default Pipe,1,62.6
30,PI000029,29.42,PE,Enabled,Default Pipe,4,27.1
31,PI000030,28.96,PE,Enabled,Default Pipe,4,26.8
32,PI000031,28.95,PE,Enabled,Default Pipe,4,81.2
33,PI000032,27.31,PE,Enabled,Default Pipe,4,96.1
34,PI000033,28.13,PE,Enabled,Default Pipe,4,77.2
35,PI000034,26.00,PE,Enabled,Default Pipe,4,50.2
36,PI000035,24.74,PE,Enabled,Default Pipe,4,73.2
37,PI000036,29.96,PE,Enabled,Default Pipe,1,8.8
38,PI000037,29.14,PE,Enabled,Default Pipe,1,95.7
39,PI000038,29.84,PE,Enabled,Default Pipe,1,39.4
40,PI000039,28.16,PE,Enabled,Default Pipe,1,74.6
41,PI000040,28.35,PE,Enabled,Default Pipe,1,4.8
42,PI000041,28.35,PE,Enabled,Default Pipe,1,7.9
43,PI000042,28.11,PE,Enabled,Default Pipe,1,43.7
44,PI000043,27.82,PE,Enabled,Default Pipe,1,84.1
45,PI000044,27.86,PE,Enabled,Default Pipe,1,8.4
46,PI000045,27.67,PE,Enabled,Default Pipe,1,80.0
47,PI000046,29.77,PE,Enabled,Default Pipe,1,71.7
48,PI000047,29.63,PE,Enabled,Default Pipe,1,93.2
49,PI000048,29.76,PE,Enabled,Default Pipe,1,9.9
50,PI000049,29.73,PE,Enabled,Default Pipe,1,6.1
51,PI000050,27.76,PE,Enabled,Default Pipe,1,29.4
52,PI000051,28.16,PE,Enabled,Default Pipe,1,101.9
53,PI000052,28.27,PE,Enabled,Default Pipe,1,4.1
54,PI000053,28.27,PE,Enabled,Default Pipe,1,5.4
55,PI000054,24.87,PE,Enabled,Default Pipe,3,190.2
56,PI000055,26.43,PE,Enabled,Default Pipe,3,208.9
57,PI000056,27.28,PE,Enabled,Default Pipe,3,12.3
58,PI000057,26.49,PE,Enabled,Default Pipe,3,12.8
59,PI000058,27.16,PE,Enabled,Default Pipe,3,5.1
60,PI000059,27.18,PE,Enabled,Default Pipe,3,30.4
61,PI000060,27.05,PE,Enabled,Default Pipe,3,64.1
62,PI000061,27.13,PE,Enabled,Default Pipe,3,14.0
63,PI000062,23.52,PE,Enabled,Default Pipe,3,76.4
64,PI000063,23.70,PE,Enabled,Default Pipe,3,52.6
65,PI000064,26.95,PE,Enabled,Default Pipe,3,25.8
66,PI000065,26.93,PE,Enabled,Default Pipe,3,18.3
67,PI000066,23.76,PE,Enabled,Default Pipe,3,12.4
68,PI000067,23.69,PE,Enabled,Default Pipe,3,48.1
69,PI000068,23.56,PE,Enabled,Default Pipe,3,44.7
70,PI000069,23.47,PE,Enabled,Default Pipe,3,35.3
71,PI000070,23.40,PE,Enabled,Default Pipe,3,57.6
72,PI000071,23.34,PE,Enabled,Default Pipe,3,6.8
73,PI000072,26.66,PE,Enabled,Default Pipe,3,12.9
74,PI000073,26.55,PE,Enabled,Default Pipe,3,119.7
75,PI000074,23.17,PE,Enabled,Default Pipe,3,122.1
76,PI000075,29.69,PE,Enabled,Default Pipe,1,39.0
77,PI000076,29.67,PE,Enabled,Default Pipe,1,37.3
78,PI000077,29.61,PE,Enabled,Default Pipe,1,25.9
79,PI000078,29.63,PE,Enabled,Default Pipe,1,19.1
80,PI000079,29.60,PE,Enabled,Default Pipe,1,214.4
81,PI000080,29.51,PE,Enabled,Default Pipe,1,52.4
82,PI000081,29.66,PE,Enabled,Default Pipe,1,55.2
83,PI000082,29.64,PE,Enabled,Default Pipe,1,22.3
84,PI000083,29.37,PE,Enabled,Default Pipe,1,21.9
85,PI000084,29.39,PE,Enabled,Default Pipe,1,97.3
86,PI000085,29.75,PE,Enabled,Default Pipe,1,94.1
87,PI000086,29.52,PE,Enabled,Default Pipe,1,71.4
88,PI000087,29.70,PE,Enabled,Default Pipe,1,103.3
89,PI000088,29.60,PE,Enabled,Default Pipe,1,79.3
90,PI000089,27.43,PE,Enabled,Default Pipe,1,206.6
91,PI000090,29.53,PE,Enabled,Default Pipe,1,177.3
92,PI000091,28.67,PE,Enabled,Default Pipe,1,199.9
93,PI000092,29.40,PE,Enabled,Default Pipe,1,8.5
94,PI000093,28.80,PE,Enabled,Default Pipe,1,436.5
95,PI000094,29.35,PE,Enabled,Default Pipe,1,8.9
96,PI000095,29.35,PE,Enabled,Default Pipe,1,9.2
97,PI000096,35.17,PE,Enabled,Default Pipe,2,12.1
98,PI000097,28.13,PE,Enabled,Default Pipe,1,6.3
99,PI000098,29.87,PE,Enabled,Default Pipe,4,14.2
100,PI000099,29.74,PE,Enabled,Default Pipe,4,3.6
101,PI000100,28.13,PE,Enabled,Default Pipe,1,13.9
102,PI000101,28.13,PE,Enabled,Default Pipe,1,1.3
103,PI000102,29.68,PE,Enabled,Default Pipe,1,193.4
104,PI000103,22.64,PE,Enabled,Default Pipe,3,31.7
105,PI000104,22.50,PE,Enabled,Default Pipe,3,32.9
106,PI000105,29.43,PE,Enabled,Default Pipe,1,51.3
107,PI000106,29.51,PE,Enabled,Default Pipe,1,71.0
108,PI000107,29.60,PE,Enabled,Default Pipe,1,10.8
109,PI000108,29.48,PE,Enabled,Default Pipe,1,137.9
110,PI000109,25.83,PE,Enabled,Default Pipe,4,4.1
111,PI000110,29.28,PE,Enabled,Default Pipe,1,56.8
112,PI000387,29.99,PE,Enabled,Replacement Pipe,4,0.6
113,PI000111,27.99,PE,Enabled,Default Pipe,2,90.6
114,PI000112,29.48,PE,Enabled,Default Pipe,1,84.0

Model State: Solved

Generated on 12/03/2015 12:29:00

SynerGEE Gas 4.7.1: ASP
