SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,68.17,PE,Enabled,Replacement Pipe,4,62.4
2,PI000002,68.15,CI,Enabled,Default Pipe,4,207.2
3,PI000003,68.25,CI,Enabled,Default Pipe,4,46.5
4,PI000004,68.29,CI,Enabled,Default Pipe,4,14.8
5,PI000005,68.31,PE,Enabled,Default Pipe,4,98.8
6,PI000006,68.25,CI,Enabled,Default Pipe,4,3.9
7,PI000007,68.84,PE,Enabled,Default Pipe,4,74.5
8,PI000008,68.29,PE,Enabled,Default Pipe,4,64.6
9,PI000009,68.36,CI,Enabled,Default Pipe,4,67.0
10,PI000010,68.91,CI,Enabled,Default Pipe,4,207.0
11,PI000011,68.19,CI,Enabled,Default Pipe,4,72.0
12,PI000012,67.49,PE,Enabled,Default Pipe,4,167.8
13,PI000013,67.45,CI,Enabled,Default Pipe,4,10.3
14,PI000014,67.53,DI,Enabled,Default Pipe,4,140.7
15,PI000015,67.84,PE,Enabled,Default Pipe,4,3.0
16,PI000016,67.64,CI,Enabled,Default Pipe,4,47.8
17,PI000017,29.51,PE,Enabled,Default Pipe,1,48.7
18,PI000018,67.00,DI,Enabled,Default Pipe,4,6.4
19,PI000019,67.00,DI,Enabled,Default Pipe,4,16.4
20,PI000020,29.52,PE,Enabled,Default Pipe,1,10.1
21,PI000022,66.98,DI,Enabled,Default Pipe,4,2.5
22,PI000023,29.53,PE,Enabled,Default Pipe,1,2.7
23,PI000024,66.97,ST,Enabled,Default Pipe,4,22.7
24,PI000025,29.38,PE,Enabled,Default Pipe,1,8.8
25,PI000026,66.95,ST,Enabled,Default Pipe,4,21.2
26,PI000027,66.95,PE,Enabled,Default Pipe,4,1.3
27,PI000028,29.42,PE,Enabled,Default Pipe,1,36.1
28,PI000029,29.51,PE,Enabled,Default Pipe,1,16.1
29,PI000030,29.42,PE,Enabled,Default Pipe,1,30.8
30,PI000031,29.40,PE,Enabled,Default Pipe,1,62.2
31,PI000032,66.95,PE,Enabled,Default Pipe,4,5.4
32,PI000033,29.38,PE,Enabled,Default Pipe,1,6.3
33,PI000034,66.95,PE,Enabled,Default Pipe,4,33.7
34,PI000035,66.97,PE,Enabled,Default Pipe,4,51.1
35,PI000036,23.85,PE,Enabled,Default Pipe,1,15.0
36,PI000037,24.18,PE,Enabled,Default Pipe,1,78.9
37,PI000038,24.20,PE,Enabled,Default Pipe,1,9.3
38,PI000039,24.25,PE,Enabled,Default Pipe,1,5.6
39,PI000040,24.45,PE,Enabled,Default Pipe,1,142.0
40,PI000041,23.67,PE,Enabled,Default Pipe,1,50.4
41,PI000042,23.78,PE,Enabled,Default Pipe,1,135.9
42,PI000043,24.23,PE,Enabled,Default Pipe,1,27.4
43,PI000044,24.20,PE,Enabled,Default Pipe,1,128.6
44,PI000045,24.17,PE,Enabled,Default Pipe,1,7.4
45,PI000046,24.23,PE,Enabled,Default Pipe,1,31.0
46,PI000047,29.61,PE,Enabled,Replacement Pipe,1,44.5
47,PI000048,29.52,PE,Enabled,Replacement Pipe,1,26.1
48,PI000049,29.56,PE,Enabled,Default Pipe,1,89.0
49,PI000050,29.50,PE,Enabled,Replacement Pipe,1,139.9
50,PI000051,28.96,PE,Enabled,Default Pipe,1,55.3
51,PI000052,28.97,PE,Enabled,Default Pipe,1,54.9
52,PI000053,29.73,DI,Enabled,Default Pipe,1,43.5
53,PI000054,29.99,PE,Enabled,Default Pipe,1,15.6
54,PI000055,29.46,DI,Enabled,Default Pipe,1,55.2
55,PI000058,29.71,DI,Enabled,Default Pipe,1,15.9
56,PI000059,30.13,CI,Enabled,Default Pipe,1,40.6
57,PI000060,30.18,CI,Enabled,Default Pipe,1,10.1
58,PI000061,28.83,PE,Enabled,Default Pipe,1,2.7
59,PI000062,29.76,DI,Enabled,Default Pipe,1,16.7
60,PI000063,29.76,DI,Enabled,Default Pipe,1,21.3
61,PI000064,29.20,PE,Enabled,Default Pipe,1,63.7
62,PI000065,29.71,DI,Enabled,Default Pipe,1,7.4
63,PI000066,29.69,DI,Enabled,Default Pipe,1,48.7
64,PI000068,28.94,PE,Enabled,Default Pipe,1,32.8
65,PI000069,28.93,PE,Enabled,Default Pipe,1,11.7
66,PI000070,29.07,PE,Enabled,Default Pipe,1,74.1
67,PI000071,29.46,DI,Enabled,Default Pipe,1,7.6
68,PI000072,29.79,PE,Enabled,Replacement Pipe,1,38.7
69,PI000073,29.57,DI,Enabled,Default Pipe,1,1.3
70,PI000074,28.84,PE,Enabled,Default Pipe,1,2.8
71,PI000075,28.83,PE,Enabled,Default Pipe,1,53.1
72,PI000076,29.73,DI,Enabled,Default Pipe,1,32.4
73,PI000077,29.42,DI,Enabled,Default Pipe,1,178.2
74,PI000078,28.94,PE,Enabled,Default Pipe,1,19.8
75,PI000079,29.37,DI,Enabled,Default Pipe,1,42.0
76,PI000080,30.08,PE,Enabled,Default Pipe,1,35.5
77,PI000081,29.71,PV,Enabled,Default Pipe,1,8.8
78,PI000082,30.09,SI,Enabled,Default Pipe,1,7.2
79,PI000083,30.09,SI,Enabled,Default Pipe,1,31.4
80,PI000084,29.71,PE,Enabled,Default Pipe,1,1.2
81,PI000085,29.36,PE,Enabled,Default Pipe,1,90.7
82,PI000086,29.22,PE,Enabled,Default Pipe,1,24.3
83,PI000087,28.96,PE,Enabled,Default Pipe,1,37.2
84,PI000088,29.67,PV,Enabled,Default Pipe,1,11.0
85,PI000089,29.67,DI,Enabled,Default Pipe,1,10.0
86,PI000090,30.04,PE,Enabled,Default Pipe,1,54.7
87,PI000091,29.69,PV,Enabled,Default Pipe,1,58.8
88,PI000092,29.67,DI,Enabled,Default Pipe,1,35.6
89,PI000093,29.67,DI,Enabled,Default Pipe,1,5.3
90,PI000094,29.97,SI,Enabled,Default Pipe,1,8.4
91,PI000095,29.48,PE,Enabled,Default Pipe,1,43.8
92,PI000096,29.40,PE,Enabled,Default Pipe,1,11.8
93,PI000097,29.39,DI,Enabled,Default Pipe,1,8.1
94,PI000099,30.18,PE,Enabled,Default Pipe,1,124.0
95,PI000100,29.57,CI,Enabled,Default Pipe,1,112.2
96,PI000101,29.94,CI,Enabled,Default Pipe,1,110.8
97,PI000102,29.67,PE,Enabled,Default Pipe,1,24.6
98,PI000103,29.71,PE,Enabled,Default Pipe,1,25.5
99,PI000104,30.05,SI,Enabled,Default Pipe,1,31.8
100,PI000105,29.23,PE,Enabled,Default Pipe,1,88.8
101,PI000106,30.00,ST,Enabled,Default Pipe,1,14.0
102,PI000108,29.37,PE,Enabled,Default Pipe,1,25.7
103,PI000109,28.83,PE,Enabled,Default Pipe,1,19.3
104,PI000110,29.71,PE,Enabled,Default Pipe,1,9.0
105,PI000111,29.71,PE,Enabled,Default Pipe,1,22.9
106,PI000112,29.71,PE,Enabled,Default Pipe,1,25.6
107,PI000113,29.71,PV,Enabled,Default Pipe,1,99.9
108,PI000114,30.03,ST,Enabled,Default Pipe,1,19.9
109,PI000115,30.02,CI,Enabled,Default Pipe,1,27.3
110,PI000116,29.09,PE,Enabled,Default Pipe,1,7.2
111,PI000117,28.96,PE,Enabled,Default Pipe,1,24.5
112,PI000118,28.94,PE,Enabled,Default Pipe,1,35.2
113,PI000119,29.09,PE,Enabled,Default Pipe,1,134.8
114,PI000120,29.93,PE,Enabled,Default Pipe,1,14.5
115,PI000121,29.84,CI,Enabled,Default Pipe,1,3.2
