SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000000,69.99,PE,Enabled,Default Pipe,1,2.9
2,PI000001,64.83,PE,Enabled,Default Pipe,1,121.3
3,PI000002,64.30,PE,Enabled,Default Pipe,1,132.7
4,PI000003,64.05,PE,Enabled,Default Pipe,1,72.3
5,PI000004,68.22,PE,Enabled,Default Pipe,1,9.0
6,PI000005,67.63,PE,Enabled,Default Pipe,1,283.1
7,PI000006,68.03,PE,Enabled,Default Pipe,1,95.9
8,PI000007,65.75,PE,Enabled,Default Pipe,1,70.7
9,PI000008,66.43,PE,Enabled,Default Pipe,1,0.3
10,PI000009,64.62,PE,Enabled,Default Pipe,1,44.3
11,PI000010,66.43,PE,Enabled,Default Pipe,1,0.3
12,PI000011,66.52,PE,Enabled,Default Pipe,1,93.7
13,PI000012,65.61,PE,Enabled,Default Pipe,1,122.6
14,PI000013,64.59,PE,Enabled,Default Pipe,1,68.7
15,PI000014,66.78,PE,Enabled,Default Pipe,1,13.2
16,PI000015,66.29,PE,Enabled,Default Pipe,1,103.5
17,PI000016,66.49,PE,Enabled,Default Pipe,1,43.7
18,PI000017,66.54,PE,Enabled,Default Pipe,1,21.0
19,PI000018,65.65,PE,Enabled,Default Pipe,1,24.1
20,PI000019,65.74,PE,Enabled,Default Pipe,1,8.3
21,PI000020,65.05,PE,Enabled,Default Pipe,1,182.4
22,PI000021,66.69,PE,Enabled,Default Pipe,1,105.9
23,PI000022,66.57,PE,Enabled,Default Pipe,1,44.7
24,PI000023,66.50,PE,Enabled,Default Pipe,1,41.6
25,PI000024,66.50,PE,Enabled,Default Pipe,1,79.0
26,PI000025,66.41,PE,Enabled,Default Pipe,1,22.7
27,PI000026,66.30,PE,Enabled,Default Pipe,1,40.5
28,PI000027,66.80,PE,Enabled,Default Pipe,1,70.6
29,PI000028,67.47,PE,Enabled,Default Pipe,1,314.4
30,PI000029,67.07,PE,Enabled,Default Pipe,1,13.6
31,PI000030,66.08,PE,Enabled,Default Pipe,1,88.5
32,PI000031,65.56,PE,Enabled,Default Pipe,1,40.2
33,PI000032,62.14,PE,Enabled,Default Pipe,1,104.3
34,PI000033,62.42,PE,Enabled,Default Pipe,1,59.2
35,PI000034,62.51,PE,Enabled,Default Pipe,1,7.6
36,PI000035,65.08,PE,Enabled,Default Pipe,1,0.3
37,PI000036,65.16,PE,Enabled,Default Pipe,1,69.8
38,PI000037,62.49,PE,Enabled,Default Pipe,1,2.9
39,PI000038,62.45,PE,Enabled,Default Pipe,1,27.0
40,PI000039,65.48,PE,Enabled,Default Pipe,1,48.3
41,PI000040,62.41,PE,Enabled,Default Pipe,1,54.7
42,PI000041,62.70,PE,Enabled,Default Pipe,1,20.7
43,PI000042,62.45,PE,Enabled,Default Pipe,1,158.8
44,PI000043,62.33,PE,Enabled,Default Pipe,1,127.8
45,PI000044,63.33,PE,Enabled,Default Pipe,1,25.8
46,PI000045,64.40,PE,Enabled,Default Pipe,1,1.5
47,PI000046,64.51,PE,Enabled,Default Pipe,1,12.1
48,PI000047,64.12,PE,Enabled,Default Pipe,1,155.4
49,PI000048,62.50,PE,Enabled,Default Pipe,1,40.0
50,PI000049,61.61,PE,Enabled,Default Pipe,1,125.2
51,PI000050,63.24,PE,Enabled,Default Pipe,1,261.3
52,PI000051,62.55,PE,Enabled,Default Pipe,1,5.8
53,PI000052,62.15,PE,Enabled,Default Pipe,1,196.7
54,PI000053,66.54,PE,Enabled,Default Pipe,1,0.2
55,PI000054,62.19,PE,Enabled,Default Pipe,1,104.3
56,PI000055,69.09,PE,Enabled,Default Pipe,1,466.1
57,PI000056,68.18,PE,Enabled,Default Pipe,1,33.9
58,PI000057,68.16,PE,Enabled,Default Pipe,1,35.6
59,PI000058,68.16,PE,Enabled,Default Pipe,1,28.1
60,PI000059,66.96,PE,Enabled,Default Pipe,1,137.7
61,PI000060,66.80,PE,Enabled,Default Pipe,1,34.3
62,PI002628,64.81,PE,Enabled,Default Pipe,1,138.9

Model State: Solved

Generated on 12/03/2015 12:35:07

SynerGEE Gas 4.7.1: ASP
