"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96105401463472","Nodes","P11127308, PLOTS 1-3 R/O 5 HUNTER ROAD, -5.54SCMH","22.999998","24.741279","CSEP Unmatched","Known Flow","602516.111918","142235.561428","","0.000000","","","","","","","","","","","","","","-5.539999","","-4.953967","-5.539999","","","","","","","","","","","","","","","","PL-DC PROFILE",""
"96105405002390","Nodes","5002390, P11126168, BREADLANDS ROAD, -8.77SCMH","22.999998","26.449336","CSEP Unmatched","Known Flow","602610.048717","141667.478866","","0.000000","","","","","","","","","","","","","","-8.770000","","-7.842291","-8.770000","","","","","","","","","","","","","","","","PL-DC PROFILE",""
"96105400010051","Nodes","10051, P11126020, DEV ADJ TO 34/35 HUNTERS CLOSE, -13.85SCMH","22.999998","26.010727","CSEP Unmatched","Known Flow","602242.062912","141602.509459","","0.000000","","","","","","","","","","","","","","-13.850000","","-12.384918","-13.850000","","","","","","","","","","","","","","","","PL-DC PROFILE",""
"96105405001149","Nodes","5001149","21.000000","23.284031","DDS demands","Known Flow","601585.938855","144192.847160","","0.000000","","","","","","","-14.250000","","","","","","","","","-12.742605","-14.250000","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105400010041","Nodes","910041","21.000000","23.354815","Default Known Flow Node","Known Flow","601528.443596","144181.840615","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400002579","Nodes","2579","21.000000","23.295006","DDS demands","Known Flow","601521.126789","144178.619373","","0.000000","","","","","","","-5.219999","","","","","","","","","-4.667817","-5.219999","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105405001449","Nodes","1449,P08120030, Otterden Close, -27.88","22.999998","22.969218","CSEP DDS Matched","Known Flow","601626.644863","144184.555444","","0.000000","","","","","","","","-27.879998","","","","","","","","-24.930793","-27.879998","","","","","","","","","","DC PROFILE","","","","","","",""
"96105400010031","Nodes","910031","21.000000","23.400382","Default Known Flow Node","Known Flow","601527.160644","144189.078624","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002210","Nodes","5002210","21.000000","24.661644","DDS demands","Known Flow","602635.639138","141781.842790","","0.000000","","","","","","","-26.149999","","","","","","","","","-23.383797","-26.149999","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105400005698","Nodes","P11127055, 12 SOUTHERTON, -5.77SCMH","22.999998","28.799406","CSEP Unmatched","Known Flow","602474.987140","141349.104414","","0.000000","","","","","","","","","","","","","","-5.769999","","-5.159637","-5.769999","","","","","","","","","","","","","","","","PL-DC PROFILE",""
"96105400032325","Nodes","-32325","21.000000","24.778551","Default Known Flow Node","Known Flow","602606.785130","141797.725794","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400003218","Nodes","-3218","21.000000","24.867360","Default Known Flow Node","Known Flow","602630.636136","141769.934787","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002127","Nodes","5002127","21.000000","38.374072","Default Known Flow Node","Known Flow","600528.179564","142457.440974","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002433","Nodes","5002433","21.000000","31.102884","DDS demands","Known Flow","599402.804258","140429.190422","","0.000000","","","","","","","-2.990000","","","","","","","","","-2.673711","-2.990000","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105405002435","Nodes","5002435","21.000000","31.105972","DDS demands","Known Flow","599359.929246","140443.565426","","0.000000","","","","","","","-4.439999","","","","","","","","","-3.970327","-4.439999","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105400001156","Nodes","1156","21.000000","26.938450","Default Known Flow Node","Known Flow","600616.429588","140956.440566","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405002197","Nodes","5002197","21.000000","27.140899","DDS demands","Known Flow","600598.179583","140974.440570","","0.000000","-26.700000","0.000000","","","","","-18.299999","","","","-67.110001","","","","","-100.250773","-112.110000","","","C1 PROFILE","C2 PROFILE","","","","","D1 PROFILE","","","","I2 PROFILE","","","",""
"96105450021155","Nodes","50021155","21.000000","22.984606","Default Known Flow Node","Known Flow","603447.805359","140892.565548","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105400022365","Nodes","22365","21.000000","22.982603","Default Known Flow Node","Known Flow","603440.145186","140875.912660","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96105405001147","Nodes","5001147","21.000000","23.547160","DDS demands","Known Flow","601504.429723","144203.319906","","0.000000","","","","","","","-30.630000","","","","","","","","","-27.389894","-30.630000","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105405001121","Nodes","5001121","21.000000","23.193992","DDS demands","Known Flow","601527.397466","143985.176198","","0.000000","","","","","","","-18.930000","","","","","","","","","-16.927546","-18.930000","","","","","","","","","D1 PROFILE","","","","","","","",""
"96105400002540","Nodes","2540","21.000000","22.951033","Default Known Flow Node","Known Flow","601544.496505","144002.538253","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
