"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)"
"96106305203023","Nodes","5203023","21.000000","33.963117","DDS demands","Known Flow","625150.619906","147304.100226","","0.000000","","","","","-8.159999","-7.296817","-8.159999","","","","","","","D1 PROFILE"
"96106300132849","Nodes","132849","21.000000","31.110238","DDS demands","Known Flow","626727.250000","148271.625000","","0.000000","-6.000000","","","","-1.339999","-6.563559","-7.340000","","","C1 PROFILE","","","","D1 PROFILE"
"96106300002856","Nodes","2856","21.000000","31.188271","DDS demands","Known Flow","626696.125000","148233.687500","","0.000000","","","","","-7.679999","-6.867593","-7.679999","","","","","","","D1 PROFILE"
"96106300132848","Nodes","132848","21.000000","31.204313","DDS demands","Known Flow","626691.375000","148228.625000","","0.000000","","","","","-8.839999","-7.904886","-8.839999","","","","","","","D1 PROFILE"
"96106300170687","Nodes","170687","21.000000","34.222455","Default Known Flow Node","Known Flow","625793.671732","148011.212355","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96106305203014","Nodes","5203014","21.000000","34.601512","DDS demands","Known Flow","625848.347632","148067.063027","","0.000000","","","","","-9.569999","-8.557664","-9.569999","","","","","","","D1 PROFILE"
"96106305203013","Nodes","5203013","21.000000","36.293100","DDS demands","Known Flow","625978.000000","148302.593750","","0.000000","","","","","-12.390000","-11.079359","-12.390000","","","","","","","D1 PROFILE"
"96106300002852","Nodes","2852","21.000000","36.473897","DDS demands","Known Flow","625990.656642","148316.648388","","0.000000","","","","","-5.369999","-4.801949","-5.369999","","","","","","","D1 PROFILE"
"96106305203026","Nodes","5203026","21.000000","37.878294","DDS demands","Known Flow","626083.558172","148451.898496","","0.000000","","","-8.680000","","-17.069999","-23.026111","-25.750001","","","","","C3 PROFILE","","D1 PROFILE"
"96106305203022","Nodes","5203022","21.000000","34.067723","DDS demands","Known Flow","625372.559273","147447.500131","","0.000000","","","","","-9.800000","-8.763336","-9.800000","","","","","","","D1 PROFILE"
