"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-DC)"
"96114105511106","Nodes","5511106","21.000000","22.201138","DDS demands","Known Flow","606564.120000","153497.200000","","0.000000","","","","-2.099999","","-1.877857","-2.099999","","","","","","D1 PROFILE",""
"96114105511152","Nodes","-994650","21.000000","22.204303","Default Known Flow Node","Known Flow","606565.245000","153497.325000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511108","Nodes","5511108","21.000000","21.923796","Default Known Flow Node","Known Flow","606508.370000","153496.575000","","0.000000","","","","0.000000","","0.000000","0.000000","","","","","","D1 PROFILE",""
"96114105511148","Nodes","-994646","21.000000","21.921852","DDS demands","Known Flow","606518.120000","153493.700000","","0.000000","","","","-1.649999","","-1.475459","-1.649999","","","","","","D1 PROFILE",""
"96114105511147","Nodes","-994645","21.000000","21.905426","DDS demands","Known Flow","606508.870000","153521.575000","","0.000000","","","","-3.130000","","-2.798902","-3.130000","","","","","","D1 PROFILE",""
"96114105511107","Nodes","5511107","21.000000","22.970019","DDS demands","Known Flow","606652.995000","153526.575000","","0.000000","","","0.000000","-3.370000","","-3.013514","-3.370000","","","","","C4 PROFILE","D1 PROFILE",""
"96114105511151","Nodes","-994649","21.000000","22.156849","Default Known Flow Node","Known Flow","606550.870000","153515.825000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511109","Nodes","-351377","21.000000","22.541957","Default Known Flow Node","Known Flow","606660.745000","153624.325000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511112","Nodes","-351380","21.000000","22.693517","Default Known Flow Node","Known Flow","606690.995000","153619.700000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511111","Nodes","-351379","21.000000","22.693517","Default Known Flow Node","Known Flow","606688.995000","153620.325000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511127","Nodes","-429516","21.000000","23.171899","Default Known Flow Node","Known Flow","606848.620000","153606.950000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511126","Nodes","-429515","21.000000","23.161452","Default Known Flow Node","Known Flow","606847.745000","153605.825000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511110","Nodes","-351378","21.000000","23.102204","Default Known Flow Node","Known Flow","606678.620000","153489.950000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96114105511103","Nodes","5511103","21.000000","23.221093","DDS demands","Known Flow","606816.245000","153572.325000","","0.000000","-39.990001","","","-1.980000","","-37.530325","-41.970001","","","C1 PROFILE","","","D1 PROFILE",""
"96114105511105","Nodes","5511105","21.000000","22.425058","DDS demands","Known Flow","606598.370000","153630.575000","","0.000000","","-2.170000","","-4.219999","","-5.714052","-6.390000","","","","C3 PROFILE","","D1 PROFILE",""
