"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-14333.749970","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-2211.089993","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-236.249999","0.000000","1.000000","Volumetric","-1.000000"
"C2","Flow Categories","-959.700000","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-48.119998","0.000000","1.000000","Volumetric","-1.000000"
"I2","Flow Categories","-939.410018","0.000000","1.000000","Volumetric","-1.000000"
"DC","Flow Categories","-1142.169998","0.000000","1.000000","Volumetric","-1.000000"
"DM","Flow Categories","-372.000015","0.000000","1.000000","Volumetric","0"
"CM","Flow Categories","-66.900001","0.000000","1.000000","Volumetric","0"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"PL-DC","Flow Categories","-379.740002","0.000000","1.000000","Volumetric","0"
"DL","Flow Categories","-312.900004","0.000000","1.000000","Volumetric","0"
"PL-AF","Flow Categories","-76.189999","0.000000","1.000000","Volumetric","-1.000000"
