"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)"
"96114709000131","Nodes","-448348","21.000000","50.357772","Default Known Flow Node","Known Flow","588387.980000","176478.145000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96114709000101","Nodes","GRAIN VILLAGE DG, Site ID: 5901","21.000000","51.999999","Default Known Pressure Node","Known Pressure","588340.105000","176438.270000","","8149.999854","","","","","","","451.445834","504.849991","","","","","","","",""
"96114709000145","Nodes","-448371","21.000000","41.694082","Default Known Flow Node","Known Flow","588693.730000","176648.145000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96114700005903","Nodes","Logger 5903","21.000000","41.650903","Val Log Cath","Known Flow","588698.292500","176653.270000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96114709000116","Nodes","9000116","21.000000","40.344364","DDS demands","Known Flow","588846.730000","176795.645000","","0.000000","","-21.149999","","-2.309999","","","-20.978351","-23.459998","","","","C2 PROFILE","","D1 PROFILE","",""
"96114709000156","Nodes","-448390","21.000000","36.968709","DDS demands","Known Flow","588856.230000","176326.020000","","0.000000","","","","-6.000000","","","-5.365307","-6.000000","","","","","","D1 PROFILE","",""
"96114709000119","Nodes","9000119","21.000000","36.984778","Default Known Flow Node Sub","Known Flow","588807.917500","176370.395000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96114709000155","Nodes","-448386","21.000000","37.045542","DDS demands","Known Flow","588836.480000","176438.270000","","0.000000","","","","-6.289999","","","-5.624630","-6.289999","","","","","","D1 PROFILE","",""
"96114709000134","Nodes","-448354","21.000000","47.631252","Default Known Flow Node","Known Flow","588462.980000","176475.270000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96114709000110","Nodes","9000110","21.000000","48.489997","DDS demands","Known Flow","588450.230000","176495.395000","","0.000000","","","","-25.389999","","","-22.704191","-25.389999","","","","","","D1 PROFILE","",""
"96114709000128","Nodes","9000128","21.000000","50.307174","DDS demands","Known Flow","588389.855000","176478.645000","","0.000000","","","","-6.269999","","","-5.606746","-6.269999","","","","","","D1 PROFILE","",""
"96114709000133","Nodes","-448351","21.000000","48.794112","Default Known Flow Node","Known Flow","588448.355000","176494.395000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96114709000135","Nodes","-448356","21.000000","37.280093","DDS demands","Known Flow","588482.230000","176387.645000","","0.000000","","","","-13.239999","","","-11.839444","-13.239999","","","","","","D1 PROFILE","",""
