"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories","0.000000","0.000000","1.000000","Volumetric","-1.000000"
"Base Thermal","Flow Categories","","","1.000000","Thermal","-1.000000"
"D1","Flow Categories","-1424.602007","0.000000","1.000000","Volumetric","-1.000000"
"C1","Flow Categories","-18.450000","0.000000","1.000000","Volumetric","-1.000000"
"C4","Flow Categories","-26.359999","0.000000","1.000000","Volumetric","-1.000000"
"C3","Flow Categories","-15.009999","0.000000","1.000000","Volumetric","-1.000000"
"PL-DC","Flow Categories","-37.099999","0.000000","1.000000","Volumetric","0"
"Base Diversified Volumetric","Flow Categories","","","1.000000","Diversified Volumetric","-1.000000"
"Base Diversified Thermal","Flow Categories","","","1.000000","Diversified Thermal","-1.000000"
"BC","Flow Categories","-399.999988","0.000000","1.000000","Volumetric","-1.000000"
