"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)"
"96121709709078","Nodes","-135491","21.000000","37.368721","Default Known Flow Node","Known Flow","581053.770000","114792.170000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121700007206","Nodes","Logger 7206","21.000000","37.323059","Val Log Cath","Known Flow","581020.520000","114797.099687","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709077","Nodes","-135489","21.000000","37.321843","Default Known Flow Node","Known Flow","581006.145000","114799.170000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709049","Nodes","","21.000000","29.798459","DDS demands","Known Flow","581369.145000","115316.420000","","0.000000","","","","-6.560000","","","-5.866069","-6.560000","","","","","","D1 PROFILE","",""
"96121700007205","Nodes","Logger 7205","21.000000","29.854085","Val Log Cath","Known Flow","581360.645000","115364.920000","","0.000000","","","","-6.639999","","","-5.937606","-6.639999","","","","","","D1 PROFILE","",""
"96121709709048","Nodes","9709048","21.000000","30.062439","DDS demands","Known Flow","581334.145000","115521.920000","","0.000000","","-10.079999","","-38.759998","","","-43.673600","-48.839997","","","","C3 PROFILE","","D1 PROFILE","",""
"96121709709156","Nodes","-91201","21.000000","30.531587","DDS demands","Known Flow","581351.145000","115727.670000","","0.000000","","","","-4.199999","","","-3.755715","-4.199999","","","","","","D1 PROFILE","",""
"96121700007203","Nodes","Logger 7203","21.000000","30.527411","Val Log Cath","Known Flow","581385.832500","115779.232500","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709045","Nodes","9709045","21.000000","30.515923","DDS demands","Known Flow","581483.145000","115919.873125","","0.000000","","","","-5.189999","","","-4.640990","-5.189999","","","","","","D1 PROFILE","",""
"96121709709057","Nodes","9709057","21.000000","36.891999","DDS demands","Known Flow","581053.895000","115308.420000","","0.000000","","","","-11.180000","","","-9.997356","-11.180000","","","","","","D1 PROFILE","",""
"96121700007204","Nodes","Logger 7204","21.000000","33.336963","Val Log Cath","Known Flow","581134.207500","115420.420000","","0.000000","","","","-5.989999","","","-5.356365","-5.989999","","","","","","D1 PROFILE","",""
"96121709709056","Nodes","9709056","21.000000","31.935634","DDS demands","Known Flow","581169.270000","115467.802812","","0.000000","","","","-0.790000","","","-0.706432","-0.790000","","","","","","D1 PROFILE","",""
"96121709709042","Nodes","9709042","21.000000","30.769565","DDS demands","Known Flow","581592.895000","116078.052812","","0.000000","0.000000","","","-2.030000","","","-1.815262","-2.030000","","","C2 PROFILE","","","D1 PROFILE","",""
"96121709709041","Nodes","9709041","21.000000","30.853226","Default Known Flow Node","Known Flow","581785.457500","116354.873125","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709040","Nodes","9709040","21.000000","30.981246","DDS demands","Known Flow","581928.395000","116562.420000","","0.000000","","","","-3.629999","","","-3.246011","-3.629999","","","","","","D1 PROFILE","",""
"96121709709053","Nodes","9709053","21.000000","29.944940","DDS demands","Known Flow","581245.770000","115245.271562","","0.000000","","","","-14.869999","","","-13.297020","-14.869999","","","","","","D1 PROFILE","",""
"96121709709153","Nodes","-91195","21.000000","30.025221","Default Known Flow Node","Known Flow","581320.020000","115332.920000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709061","Nodes","9709061","21.000000","37.324280","DDS demands","Known Flow","581040.395000","114754.568437","","0.000000","","0.000000","0.000000","-0.699999","","","-0.625952","-0.699999","","","","C3 PROFILE","C4 PROFILE","D1 PROFILE","",""
"96121709709081","Nodes","-148462","21.000000","37.323080","DDS demands","Known Flow","581028.895000","114723.052812","","0.000000","","-10.560000","-1.580000","","","","-10.855805","-12.140001","","","","C3 PROFILE","C4 PROFILE","","",""
"96121709709076","Nodes","-135488","21.000000","37.191934","DDS demands","Known Flow","580903.270000","114815.052812","","0.000000","","","","-2.480000","","","-2.217660","-2.480000","","","","","","D1 PROFILE","",""
"96121709709110","Nodes","-91136","21.000000","38.322196","DDS demands","Known Flow","580851.395000","115357.170000","","0.000000","","","","-4.309999","","","-3.854079","-4.309999","","","","","","D1 PROFILE","",""
"96121709709111","Nodes","-91137","21.000000","38.383014","DDS demands","Known Flow","580909.395000","115375.302812","","0.000000","","","","-6.000000","","","-5.365307","-6.000000","","","","","","D1 PROFILE","",""
"96121709709109","Nodes","-91135","21.000000","31.431800","Default Known Flow Node","Known Flow","580802.770000","115422.802812","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709108","Nodes","-91133","21.000000","31.215783","Default Known Flow Node","Known Flow","580737.645000","115434.052812","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709113","Nodes","-91143","21.000000","37.719582","Default Known Flow Node","Known Flow","580996.895000","115151.670000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709112","Nodes","-91139","21.000000","37.611450","DDS demands","Known Flow","580939.395000","115045.170000","","0.000000","","","","-1.559999","","","-1.394979","-1.559999","","","","","","D1 PROFILE","",""
"96121709709059","Nodes","9709059","21.000000","37.719590","DDS demands","Known Flow","581006.020000","115143.052812","","0.000000","","","","-4.889999","","","-4.372725","-4.889999","","","","","","D1 PROFILE","",""
"96121709709001","Nodes","WESTFIELD CHURCH DG, Site ID 5051","21.000000","40.000000","Default Known Pressure Node","Known Pressure","580980.395000","115263.670000","","1279.999934","","","","","","","551.642958","616.900004","","","","","","","",""
"96121709709070","Nodes","9709070","21.000000","37.754965","Default Known Flow Node","Known Flow","581037.770000","115278.170000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709120","Nodes","-91154","21.000000","38.819153","DDS demands","Known Flow","581077.145000","115377.052812","","0.000000","","","","-2.279999","","","-2.038816","-2.279999","","","","","","D1 PROFILE","",""
"96121709709055","Nodes","9709055","21.000000","31.100116","DDS demands","Known Flow","581188.020000","115463.052812","","0.000000","","","","-0.550000","","","-0.491819","-0.550000","","","","","","D1 PROFILE","",""
"96121709709130","Nodes","-91166","21.000000","31.868826","Default Known Flow Node","Known Flow","581173.520000","115473.802812","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709119","Nodes","-91151","21.000000","31.777719","Default Known Flow Node","Known Flow","581036.895000","115426.552812","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709060","Nodes","9709060","21.000000","37.683142","DDS demands","Known Flow","581166.770000","115030.670000","","0.000000","","","","-16.319999","","","-14.593634","-16.319999","","","","","","D1 PROFILE","",""
"96121709709115","Nodes","-91146","21.000000","37.725310","Default Known Flow Node","Known Flow","581011.395000","115165.302812","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709083","Nodes","-156646","21.000000","37.725027","DDS demands","Known Flow","580992.395000","115172.170000","","0.000000","","","","-0.449999","","","-0.402398","-0.449999","","","","","","D1 PROFILE","",""
"96121709709058","Nodes","9709058","21.000000","39.102165","DDS demands","Known Flow","581032.145000","115321.552812","","0.000000","","","","-6.589999","","","-5.892895","-6.589999","","","","","","D1 PROFILE","",""
"96121700009210","Nodes","Low point 9210","21.000000","38.088377","Log Low Point","Known Flow","580787.520000","115341.802812","","0.000000","","","","-24.349999","","","-21.774205","-24.349999","","","","","","D1 PROFILE","",""
"96121709709118","Nodes","-91150","21.000000","31.777612","DDS demands","Known Flow","581033.645000","115425.170000","","0.000000","","","","-3.899999","","","-3.487449","-3.899999","","","","","","D1 PROFILE","",""
"96121709709125","Nodes","-91159","21.000000","30.439264","DDS demands","Known Flow","581122.645000","115202.302812","","0.000000","","","","-4.900000","","","-4.381668","-4.900000","","","","","","D1 PROFILE","",""
"96121709709121","Nodes","-91155","21.000000","30.339572","DDS demands","Known Flow","581096.770000","115209.670000","","0.000000","","","","-5.709999","","","-5.105984","-5.709999","","","","","","D1 PROFILE","",""
"96121709709126","Nodes","-91160","21.000000","30.345050","Default Known Flow Node","Known Flow","581138.270000","115225.920000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96121709709127","Nodes","-91161","21.000000","30.346217","DDS demands","Known Flow","581141.895000","115231.170000","","0.000000","","","","-4.480000","","","-4.006096","-4.480000","","","","","","D1 PROFILE","",""
"96121709709122","Nodes","-91156","21.000000","30.439032","DDS demands","Known Flow","581107.395000","115276.170000","","0.000000","","","","-2.679999","","","-2.396503","-2.679999","","","","","","D1 PROFILE","",""
"96121709709146","Nodes","-91185","21.000000","30.498975","DDS demands","Known Flow","581280.145000","115425.670000","","0.000000","","","","-9.699999","","","-8.673912","-9.699999","","","","","","D1 PROFILE","",""
"96121709709134","Nodes","-91171","21.000000","30.248801","DDS demands","Known Flow","581192.270000","115286.670000","","0.000000","","","","-7.409999","","","-6.626154","-7.409999","","","","","","D1 PROFILE","",""
"96121709709128","Nodes","-91162","21.000000","30.316127","DDS demands","Known Flow","581146.645000","115328.552812","","0.000000","","","","-1.860000","","","-1.663245","-1.860000","","","","","","D1 PROFILE","",""
"96121709709139","Nodes","-91176","21.000000","30.262936","DDS demands","Known Flow","581226.020000","115341.552812","","0.000000","","","","-7.129999","","","-6.375773","-7.129999","","","","","","D1 PROFILE","",""
"96121709709133","Nodes","-91169","21.000000","30.365092","DDS demands","Known Flow","581183.770000","115381.920000","","0.000000","","","","-2.279999","","","-2.038816","-2.279999","","","","","","D1 PROFILE","",""
"96121709709054","Nodes","9709054","21.000000","29.969018","DDS demands","Known Flow","581232.645000","115241.302812","","0.000000","","","","-15.250000","","","-13.636823","-15.250000","","","","","","D1 PROFILE","",""
"96121709709140","Nodes","-91177","21.000000","29.969018","Default Known Flow Node","Known Flow","581228.645000","115242.420000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
