SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,26.72,SI,Enabled,Default Pipe,2,2.5
2,PI000002,26.71,SI,Enabled,Default Pipe,2,2.3
3,PI000003,26.95,CI,Enabled,Default Pipe,2,21.4
4,PI000004,31.98,PE,Enabled,Default Pipe,1,5.8
5,PI000005,30.18,CI,Enabled,Default Pipe,1,7.4
6,PI000006,31.89,CI,Enabled,Default Pipe,1,1.3
7,PI000007,36.14,PE,Enabled,Default Pipe,1,18.4
8,PI000008,34.69,PE,Enabled,Default Pipe,1,104.7
9,PI000009,36.24,DI,Enabled,Default Pipe,1,0.8
10,PI000010,36.17,PE,Enabled,Default Pipe,1,3.5
11,PI000011,34.30,SI,Enabled,Default Pipe,1,2.0
12,PI000012,34.26,PE,Enabled,Default Pipe,1,4.0
13,PI000013,30.47,PE,Enabled,Default Pipe,1,1.1
14,PI000014,35.35,DI,Enabled,Default Pipe,1,49.7
15,PI000015,31.21,PE,Enabled,Default Pipe,1,80.4
16,PI000016,31.88,SI,Enabled,Default Pipe,1,1.8
17,PI000017,32.67,SI,Enabled,Default Pipe,1,4.8
18,PI000018,33.59,PE,Enabled,Default Pipe,1,22.7
19,PI000019,35.73,DI,Enabled,Default Pipe,1,36.5
20,PI000021,34.01,PE,Enabled,Default Pipe,1,182.3
21,PI000022,35.32,PE,Enabled,Default Pipe,1,14.0
22,PI000023,35.46,SI,Enabled,Default Pipe,1,1.3
23,PI000024,34.61,DI,Enabled,Default Pipe,1,2.7
24,PI000025,31.35,PE,Enabled,Replacement Pipe,1,6.7
25,PI000026,39.05,PE,Enabled,Default Pipe,1,31.1
26,PI000027,37.54,PE,Enabled,Default Pipe,1,8.6
27,PI000028,34.44,PE,Enabled,Replacement Pipe,1,260.8
28,PI000029,37.35,PE,Enabled,Default Pipe,1,5.6
29,PI000030,37.80,PE,Enabled,Replacement Pipe,1,38.8
30,PI000031,28.60,PE,Enabled,Replacement Pipe,1,13.8
31,PI000032,28.44,PE,Enabled,Default Pipe,1,16.4
32,PI000033,31.24,PE,Enabled,Replacement Pipe,1,25.3
33,PI000034,36.42,PE,Enabled,Replacement Pipe,1,42.1
34,PI000036,38.03,PE,Enabled,Default Pipe,1,271.9
35,PI000037,37.48,PE,Enabled,Default Pipe,1,13.9
36,PI000038,28.97,PE,Enabled,Replacement Pipe,1,1.5
37,PI000039,37.38,PE,Enabled,Default Pipe,1,1.0
38,PI000040,41.37,PE,Enabled,Default Pipe,1,17.7
39,PI000041,22.75,PE,Enabled,Default Pipe,1,1.9
40,PI000042,34.61,PE,Enabled,Default Pipe,1,1.4
41,PI000043,34.59,PE,Enabled,Default Pipe,1,11.3
42,PI000044,29.11,PE,Enabled,Default Pipe,1,169.5
43,PI000045,29.69,PE,Enabled,Replacement Pipe,1,11.1
44,PI000046,34.87,PE,Enabled,Default Pipe,1,2.5
45,PI000047,29.59,PE,Enabled,Default Pipe,1,49.4
46,PI000048,29.64,PE,Enabled,Replacement Pipe,1,65.1
47,PI000049,35.16,PE,Enabled,Default Pipe,1,1.8
48,PI000050,35.36,PE,Enabled,Default Pipe,1,46.1
49,PI000051,35.09,PE,Enabled,Default Pipe,1,16.2
50,PI000052,24.42,SI,Enabled,Default Pipe,1,14.9
51,PI000053,35.50,PE,Enabled,Default Pipe,1,1.1
52,PI000054,34.56,PE,Enabled,Default Pipe,1,5.0
53,PI000055,27.70,PE,Enabled,Replacement Pipe,1,12.7
54,PI000056,31.30,PE,Enabled,Default Pipe,1,68.2
55,PI000057,30.74,PE,Enabled,Default Pipe,1,35.0
56,PI000058,30.85,PE,Enabled,Default Pipe,1,1.1
57,PI000059,30.78,PE,Enabled,Default Pipe,1,81.4
58,PI000060,30.85,PE,Enabled,Default Pipe,1,17.5
59,PI000062,31.49,PE,Enabled,Default Pipe,1,40.4
60,PI000063,40.81,ST,Enabled,Default Pipe,1,1.0
61,PI000064,32.74,PE,Enabled,Default Pipe,1,26.9
62,PI000065,30.84,PE,Enabled,Default Pipe,1,81.1
63,PI000066,34.40,PE,Enabled,Default Pipe,1,69.4
64,PI000067,32.61,PE,Enabled,Default Pipe,1,53.2
65,PI000068,39.52,CI,Enabled,Default Pipe,1,84.8
66,PI000069,34.43,PE,Enabled,Default Pipe,1,1.6
67,PI000070,38.74,CI,Enabled,Default Pipe,1,1.6
68,PI000071,37.93,SI,Enabled,Default Pipe,1,1.1
69,PI000072,30.71,PE,Enabled,Default Pipe,1,26.9
70,PI000073,24.51,SI,Enabled,Default Pipe,1,3.2
71,PI000074,40.81,PE,Enabled,Default Pipe,1,46.8
72,PI000075,37.92,SI,Enabled,Default Pipe,1,0.9
73,PI000076,31.70,PE,Enabled,Default Pipe,1,26.8
74,PI000077,30.59,PE,Enabled,Default Pipe,1,12.0
75,PI000078,36.44,PE,Enabled,Default Pipe,1,13.9
76,PI000079,28.26,PE,Enabled,Default Pipe,1,10.3
77,PI000080,40.80,ST,Enabled,Default Pipe,1,4.5
78,PI000081,40.00,PE,Enabled,Default Pipe,1,0.9
79,PI000082,27.06,PE,Enabled,Default Pipe,1,4.3
80,PI000083,31.80,PE,Enabled,Default Pipe,1,1.6
81,PI000084,34.14,SI,Enabled,Default Pipe,1,2.9
82,PI000085,38.24,PE,Enabled,Default Pipe,1,30.8
83,PI000086,37.82,PE,Enabled,Default Pipe,1,15.9
84,PI000087,40.84,ST,Enabled,Default Pipe,1,1.4
85,PI000088,34.09,PE,Enabled,Replacement Pipe,1,5.0
86,PI000089,30.69,PE,Enabled,Default Pipe,1,11.1
87,PI000090,34.23,PE,Enabled,Default Pipe,1,47.7
88,PI000091,38.17,ST,Enabled,Default Pipe,1,97.0
89,PI000092,36.18,PE,Enabled,Default Pipe,1,26.0
90,PI000093,36.32,PE,Enabled,Default Pipe,1,127.6
91,PI000094,31.41,PE,Enabled,Default Pipe,1,6.8
92,PI000095,33.70,PE,Enabled,Default Pipe,1,20.7
93,PI000096,34.26,PE,Enabled,Default Pipe,1,0.9
94,PI000097,38.28,PE,Enabled,Default Pipe,1,10.1
95,PI000098,36.09,PE,Enabled,Default Pipe,1,6.1
96,PI000099,35.60,PE,Enabled,Replacement Pipe,1,10.5
97,PI000100,34.24,PE,Enabled,Default Pipe,1,53.9
98,PI000101,49.70,PE,Enabled,Default Pipe,3,2.1
99,PI000102,42.87,PE,Enabled,Default Pipe,3,59.9
100,PI000103,42.42,PE,Enabled,Default Pipe,3,49.1
101,PI000104,34.91,PE,Enabled,Default Pipe,1,51.5
102,PI000105,35.29,PE,Enabled,Default Pipe,1,0.4
103,PI000106,35.00,PE,Enabled,Default Pipe,1,49.9
104,PI000107,34.69,PE,Enabled,Default Pipe,1,103.8
105,PI000108,34.93,PE,Enabled,Default Pipe,1,14.1
106,PI000109,35.22,PE,Enabled,Default Pipe,1,0.3
107,PI000110,35.45,PE,Enabled,Default Pipe,1,1.0
108,PI000111,35.28,PE,Enabled,Default Pipe,1,1.4
