SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,26.87,PE,Enabled,Replacement Pipe,1,70.1
2,PI000002,26.85,ST,Enabled,Default Pipe,1,74.0
3,PI000004,26.95,PE,Enabled,Replacement Pipe,1,17.1
4,PI000005,29.52,PE,Enabled,Default Pipe,4,67.0
5,PI000006,24.42,PE,Enabled,Default Pipe,1,2.9
6,PI000007,24.51,PE,Enabled,Default Pipe,1,4.2
7,PI000008,26.74,ST,Enabled,Default Pipe,1,2.8
8,PI000009,26.74,SI,Enabled,Default Pipe,1,38.6
9,PI000010,31.49,PE,Enabled,Default Pipe,1,56.6
10,PI000011,27.33,PE,Enabled,Default Pipe,1,27.1
11,PI000013,32.15,PE,Enabled,Default Pipe,1,7.0
12,PI000014,31.18,PE,Enabled,Default Pipe,1,3.1
13,PI000015,33.65,DI,Enabled,Default Pipe,1,5.2
14,PI000016,33.68,SI,Enabled,Default Pipe,1,2.8
15,PI000017,36.38,SI,Enabled,Default Pipe,1,1.8
16,PI000018,34.06,SI,Enabled,Default Pipe,1,1.9
17,PI000019,33.36,DI,Enabled,Default Pipe,1,41.1
18,PI000020,34.17,SI,Enabled,Default Pipe,1,17.4
19,PI000021,26.00,PE,Enabled,Default Pipe,1,1.4
20,PI000022,33.97,PE,Enabled,Default Pipe,1,25.9
21,PI000023,26.39,PE,Enabled,Default Pipe,1,74.6
22,PI000024,27.78,SI,Enabled,Default Pipe,1,8.0
23,PI000025,23.05,PE,Enabled,Default Pipe,3,51.2
24,PI000026,24.19,PE,Enabled,Default Pipe,3,76.1
25,PI000027,28.99,PE,Enabled,Default Pipe,1,73.8
26,PI000028,31.54,PE,Enabled,Default Pipe,1,2.7
27,PI000029,35.16,PE,Enabled,Default Pipe,1,94.6
28,PI000030,25.34,PE,Enabled,Default Pipe,1,12.6
29,PI000031,22.49,PE,Enabled,Default Pipe,1,38.6
30,PI000032,36.76,PE,Enabled,Default Pipe,1,49.7
31,PI000033,24.41,PE,Enabled,Default Pipe,1,66.0
32,PI000034,33.00,PE,Enabled,Default Pipe,1,1.5
33,PI000035,38.96,PE,Enabled,Default Pipe,1,1.3
34,PI000036,39.22,PE,Enabled,Default Pipe,1,1.9
35,PI000037,28.38,PE,Enabled,Default Pipe,1,36.5
36,PI000038,26.73,SI,Enabled,Default Pipe,1,6.9
37,PI000039,29.33,PE,Enabled,Default Pipe,1,19.1
38,PI000040,30.17,PE,Enabled,Default Pipe,1,9.0
39,PI000041,30.49,PE,Enabled,Default Pipe,1,5.9
40,PI000042,30.76,PE,Enabled,Default Pipe,1,1.5
41,PI000043,30.69,PE,Enabled,Default Pipe,1,1.8
42,PI000044,30.42,PE,Enabled,Default Pipe,1,55.1
43,PI000045,30.72,PE,Enabled,Default Pipe,1,30.6
44,PI000046,30.34,PE,Enabled,Default Pipe,1,2.1
45,PI000047,30.34,CI,Enabled,Default Pipe,1,2.1
46,PI000048,28.60,PE,Enabled,Default Pipe,1,5.6
47,PI000049,28.67,PE,Enabled,Default Pipe,1,5.4
48,PI000050,30.46,PE,Enabled,Default Pipe,1,22.2
49,PI000052,30.81,PE,Enabled,Default Pipe,1,1.8
50,PI000053,30.78,PE,Enabled,Default Pipe,1,31.2
51,PI000054,30.57,SI,Enabled,Default Pipe,1,34.7
52,PI000055,32.10,PE,Enabled,Default Pipe,1,3.3
53,PI000056,32.10,PE,Enabled,Default Pipe,1,4.6
54,PI000057,29.45,PE,Enabled,Default Pipe,1,153.9
55,PI000058,49.75,PE,Enabled,Default Pipe,2,13.5
56,PI000060,39.98,PE,Enabled,Default Pipe,3,7.5
57,PI000062,38.82,PE,Enabled,Default Pipe,3,46.1
58,PI000063,25.04,PE,Enabled,Default Pipe,3,1.1
59,PI000065,27.50,DI,Enabled,Default Pipe,3,1.5
60,PI000066,38.40,PE,Enabled,Default Pipe,3,19.7
61,PI000068,38.33,PE,Enabled,Default Pipe,3,1.9
62,PI000069,27.02,PE,Enabled,Default Pipe,3,149.2
63,PI000070,27.71,PE,Enabled,Default Pipe,3,0.8
64,PI000071,36.77,PE,Enabled,Default Pipe,3,56.4
65,PI000072,29.20,PE,Enabled,Default Pipe,3,48.7
66,PI000073,29.30,PE,Enabled,Default Pipe,3,1.2
67,PI000076,34.04,PE,Enabled,Default Pipe,3,1.1
68,PI000077,27.51,PE,Enabled,Default Pipe,3,28.9
69,PI000078,32.31,PE,Enabled,Default Pipe,3,29.6
70,PI000080,22.60,PE,Enabled,Default Pipe,3,2.1
71,PI000081,31.38,PE,Enabled,Default Pipe,3,59.7
72,PI000082,31.38,PE,Enabled,Default Pipe,3,2.8
73,PI000083,22.68,PE,Enabled,Default Pipe,3,63.2
74,PI000084,30.62,PE,Enabled,Default Pipe,3,28.3
75,PI000085,38.95,PE,Enabled,Default Pipe,1,3.7
76,PI000086,35.19,PE,Enabled,Default Pipe,1,29.4
77,PI000087,39.22,PE,Enabled,Default Pipe,1,2.0
78,PI000089,26.69,PE,Enabled,Replacement Pipe,1,4.3
