SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,25.22,PE,Enabled,Default Pipe,1,264.3
2,PI000002,25.85,PE,Enabled,Default Pipe,1,5.6
3,PI000003,24.81,PE,Enabled,Default Pipe,1,59.0
4,PI000005,26.07,PE,Enabled,Default Pipe,1,51.7
5,PI000006,25.76,PE,Enabled,Default Pipe,1,90.8
6,PI000007,24.20,PE,Enabled,Default Pipe,1,45.3
7,PI000008,25.57,PE,Enabled,Default Pipe,1,151.9
8,PI000009,25.53,PE,Enabled,Default Pipe,1,4.1
9,PI000010,25.54,PE,Enabled,Default Pipe,1,2.3
10,PI000011,33.74,PE,Enabled,Default Pipe,1,24.0
11,PI000012,25.56,PE,Enabled,Default Pipe,1,197.6
12,PI000013,33.83,PE,Enabled,Default Pipe,1,23.6
13,PI000014,33.59,PE,Enabled,Default Pipe,1,32.1
14,PI000016,33.34,PE,Enabled,Default Pipe,1,72.2
15,PI000017,26.21,PE,Enabled,Default Pipe,1,22.1
16,PI000018,27.76,PE,Enabled,Replacement Pipe,1,2.2
17,PI000020,27.97,PE,Enabled,Default Pipe,1,1.7
18,PI000021,27.32,PE,Enabled,Default Pipe,1,21.3
19,PI000022,26.65,PE,Enabled,Replacement Pipe,1,51.7
20,PI000023,25.36,PE,Enabled,Default Pipe,1,20.8
21,PI000024,27.38,PE,Enabled,Default Pipe,1,15.5
22,PI000025,28.57,PE,Enabled,Default Pipe,1,93.7
23,PI000026,28.03,PE,Enabled,Default Pipe,1,160.7
24,PI000027,31.07,PE,Enabled,Default Pipe,1,9.6
25,PI000029,31.29,PE,Enabled,Default Pipe,1,11.1
26,PI000030,29.38,PE,Enabled,Default Pipe,1,32.5
27,PI000031,27.32,PE,Enabled,Default Pipe,1,40.0
28,PI000032,30.84,PE,Enabled,Default Pipe,1,13.0
29,PI000033,27.25,PE,Enabled,Default Pipe,1,12.3
30,PI000035,28.20,PE,Enabled,Default Pipe,1,145.7
31,PI000036,36.18,PE,Enabled,Default Pipe,1,1.5
32,PI000037,34.51,PE,Enabled,Default Pipe,1,2.3
