SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,32.33,PE,Enabled,Default Pipe,1,1.3
2,PI000002,34.87,PE,Enabled,Default Pipe,1,5.2
3,PI000003,30.19,PE,Enabled,Default Pipe,1,45.7
4,PI000004,33.72,PE,Enabled,Default Pipe,1,28.2
5,PI000005,31.61,PE,Enabled,Default Pipe,1,60.9
6,PI000006,33.49,PE,Enabled,Default Pipe,1,37.0
7,PI000007,33.54,PE,Enabled,Default Pipe,1,53.7
8,PI000008,26.74,PE,Enabled,Default Pipe,1,86.9
9,PI000009,30.77,SI,Enabled,Default Pipe,1,59.9
10,PI000010,30.85,SI,Enabled,Default Pipe,1,2.5
11,PI000011,30.66,SI,Enabled,Default Pipe,1,1.5
12,PI000012,27.44,DI,Enabled,Default Pipe,1,1.4
13,PI000013,30.77,PE,Enabled,Default Pipe,1,23.3
14,PI000014,31.13,PE,Enabled,Default Pipe,1,6.2
15,PI000015,27.04,PE,Enabled,Default Pipe,1,1.3
16,PI000017,27.94,DI,Enabled,Default Pipe,1,16.9
17,PI000018,26.48,PE,Enabled,Default Pipe,1,1.1
18,PI000019,30.75,SI,Enabled,Default Pipe,1,16.0
19,PI000020,31.94,PE,Enabled,Default Pipe,1,11.3
20,PI000021,30.80,PE,Enabled,Default Pipe,1,3.0
21,PI000022,30.74,CI,Enabled,Default Pipe,1,5.3
22,PI000023,31.12,SI,Enabled,Default Pipe,1,91.5
23,PI000024,30.45,SI,Enabled,Default Pipe,1,5.8
24,PI000025,30.84,PE,Enabled,Default Pipe,1,53.3
25,PI000026,30.74,CI,Enabled,Default Pipe,1,3.7
26,PI000027,32.33,SI,Enabled,Default Pipe,1,30.4
27,PI000028,29.27,PE,Enabled,Replacement Pipe,1,49.4
28,PI000029,35.12,CI,Enabled,Default Pipe,1,61.6
29,PI000030,33.07,SI,Enabled,Default Pipe,1,5.0
30,PI000031,34.00,PE,Enabled,Default Pipe,1,58.2
31,PI000032,38.96,PE,Enabled,Default Pipe,2,43.9
32,PI000033,23.87,SI,Enabled,Default Pipe,1,75.8
33,PI000034,24.39,PE,Enabled,Default Pipe,1,72.5
34,PI000035,24.70,PE,Enabled,Default Pipe,1,1.8
35,PI000036,22.53,PE,Enabled,Default Pipe,1,21.5
36,PI000037,45.42,PE,Enabled,Default Pipe,2,44.3
37,PI000038,47.68,PE,Enabled,Default Pipe,2,6.2
38,PI000039,30.85,SI,Enabled,Default Pipe,1,83.0
39,PI000040,33.69,PE,Enabled,Default Pipe,1,44.7
40,PI000041,35.82,PE,Enabled,Default Pipe,1,31.9
41,PI000042,34.84,DI,Enabled,Default Pipe,1,147.2
42,PI000043,30.29,PE,Enabled,Default Pipe,1,16.6
43,PI000044,33.82,PE,Enabled,Default Pipe,1,24.4
44,PI000045,33.81,PE,Enabled,Default Pipe,1,12.4
45,PI000046,33.79,PE,Enabled,Default Pipe,1,12.6
46,PI000048,30.38,PE,Enabled,Default Pipe,1,76.6
47,PI000049,30.77,PE,Enabled,Default Pipe,1,31.0
48,PI000050,30.97,SI,Enabled,Default Pipe,1,25.5
49,PI000051,30.09,PE,Enabled,Default Pipe,1,7.0
50,PI000052,33.58,PE,Enabled,Default Pipe,1,0.9
51,PI000053,36.11,PE,Enabled,Default Pipe,1,4.1
52,PI000054,30.47,PE,Enabled,Default Pipe,1,35.5
53,PI000055,33.85,PE,Enabled,Default Pipe,1,55.2
54,PI000056,30.53,PE,Enabled,Default Pipe,1,6.0
55,PI000057,29.21,PE,Enabled,Default Pipe,1,3.8
56,PI000058,30.38,PE,Enabled,Default Pipe,1,19.2
57,PI000059,29.70,PE,Enabled,Default Pipe,1,0.3
58,PI000060,30.59,SI,Enabled,Default Pipe,1,95.9
59,PI000061,30.73,SI,Enabled,Default Pipe,1,29.3
60,PI000062,30.81,PE,Enabled,Default Pipe,1,1.8
61,PI000063,29.54,PE,Enabled,Default Pipe,1,35.4
62,PI000064,31.69,SI,Enabled,Default Pipe,1,27.0
63,PI000065,30.60,PE,Enabled,Default Pipe,1,26.6
64,PI000066,32.02,SI,Enabled,Default Pipe,1,33.9
65,PI000067,31.57,SI,Enabled,Default Pipe,1,19.4
66,PI000068,30.26,PE,Enabled,Default Pipe,1,77.0
67,PI000069,29.04,PE,Enabled,Default Pipe,1,60.7
68,PI000070,31.41,SI,Enabled,Default Pipe,1,3.3
69,PI000071,31.37,PE,Enabled,Default Pipe,1,18.0
70,PI000072,29.28,SI,Enabled,Default Pipe,1,1.3
71,PI000073,30.74,SI,Enabled,Default Pipe,1,2.0
72,PI000074,33.95,PE,Enabled,Default Pipe,1,20.1
73,PI000075,33.47,PE,Enabled,Default Pipe,1,10.6
74,PI000076,33.95,PE,Enabled,Default Pipe,1,1.7
75,PI000077,31.52,PE,Enabled,Default Pipe,1,3.5
76,PI000078,34.71,SI,Enabled,Default Pipe,1,16.8
77,PI000079,34.31,SI,Enabled,Default Pipe,1,41.1
78,PI000080,32.48,SI,Enabled,Default Pipe,1,51.0
79,PI000081,33.95,PE,Enabled,Default Pipe,1,1.4
80,PI000082,33.98,SI,Enabled,Default Pipe,1,2.0
81,PI000083,24.12,PE,Enabled,Default Pipe,1,6.0
82,PI000084,24.38,SI,Enabled,Default Pipe,1,146.6
83,PI000085,24.12,DI,Enabled,Default Pipe,1,28.9
84,PI000086,24.88,PE,Enabled,Default Pipe,1,1.0
85,PI000087,24.29,DI,Enabled,Default Pipe,1,51.3
86,PI000088,24.32,DI,Enabled,Default Pipe,1,2.3
87,PI000089,47.74,PE,Enabled,Default Pipe,2,56.9
88,PI000090,47.77,PE,Enabled,Default Pipe,2,21.2
89,PI000091,30.64,PE,Enabled,Default Pipe,1,44.3
90,PI000092,34.71,PE,Enabled,Default Pipe,1,41.9
91,PI000093,33.80,PE,Enabled,Default Pipe,1,94.0
92,PI000094,36.98,PE,Enabled,Default Pipe,1,5.8
93,PI000095,33.55,PE,Enabled,Default Pipe,1,47.8
94,PI000096,32.86,PE,Enabled,Default Pipe,1,1.7
95,PI000097,33.48,PE,Enabled,Default Pipe,1,28.9
96,PI000098,36.50,PE,Enabled,Default Pipe,1,53.5
97,PI000099,31.55,PE,Enabled,Default Pipe,1,65.7
98,PI000100,30.51,PE,Enabled,Default Pipe,1,27.4
99,PI000101,30.83,PE,Enabled,Default Pipe,1,11.7
100,PI000102,28.33,PE,Enabled,Default Pipe,1,9.2
101,PI000103,29.78,PE,Enabled,Default Pipe,1,5.5
102,PI000104,29.74,PE,Enabled,Default Pipe,1,29.0
103,PI000105,31.34,SI,Enabled,Default Pipe,1,1.5
104,PI000106,31.85,SI,Enabled,Default Pipe,1,30.8
105,PI000107,27.02,PE,Enabled,Default Pipe,1,13.5
106,PI000108,31.38,SI,Enabled,Default Pipe,1,43.0
107,PI000109,34.02,SI,Enabled,Default Pipe,1,5.9
108,PI000110,33.95,PE,Enabled,Default Pipe,1,18.5
109,PI000111,33.97,PE,Enabled,Default Pipe,1,47.0
110,PI000112,35.11,CI,Enabled,Default Pipe,1,65.7
111,PI000113,25.11,PE,Enabled,Default Pipe,1,1.0
112,PI000114,24.81,PE,Enabled,Default Pipe,1,9.2
113,PI000115,24.90,PE,Enabled,Default Pipe,1,16.4
114,PI000116,24.91,PE,Enabled,Default Pipe,1,3.2
115,PI000117,24.46,PE,Enabled,Default Pipe,1,185.8
116,PI000118,24.31,DI,Enabled,Default Pipe,1,25.5
117,PI000119,31.94,PE,Enabled,Default Pipe,1,4.3
118,PI000120,35.11,CI,Enabled,Default Pipe,1,15.5
119,PI000122,30.81,PE,Enabled,Replacement Pipe,1,85.9
120,PI000123,47.66,PE,Enabled,Default Pipe,2,15.7
121,0466886608,33.32,PE,Enabled,Default Pipe,1,141.7
122,0466886605,36.99,DI,Enabled,Default Pipe,1,2.7
123,0466885286,35.04,PE,Enabled,Default Pipe,1,6.8
124,0625368525,33.80,PE,Enabled,Default Pipe,1,1.0
125,0466883345,33.94,PE,Enabled,Default Pipe,1,1.4
126,0466885283,33.89,PE,Enabled,Default Pipe,1,5.6
127,0466886918,33.63,PE,Enabled,Default Pipe,1,2.1
128,0466882476,30.96,PE,Enabled,Default Pipe,1,61.5
129,0466884798,30.99,PE,Enabled,Default Pipe,1,11.4
130,0466885001,30.81,PE,Enabled,Default Pipe,1,16.3
131,0629478301,30.44,PE,Enabled,Default Pipe,1,21.1
132,0650041691,30.92,PE,Enabled,Default Pipe,1,21.0
133,0466885002,30.79,SI,Enabled,Default Pipe,1,28.6
134,0466886615,30.10,PE,Enabled,Default Pipe,1,12.4
135,0466886862,35.91,PE,Enabled,Default Pipe,1,52.4
136,0466885292,34.66,PE,Enabled,Default Pipe,1,54.4
137,0466883390,33.16,PE,Enabled,Default Pipe,1,44.6
138,0650397703,33.78,PE,Enabled,Default Pipe,1,45.9
139,0467227778,31.65,PE,Enabled,Default Pipe,1,42.3
140,0467227782,31.45,PE,Enabled,Default Pipe,1,36.3
141,0607581448,30.29,PE,Enabled,Default Pipe,1,1.6
142,0466884706,36.88,DI,Enabled,Default Pipe,1,26.4
143,0650388030,34.69,PE,Enabled,Default Pipe,1,16.5
144,0466884707,36.68,DI,Enabled,Default Pipe,1,23.6
145,0466886864,36.57,PE,Enabled,Default Pipe,1,96.2
146,0622777951,34.44,PE,Enabled,Default Pipe,1,8.9
147,0466883362,36.14,PE,Enabled,Default Pipe,1,2.6
148,0650643018,33.82,PE,Enabled,Default Pipe,1,7.4
149,0467227780,31.67,PE,Enabled,Default Pipe,1,9.3
150,0466886612,30.32,PE,Enabled,Default Pipe,1,10.5
151,0466885089,34.52,PE,Enabled,Default Pipe,1,8.5
152,0626987869,33.89,DI,Enabled,Default Pipe,1,10.0
153,0650397825,33.82,PE,Enabled,Default Pipe,1,1.0
154,0466883395,32.62,PE,Enabled,Default Pipe,1,12.9
155,0466886919,33.57,PE,Enabled,Default Pipe,1,24.0
156,0466886913,33.47,PE,Enabled,Default Pipe,1,57.2
157,0466886606,36.63,PE,Enabled,Default Pipe,1,40.2
158,0466885295,36.74,PE,Enabled,Default Pipe,1,150.6
159,0466886815,34.89,PE,Enabled,Default Pipe,1,18.8
160,0629684087,35.30,PE,Enabled,Default Pipe,1,6.3
161,0607356011,33.58,ST,Enabled,Default Pipe,1,14.2
162,0466883370,33.78,PE,Enabled,Default Pipe,1,52.4
163,0466886917,33.52,PE,Enabled,Default Pipe,1,46.7
164,0466884263,32.56,PE,Enabled,Default Pipe,1,28.8
165,0466885016,30.95,PE,Enabled,Replacement Pipe,1,54.0
166,0466882643,26.77,PE,Enabled,Default Pipe,1,72.9
167,0466886611,30.34,PE,Enabled,Default Pipe,1,30.4
168,0650388028,34.76,PE,Enabled,Default Pipe,1,11.3
169,0607714962,36.09,PE,Enabled,Default Pipe,1,4.2
170,0466886474,34.77,DI,Enabled,Default Pipe,1,16.9
171,0466885288,36.79,PE,Enabled,Default Pipe,1,48.8
172,0466882707,35.11,PE,Enabled,Default Pipe,1,62.1
173,0622777950,34.73,PE,Enabled,Default Pipe,1,39.4
174,0466885000,30.91,SI,Enabled,Default Pipe,1,3.5
175,0629290185,30.49,PE,Enabled,Default Pipe,1,12.1
176,0629459549,30.44,PE,Enabled,Default Pipe,1,5.3
177,0466885015,30.89,SI,Enabled,Default Pipe,1,43.8
178,0466882645,26.82,PE,Enabled,Default Pipe,1,127.8
179,0466886614,30.29,PE,Enabled,Default Pipe,1,14.0
180,0466885293,34.01,PE,Enabled,Default Pipe,1,9.5
181,0466886850,33.80,PE,Enabled,Default Pipe,1,6.0
182,0466884790,32.05,PE,Enabled,Default Pipe,1,31.2
183,0466886845,33.77,PE,Enabled,Default Pipe,1,18.1
184,0466884799,31.34,PE,Enabled,Default Pipe,1,56.7
185,0466882700,30.56,PE,Enabled,Default Pipe,1,25.2
186,0466882695,30.85,PE,Enabled,Default Pipe,1,2.6
187,0466884940,29.05,PE,Enabled,Default Pipe,1,151.0
188,0650683455,36.48,PE,Enabled,Default Pipe,1,70.2
189,0466885289,36.96,PE,Enabled,Default Pipe,1,15.0
190,0325685905,34.11,PE,Enabled,Default Pipe,1,83.9
191,0466885079,35.47,PE,Enabled,Default Pipe,1,20.1
192,0466885291,34.10,PE,Enabled,Default Pipe,1,9.1
193,0625368523,33.87,PE,Enabled,Default Pipe,1,7.9
194,0466883965,30.54,PE,Enabled,Default Pipe,1,9.1
195,0466884963,30.45,PE,Enabled,Default Pipe,1,5.7
196,0466886920,33.47,PE,Enabled,Default Pipe,1,11.0
197,0466886921,33.52,PE,Enabled,Default Pipe,1,11.6
198,0466885296,36.54,PE,Enabled,Default Pipe,1,7.9
199,0466884981,30.98,ST,Enabled,Default Pipe,1,8.6
200,0607581983,29.54,PE,Enabled,Default Pipe,1,2.7
201,0466883977,31.99,PE,Enabled,Default Pipe,1,48.3
202,0621306519,31.75,PE,Enabled,Default Pipe,1,18.0
203,0466886837,30.54,PE,Enabled,Default Pipe,1,10.1
204,0466882391,30.80,PE,Enabled,Default Pipe,1,3.5
205,0466885824,27.24,PE,Enabled,Default Pipe,1,25.3
206,0466885526,28.56,PE,Enabled,Default Pipe,1,30.2
207,0466886700,28.81,PE,Enabled,Default Pipe,1,9.3
208,0466885569,29.27,PE,Enabled,Default Pipe,1,55.0
209,0621306521,31.75,PE,Enabled,Default Pipe,1,3.8
210,0466883208,31.21,PE,Enabled,Default Pipe,1,1.5
