SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,28.28,PE,Enabled,Default Pipe,1,45.9
2,PI000002,28.32,PE,Enabled,Default Pipe,1,26.3
3,PI000003,38.64,DI,Enabled,Default Pipe,1,47.3
4,PI000004,28.01,PE,Enabled,Default Pipe,1,19.0
5,PI000005,40.27,DI,Enabled,Default Pipe,1,122.5
6,PI000006,39.05,PE,Enabled,Default Pipe,1,4.2
7,PI000007,39.29,PE,Enabled,Default Pipe,1,24.9
8,PI000008,39.75,PE,Enabled,Default Pipe,1,15.2
9,PI000009,40.48,PE,Enabled,Default Pipe,1,104.3
10,PI000010,29.11,PE,Enabled,Default Pipe,1,11.6
11,PI000011,30.59,PE,Enabled,Default Pipe,1,10.4
12,PI000012,23.73,PE,Enabled,Default Pipe,1,18.4
13,PI000013,28.35,PE,Enabled,Default Pipe,1,13.7
14,PI000014,28.61,PE,Enabled,Default Pipe,1,21.3
15,PI000015,28.94,PE,Enabled,Default Pipe,1,53.0
16,PI000016,26.78,PE,Enabled,Default Pipe,1,11.5
17,PI000017,30.03,PE,Enabled,Default Pipe,1,1.4
18,PI000018,30.29,PE,Enabled,Default Pipe,1,90.1
19,PI000019,24.64,PE,Enabled,Default Pipe,1,99.1
20,PI000020,28.84,PE,Enabled,Default Pipe,1,12.7
21,PI000021,28.38,PE,Enabled,Default Pipe,1,47.3
22,PI000022,28.08,PE,Enabled,Default Pipe,1,73.3
23,PI000023,30.00,PE,Enabled,Default Pipe,1,0.5
24,PI000024,30.00,PE,Enabled,Default Pipe,1,1.8
25,PI000025,30.00,DI,Enabled,Default Pipe,1,8.7
26,PI000026,28.94,PE,Enabled,Default Pipe,1,1.9
27,PI000027,28.89,PE,Enabled,Default Pipe,1,27.1
28,PI000028,36.48,PE,Enabled,Default Pipe,1,209.3
29,PI000029,35.41,PE,Enabled,Default Pipe,1,1.3
30,PI000030,33.91,PE,Enabled,Default Pipe,1,2.9
31,PI000031,34.27,PE,Enabled,Default Pipe,1,2.3
32,PI000032,34.21,PE,Enabled,Default Pipe,1,40.2
33,PI000033,27.21,PE,Enabled,Default Pipe,1,2.8
34,PI000034,35.29,SI,Enabled,Default Pipe,1,2.5
35,PI000035,31.36,PE,Enabled,Default Pipe,1,58.0
36,PI000036,35.42,PE,Enabled,Default Pipe,1,1.5
37,PI000037,33.99,PE,Enabled,Default Pipe,1,9.5
38,PI000038,33.68,PE,Enabled,Default Pipe,1,8.2
39,PI000039,31.76,DI,Enabled,Default Pipe,1,1.8
40,PI000040,36.86,PE,Enabled,Default Pipe,1,1.4
41,PI000041,36.10,PE,Enabled,Default Pipe,1,1.7
42,PI000042,37.45,DI,Enabled,Default Pipe,1,2.6
43,PI000043,34.00,PE,Enabled,Default Pipe,1,12.0
44,PI000044,35.22,PE,Enabled,Default Pipe,1,116.1
45,PI000045,31.89,PE,Enabled,Default Pipe,1,33.9
46,PI000046,36.01,PE,Enabled,Default Pipe,1,26.7
47,PI000048,34.78,PE,Enabled,Replacement Pipe,1,1.0
48,PI000049,33.73,PE,Enabled,Default Pipe,1,34.2
49,PI000050,34.30,PE,Enabled,Default Pipe,1,2.6
50,PI000051,31.59,PE,Enabled,Default Pipe,1,71.2
51,PI000052,27.61,PE,Enabled,Default Pipe,1,2.4
52,PI000053,31.42,PE,Enabled,Default Pipe,1,4.9
53,PI000054,31.50,PE,Enabled,Default Pipe,1,30.3
54,PI000055,36.12,PE,Enabled,Default Pipe,1,5.1
55,PI000056,38.36,PE,Enabled,Default Pipe,1,100.0
56,PI000057,37.68,DI,Enabled,Default Pipe,1,31.2
57,PI000058,36.99,DI,Enabled,Default Pipe,1,27.7
58,PI000059,33.81,PE,Enabled,Default Pipe,1,67.5
59,PI000060,37.38,DI,Enabled,Default Pipe,1,16.8
60,PI000061,31.07,PE,Enabled,Default Pipe,1,27.6
61,PI000062,34.84,PE,Enabled,Default Pipe,1,59.4
62,PI000063,41.90,PE,Enabled,Default Pipe,1,59.3
63,PI000064,31.85,PE,Enabled,Default Pipe,1,10.8
64,PI000065,41.74,PE,Enabled,Default Pipe,1,41.5
65,PI000066,36.54,PE,Enabled,Default Pipe,1,66.1
66,PI000067,30.49,PE,Enabled,Default Pipe,1,3.0
67,PI000068,41.16,PE,Enabled,Default Pipe,1,40.7
68,PI000069,28.88,PE,Enabled,Default Pipe,1,101.4
69,PI000070,29.36,PE,Enabled,Default Pipe,1,53.1
70,PI000071,31.97,PE,Enabled,Replacement Pipe,1,2.3
71,PI000072,30.88,PE,Enabled,Default Pipe,1,13.3
72,PI000073,32.27,PE,Enabled,Default Pipe,1,14.8
73,PI000074,31.64,PE,Enabled,Default Pipe,1,2.4
74,PI000076,31.65,PE,Enabled,Default Pipe,1,43.2
75,PI000077,31.97,PE,Enabled,Default Pipe,1,3.1
76,PI000078,33.99,PE,Enabled,Replacement Pipe,1,6.5
77,PI000079,37.85,PE,Enabled,Default Pipe,1,2.4
78,PI000080,31.83,PE,Enabled,Default Pipe,1,50.2
79,PI000082,30.80,PE,Enabled,Default Pipe,1,16.2
80,PI000083,32.48,PE,Enabled,Replacement Pipe,1,17.4
81,PI000084,34.67,PE,Enabled,Default Pipe,1,3.2
82,PI000085,35.61,PE,Enabled,Default Pipe,1,9.3
83,PI000086,42.23,PE,Enabled,Replacement Pipe,1,43.5
84,PI000087,32.15,PE,Enabled,Default Pipe,1,2.7
85,PI000088,39.02,PE,Enabled,Replacement Pipe,1,2.9
86,PI000089,39.21,PE,Enabled,Default Pipe,1,6.5
87,PI000091,31.74,PE,Enabled,Replacement Pipe,1,1.0
88,PI000092,39.86,PE,Enabled,Default Pipe,1,25.7
89,PI000093,35.59,PE,Enabled,Replacement Pipe,1,2.9
90,PI000094,42.23,PE,Enabled,Default Pipe,1,87.5
91,PI000095,42.66,PE,Enabled,Replacement Pipe,1,76.1
92,PI000096,42.88,PE,Enabled,Replacement Pipe,1,6.4
93,PI000097,39.61,PE,Enabled,Replacement Pipe,1,142.0
94,PI000098,34.10,PE,Enabled,Default Pipe,1,89.1
95,PI000099,30.08,PE,Enabled,Default Pipe,1,46.6
96,PI000100,31.11,PE,Enabled,Default Pipe,1,58.2
97,PI000101,32.57,PE,Enabled,Default Pipe,1,3.5
98,PI000102,36.17,SI,Enabled,Default Pipe,1,1.4
99,PI000103,34.45,ST,Enabled,Default Pipe,1,6.5
100,PI000104,33.12,PE,Enabled,Default Pipe,1,1.2
101,PI000105,43.61,PE,Enabled,Default Pipe,2,1.7
102,PI000106,43.66,PE,Enabled,Default Pipe,2,139.7
