SynerGEE Gas 4.7.1: ASP

,Name,Average Pressure,Material,Service State,Symbol Name,Result Subsystem ID,Length (m)
1,PI000001,71.94,PE,Enabled,Default Pipe,4,26.7
2,PI000002,54.72,PE,Enabled,Default Pipe,2,73.8
3,PI000003,58.04,PE,Enabled,Default Pipe,2,19.8
4,PI000004,64.04,PE,Enabled,Default Pipe,1,107.3
5,PI000005,67.12,PE,Enabled,Default Pipe,1,2.1
6,PI000006,61.08,PE,Enabled,Default Pipe,1,122.7
7,PI000008,33.71,PE,Enabled,Default Pipe,2,95.9
8,PI000009,61.11,PE,Enabled,Default Pipe,1,1.3
9,PI000010,68.46,PE,Enabled,Default Pipe,2,115.8
10,PI000011,69.91,PE,Enabled,Default Pipe,2,7.1
11,PI000012,58.19,PE,Enabled,Default Pipe,2,0.9
12,PI000013,34.28,PE,Enabled,Default Pipe,2,0.3
13,PI000014,35.25,PE,Enabled,Default Pipe,2,3.0
14,PI000015,32.65,PE,Enabled,Default Pipe,2,77.3
15,PI000016,72.27,PE,Enabled,Default Pipe,3,97.8
16,PI000017,46.21,PE,Enabled,Default Pipe,4,1.0
17,PI000018,74.95,PE,Enabled,Default Pipe,3,2.8
18,PI000019,72.36,PE,Enabled,Default Pipe,3,4.7
19,PI000020,74.98,PE,Enabled,Default Pipe,3,4.8
20,PI000022,71.66,PE,Enabled,Default Pipe,4,2.0
21,PI000023,74.80,PE,Enabled,Default Pipe,4,2.7
22,PI000024,67.10,PE,Enabled,Default Pipe,2,0.9
23,PI000025,67.10,PE,Enabled,Default Pipe,2,1.4
24,PI000026,61.01,PE,Enabled,Default Pipe,2,72.5
25,PI000028,35.03,PE,Enabled,Default Pipe,2,54.1
26,PI000007,32.77,PE,Enabled,Default Pipe,2,54.5
27,PI000021,71.60,PE,Enabled,Default Pipe,4,34.6
28,PI000027,46.58,PE,Enabled,Default Pipe,2,23.7
29,PI000029,33.94,PE,Enabled,Default Pipe,2,106.3
30,PI000030,53.16,PE,Enabled,Default Pipe,2,81.5
31,PI000031,55.06,PE,Enabled,Default Pipe,2,40.0
32,PI000032,54.62,PE,Enabled,Default Pipe,2,1.0
33,PI000033,45.23,PE,Enabled,Default Pipe,2,5.0
34,PI000034,54.82,PE,Enabled,Default Pipe,2,1.1
35,PI000035,59.20,PE,Enabled,Default Pipe,2,134.7
36,PI000038,35.25,PE,Enabled,Default Pipe,2,1.4
37,SCMR*0465187843,72.25,PE,Enabled,Default Pipe,3,1.0
38,SCMR*0465187846,50.48,PE,Enabled,Default Pipe,4,101.8
39,SCMR*0465187857,32.72,PE,Enabled,Default Pipe,4,235.5
40,SCMR*0465187797,31.46,PE,Enabled,Default Pipe,4,93.7
41,SCMR*0465187820,72.02,PE,Enabled,Default Pipe,3,45.4
42,SCMR*0465187786,72.45,PE,Enabled,Default Pipe,3,270.7
43,SCMR*0465187848,64.58,PE,Enabled,Default Pipe,4,240.8
44,SCMR*0465187864,73.73,PE,Enabled,Default Pipe,3,199.8
45,SCMR*0465187863,72.36,PE,Enabled,Default Pipe,3,12.3
46,SCMR*0465187835,72.27,PE,Enabled,Default Pipe,3,46.0
47,SCMR*0465187798,39.62,PE,Enabled,Default Pipe,4,257.3
48,SCMR*0465187867,74.74,PE,Enabled,Default Pipe,3,106.7
49,SCMR*0465187844,54.71,PE,Enabled,Default Pipe,4,77.5
50,SCMR*0465187856,74.99,PE,Enabled,Default Pipe,3,2.7
51,SCMR*0465187793,72.31,PE,Enabled,Default Pipe,3,172.7
52,SCMR*0465187850,72.31,PE,Enabled,Default Pipe,3,61.0
53,SCMR*0465187812,72.59,PE,Enabled,Default Pipe,4,121.7
54,SCMR*0465187830,71.64,PE,Enabled,Default Pipe,4,53.7
55,SCMR*0465187822,71.66,PE,Enabled,Default Pipe,4,44.6
56,SCMR*0465187824,71.80,PE,Enabled,Default Pipe,4,58.6
57,SCMR*0465187784,73.95,PE,Enabled,Default Pipe,4,43.3
58,SCMR*0607233153,71.94,PE,Enabled,Default Pipe,4,15.7
59,SCMR*0465187814,71.66,PE,Enabled,Default Pipe,4,20.1
60,SCMR*0465187816,71.66,PE,Enabled,Default Pipe,4,1.7
61,SCMR*0465187783,74.48,PE,Enabled,Default Pipe,4,2.0
62,SCMR*0625442919,61.12,PE,Enabled,Default Pipe,1,1.6
63,SCMR*0465187498,62.39,PE,Enabled,Default Pipe,2,63.1
